Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1, Chairman Unit,As per the Item Specification Document,1,Units,anjalirrikolkata@gmail.com,15
2, Delegate Unit ,As per the Item Specification Document,15,Units,anjalirrikolkata@gmail.com,15
3,Digital Control Unit ,As per the Item Specification Document,1,Units,anjalirrikolkata@gmail.com,15
4, EXTENSION CABLE 8 pin CAT 6 cable,As per the Item Specification Document,2,Units,anjalirrikolkata@gmail.com,15
5,30 w wall mount loudspeaker,As per the Item Specification Document,4,Units,anjalirrikolkata@gmail.com,15
6,240 WATT MIXER AMPLIFIER with Bluetooth and USB,As per the Item Specification Document,1,Units,anjalirrikolkata@gmail.com,15
7,Digital Signal processor  ,As per the Item Specification Document,1,Units,anjalirrikolkata@gmail.com,15
8,Handheld Wireless Microphone.,As per the Item Specification Document,1,Units,anjalirrikolkata@gmail.com,15
9,Dual Lapel Wireless Microphone,As per the Item Specification Document,1,Units,anjalirrikolkata@gmail.com,15
10, Cameras for Tracking purpose with look at me features,As per the Item Specification Document,2,Units,anjalirrikolkata@gmail.com,15
11,Speaker Tracking System and 4 port Splitter ,As per the Item Specification Document,1,Units,anjalirrikolkata@gmail.com,15
12,24 port manage switch or better as per the requirement,As per the Item Specification Document,1,Units,anjalirrikolkata@gmail.com,15
13,"Interactive Display 98 octa core Processor, ",As per the Item Specification Document,1,Units,anjalirrikolkata@gmail.com,15
14,42 43-inch LED display ,As per the Item Specification Document,2,Units,anjalirrikolkata@gmail.com,15
15,Portable TV Stand,As per the Item Specification Document,2,Units,anjalirrikolkata@gmail.com,15
16,55 inch LED display  ,As per the Item Specification Document,1,Units,anjalirrikolkata@gmail.com,15
17, Podium Gooseneck Microphone ,As per the Item Specification Document,1,Units,anjalirrikolkata@gmail.com,15
18, Acrylic podium with color CCRH Logo ,As per the Item Specification Document,1,Units,anjalirrikolkata@gmail.com,15
19, TAB of reputed brand,As per the Item Specification Document,2,Units,anjalirrikolkata@gmail.com,15
20, wireless presentation ,As per the Item Specification Document,1,Units,anjalirrikolkata@gmail.com,15
21,Laptop of reputed brand ,As per the Item Specification Document,1,Units,anjalirrikolkata@gmail.com,15
22,electrical work and carpentry work  ,As per the Item Specification Document,1,Units,anjalirrikolkata@gmail.com,15
23,access point including cable work from main connection ,As per the Item Specification Document,1,Units,anjalirrikolkata@gmail.com,15
24, all Speaker cable -2 core ,As per the Item Specification Document,1,Units,anjalirrikolkata@gmail.com,15
25, Hydraulic Cable Cubby ,As per the Item Specification Document,5,Units,anjalirrikolkata@gmail.com,15
26, installation 3 KVA online UPS ,As per the Item Specification Document,1,Units,anjalirrikolkata@gmail.com,15
27,24U Fully Loaded Floor Standing Network Rack,As per the Item Specification Document,1,Units,anjalirrikolkata@gmail.com,15
28,3 years of Warranty and 3 years of CMC should be provided,As per the Item Specification Document,1,Units,anjalirrikolkata@gmail.com,15
