Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,Pressure Injector Syringe For Bayer Medrad Imaxeon Salient Dual Head Ct Contrast Power Injector 190 Ml Syringe With Coiled Extension Tube,Description1,270,Nos,dglp@2023,30
2,Inj Iodinated Contrast non ionic iso osmolar 320 mg in 50 ml,Description2,180,Vial,dglp@2023,30
3,Film Dry View 14X17 Inches Compatible With Konica Camera Each Pkt per Cart Contains 125 Films,Description3,21,Pkt,dglp@2023,30
4,Film Dry View 10X8 Inches Compatible With Konica Camera Each Pk per Cartt Contains 125 Films,Description4,84,Pkt,dglp@2023,30
5,Non Ionic Iso Osmolar Iodinated contrast 320 mg per ml 100 ml vial,Description5,510,No,dglp@2023,30
6,High Glossy Thermal Printing Paper roll 110 mm x 18 to 20 mtr for  printing USG images,Description6,630,Roll,dglp@2023,30
7,Mr Contrast Gadobutrol Inj Ammol per Ml Vial Of 7point 5 Ml,Description7,66,Vial,dglp@2023,30
8,MRI Contrast agent Gadoteric Acid 0 point 5 mmol per ml Vial of 10 ml,Description8,330,Vial,dglp@2023,30
9,MR contrast Gadobenate Dimeglumine 0 point 5 mmol per ml in 10 ml vial,Description9,99,Bott,dglp@2023,30
10,Dry view Laser films 10 x 12 compatible with 8100  8150 Kodak camera Cartridge of 125 films each,Description10,66,Cart,dglp@2023,30
11,Dry view Laser films 10 x 08 compatible with 8100  8150 Kodak camera Cartridge of 125 films each,Description11,99,Cart,dglp@2023,30
12,Ultrasound Jelly Tube of 250 gm,Description12,2415,Tube,dglp@2023,30
13,Film Dry View 12X10 Inches Compatible With Konica Camera Each Pkt per Cart Contains 125 Films,Description13,84,Pkt,dglp@2023,30
14,Dry view Laser films 14 inch x 17 inch compatible with 8100   8150 Kodak Carestream camera Cartridge of 125 films each,Description14,84,Cartridge,dglp@2023,30
