Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,ATENOLOL 50 MG TAB,ATENOLOL 50 MG TAB,154000,No,OICDGLPCELL,30
2,Clobetasol 0 point 05 per w w plus Neomycin 0 point 5 per w w tube of 15 gm,Clobetasol (0.05% w/w) + Neomycin (0.5% w/w) tube of 15 gm,2410,Tube,OICDGLPCELL,30
3,LOSARTAN 25MG TAB,LOSARTAN 25MG TAB,371100,No,OICDGLPCELL,30
4,LUMBER BELT LARGE,LUMBER BELT LARGE,4148,No,OICDGLPCELL,30
5,LUMBER BELT MEDIUM,LUMBER BELT MEDIUM,2530,No,OICDGLPCELL,30
6,LUMBER BELT SMALL,LUMBER BELT SMALL,1120,No,OICDGLPCELL,30
7,METHYLCOBALAMIN 1500 MG TAB,METHYLCOBALAMIN 1500 MG TAB,276000,No,OICDGLPCELL,30
8,METOPROLOL XL 25 MG TAB,METOPROLOL XL 25 MG TAB,341000,No,OICDGLPCELL,30
9,MICRO TIPS 100 to  1000 UL PKT OF 1000,MICRO TIPS 100-1000 UL PKT OF 1000,494,PKT,OICDGLPCELL,30
10,MICRO TIPS 50 to 200 UL PKT OF 1000,MICRO TIPS 50-200 UL PKT OF 1000,470,PKT,OICDGLPCELL,30
11,MEGESTROL ACETATE 160MG TAB,MEGESTROL ACETATE 160MG TAB,3280,No,OICDGLPCELL,30
12,CANAGLIFLOZIN 100 MG TAB,CANAGLIFLOZIN 100 MG TAB,49200,No,OICDGLPCELL,30
13,CAMPHOR 1 PER W W  PLUS CAPSAICIN 0 POINT 025 PER W W  PLUS  MENTHOL 10 PER W W  PLUS METHYL SALICYLATE 10 PER W W tube of 20 gm,CAMPHOR-1%W/W + CAPSAICIN-0.025%W/W + MENTHOL-10%W/W + METHYL SALICYLATE-10%W/W tube of 20 gm,7000,Tube,OICDGLPCELL,30
14,DVT STOCKING SIZE  LARGE,DVT STOCKING SIZE - LARGE,494,No,OICDGLPCELL,30
15,OINT CLOBETASOLE 0 POINT 05 PER PLUS  SALICYLIC ACID 3 POINT 5 PER PLUS PROPYLENE GLYCOL OINT TUBE OF 20GM,OINT CLOBETASOLE 0.05% + SALICYLIC ACID 3.5% +PROPYLENE GLYCOL OINT TUBE OF 20GM,2010,Tube,OICDGLPCELL,30
16,Erba Creatinine Kit Pack Size 4x60 ml semi auto analyser,Erba Creatinine Kit Pack Size 4x60 ml semi auto analyser,318,kit,OICDGLPCELL,30
