Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,BLOOD GROUPING KIT,BLOOD GROUPING KIT,1,KIT,MOTALAGAVADI,15
2,GLOCOSE REAGENT,GLOCOSE REAGENT,2,KIT,MOTALAGAVADI,15
3,LANCETS,LANCETS,1000,NOS,MOTALAGAVADI,15
4,URINE STRIPS GLUCOS PROTEIN,URINE STRIPS GLUCOS PROTEIN,5,BOTTLE ,MOTALAGAVADI,15
5,VDRL,VDRL,100,CARD,MOTALAGAVADI,15
6,TEST TUBE,TEST TUBE,3000,NOS,MOTALAGAVADI,15
7,CLOT ACTIVATAR TEST TUBE,CLOT ACTIVATAR TEST TUBE,1000,NOS,MOTALAGAVADI,15
8,GLUCOSE STRIPS  CODE FREE,GLUCOSE STRIPS  CODE FREE,1000,STRIPS,MOTALAGAVADI,15
9,MICROGLASS SLIDES,MICROGLASS SLIDES,1000,NOS,MOTALAGAVADI,15
10,TISSUE PAPER,TISSUE PAPER,5,PACK,MOTALAGAVADI,15
11,WIDAL KIT,WIDAL KIT,2,KIT,MOTALAGAVADI,15
12,HAND WASH 500ML,HAND WASH 500ML,5,NOS,MOTALAGAVADI,15
13,YELLOW TIPS,YELLOW TIPS,2000,NOS,MOTALAGAVADI,15
14,BLUE TIPS,BLUE TIPS,2000,NOS,MOTALAGAVADI,15
15,SURGICAL SPIRIT,SURGICAL SPIRIT,5,BOTTLE ,MOTALAGAVADI,15
16,STAINING JAR,STAINING JAR,6,NOS,MOTALAGAVADI,15
17,BEAKER,BEAKER,5,NOS,MOTALAGAVADI,15
18,EDTA TUBE,EDTA TUBE,200,NOS,MOTALAGAVADI,15
19,HBSAG CARD,HBSAG CARD,50,CARD,MOTALAGAVADI,15
20,BARIUM CHLORIDE 500ML,BARIUM CHLORIDE 500ML,1,BOTTLE ,MOTALAGAVADI,15
21,LIQUID PARAFFIN OIL 100ML,LIQUID PARAFFIN OIL 100ML,3,BOTTLE ,MOTALAGAVADI,15
22,SYRING 2 5ML,SYRING 2 5ML,5,BOX,MOTALAGAVADI,15
