Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,inj rl,inj rl,400,no,SDHCHADOORA,21
2,inj dextros 5 percent,inj dextros 5 percent,200,bottel,SDHCHADOORA,21
3,inj dns,inj dns,200,bottel,SDHCHADOORA,21
4,inj ns,inj ns,200,bottel,SDHCHADOORA,21
5,inj buscopan,inj buscopan,100,no,SDHCHADOORA,21
6,inj drotiverin,inj drotiverin,200,no,SDHCHADOORA,21
7,inj ceftriaxone sb 5g,inj ceftriaxone sb 5g,200,no,SDHCHADOORA,21
8,inj pentoparazole 40,inj pentoparazole 40,200,no,SDHCHADOORA,21
9,inj ondem,inj ondem,200,no,SDHCHADOORA,21
10,inj oxytocin,inj oxytocin,300,no,SDHCHADOORA,21
11,mollen sheets,mollen sheets,300,no,SDHCHADOORA,21
12,iv fixator,iv fixator,200,no,SDHCHADOORA,21
13,iv set,iv set,200,no,SDHCHADOORA,21
14,cord tie,cord tie,50,no,SDHCHADOORA,21
15,catgut one point zero,catgut one point zero,60,no,SDHCHADOORA,21
16,catgut two point zero,catgut two point zero,60,no,SDHCHADOORA,21
17,inj epidosin,inj epidosin,250,no,SDHCHADOORA,21
18,usg jelly,usg jelly,50,no,SDHCHADOORA,21
19,gauze than,gauze than,20,no,SDHCHADOORA,21
20,cotton,cotton,5,pound,SDHCHADOORA,21
21,cord tie thread,cord tie thread,50,no,SDHCHADOORA,21
22,inj tranostat,inj tranostat,60,no,SDHCHADOORA,21
23,r enemea,r enemea,20,no,SDHCHADOORA,21
24,euro bag,euro bag,30,no,SDHCHADOORA,21
25,foleys 16 size,foleys 16 size,200,no,SDHCHADOORA,21
26,dispo syringe 10ml,dispo syringe 10ml,700,no,SDHCHADOORA,21
27,dispo syringe 5ml,dispo syringe 5ml,100,no,SDHCHADOORA,21
28,inj perinorm,inj perinorm,100,no,SDHCHADOORA,21
29,inj prostadine,inj prostadine,300,no,SDHCHADOORA,21
30,iv cannula 20g,iv cannula 20g,300,no,SDHCHADOORA,21
31,iv cannula 18g,iv cannula 18g,10,no,SDHCHADOORA,21
32,adhesive plaster 3 inch,adhesive plaster 3 inch,1000,no,SDHCHADOORA,21
33,st gloves,st gloves,1000,pair,SDHCHADOORA,21
34,pv gloves,pv gloves,100,no,SDHCHADOORA,21
35,surgical gown,surgical gown,50,no,SDHCHADOORA,21
36,inj hydrocart 100,inj hydrocart 100,50,no,SDHCHADOORA,21
37,inj pcm2ml,inj pcm2ml,50,no,SDHCHADOORA,21
38,inj msgs04,inj msgs04,50,no,SDHCHADOORA,21
39,betadine liquid,betadine liquid,30,no,SDHCHADOORA,21
40,betadine ointmint,betadine ointmint,50,no,SDHCHADOORA,21
41,inj avil,inj avil,50,no,SDHCHADOORA,21
42,rolled bandage,rolled bandage,60,no,SDHCHADOORA,21
43,gel lignocane,gel lignocane,50,no,SDHCHADOORA,21
44,inf dextrose 20 percent,inf dextrose 20 percent,10,no,SDHCHADOORA,21
45,arm needels,arm needels,100,no,SDHCHADOORA,21
46,savalon,savalon,6,bottel,SDHCHADOORA,21
47,inj dexona 2ml,inj dexona 2ml,10,no,SDHCHADOORA,21
48,inj xylocaine 2percent,inj xylocaine 2percent,10,no,SDHCHADOORA,21
49,ctg paper,ctg paper,30,no,SDHCHADOORA,21
50,surgical mask,surgical mask,300,no,SDHCHADOORA,21
