Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,Liquid Glycerin Bott of 500ml,Liquid Glycerin Bott of 500ml,10,Bott,GEMCLK1,15
2,Pdr Calamine pkt of 500gm,Pdr Calamine pkt of 500gm,30,Pkt,GEMCLK1,15
3,Pdr Mag Sulphate Pkt of 500gm,Pdr Mag Sulphate Pkt of 500gm,30,Pkt,GEMCLK1,15
4,Pdr Soda Bi Carbonate pkt of 500gm,Pdr Soda Bi Carbonate pkt of 500gm,50,Pkt,GEMCLK1,15
5,Disposable Apron ,Disposable Apron ,10,Nos,GEMCLK1,15
6,Disposable Mask,Disposable Mask,200,Nos,GEMCLK1,15
7,Digital Thermometer,Digital Thermometer,10,Nos,GEMCLK1,15
8,Full sleeves of Veterinary examination Pkt of 100 pcs,Full sleeves of Veterinary examination Pkt of 100 pcs,10,Pkt,GEMCLK1,15
9,Inj DMSO Dimethyl Sulfoxide bottle of 250ml,Inj DMSO Dimethyl Sulfoxide bottle of 250ml,5,Bott,GEMCLK1,15
10,Inj Phenylbutazone vial of 100ml,Inj Phenylbutazone vial of 100ml,20,Vial,GEMCLK1,15
11,Inj Metronidazole  bott of 100,Inj Metronidazole  bott of 100,600,Bott,GEMCLK1,15
12,Pdr Cetrimide bott of 500gm,Pdr Cetrimide bott of 500gm,10,Bott,GEMCLK1,15
13,Silk suture thread reel size 2 pkt of 12 reel,Silk suture thread reel size 2 pkt of 12 reel,3,Pkt,GEMCLK1,15
14,Inj Belamyl  Vial of 100ml,Inj Belamyl  Vial of 100ml,10,Vial,GEMCLK1,15
15,"Inj M block, Ethamsylate vial of 30ml","Inj M block, Ethamsylate vial of 30ml",15,Vial,GEMCLK1,15
