Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,Supply of Examination Table at DURGAPUR DEPOT,Supply of Examination Table at DURGAPUR DEPOT,1,Each,subhajitdatta,60
2,Supply of ECG Machine at DURGAPUR DEPOT,Supply of ECG Machine at DURGAPUR DEPOT,1,Each,subhajitdatta,60
3,Supply of Crash Cart Trolley at DURGAPUR DEPOT,Supply of Crash Cart Trolley at DURGAPUR DEPOT,1,Each,subhajitdatta,60
4,Supply of Oxygen Cylinder Stand cum Trolley at DURGAPUR DEPOT,Supply of Oxygen Cylinder Stand cum Trolley at DURGAPUR DEPOT,1,Each,subhajitdatta,60
5,Supply of Examination Bed at DURGAPUR DEPOT,Supply of Examination Bed at DURGAPUR DEPOT,1,Each,subhajitdatta,60
6,Supply of Pulse Oxymeter at DURGAPUR DEPOT,Supply of Pulse Oxymeter at DURGAPUR DEPOT,1,Each,subhajitdatta,60
7,Supply of Stethoscope at DURGAPUR DEPOT,Supply of Stethoscope at DURGAPUR DEPOT,1,Each,subhajitdatta,60
8,Supply of Spine Board at DURGAPUR DEPOT,Supply of Spine Board at DURGAPUR DEPOT,1,Each,subhajitdatta,60
9,Supply of Medical Oxygen Cylinders at DURGAPUR DEPOT,Supply of Medical Oxygen Cylinders at DURGAPUR DEPOT,1,Each,subhajitdatta,60
10,Supply of Double Bottle Suction Machine at DURGAPUR DEPOT,Supply of Double Bottle Suction Machine at DURGAPUR DEPOT,1,Each,subhajitdatta,60
11,Supply of AMBU Bag at DURGAPUR DEPOT,Supply of AMBU Bag at DURGAPUR DEPOT,1,Each,subhajitdatta,60
12,Supply of Emergency Shower and Eye Washer at DURGAPUR DEPOT,Supply of Emergency Shower and Eye Washer at DURGAPUR DEPOT,1,Each,subhajitdatta,60
13,Supply of Examination Table at GUWAHATI DEPOT,Supply of Examination Table at GUWAHATI DEPOT,1,Each,rkthakuria,60
14,Supply of ECG Machine at GUWAHATI DEPOT,Supply of ECG Machine at GUWAHATI DEPOT,1,Each,rkthakuria,60
15,Supply of Crash Cart Trolley at GUWAHATI DEPOT,Supply of Crash Cart Trolley at GUWAHATI DEPOT,1,Each,rkthakuria,60
16,Supply of Oxygen Cylinder Stand cum Trolley at GUWAHATI DEPOT,Supply of Oxygen Cylinder Stand cum Trolley at GUWAHATI DEPOT,1,Each,rkthakuria,60
17,Supply of Examination Bed at GUWAHATI DEPOT,Supply of Examination Bed at GUWAHATI DEPOT,1,Each,rkthakuria,60
18,Supply of Pulse Oxymeter at GUWAHATI DEPOT,Supply of Pulse Oxymeter at GUWAHATI DEPOT,1,Each,rkthakuria,60
19,Supply of Stethoscope at GUWAHATI DEPOT,Supply of Stethoscope at GUWAHATI DEPOT,1,Each,rkthakuria,60
20,Supply of Spine Board at GUWAHATI DEPOT,Supply of Spine Board at GUWAHATI DEPOT,1,Each,rkthakuria,60
21,Supply of Medical Oxygen Cylinders at GUWAHATI DEPOT,Supply of Medical Oxygen Cylinders at GUWAHATI DEPOT,1,Each,rkthakuria,60
22,Supply of Double Bottle Suction Machine at GUWAHATI DEPOT,Supply of Double Bottle Suction Machine at GUWAHATI DEPOT,1,Each,rkthakuria,60
23,Supply of AMBU Bag at GUWAHATI DEPOT,Supply of AMBU Bag at GUWAHATI DEPOT,1,Each,rkthakuria,60
24,Supply of Emergency Shower and Eye Washer at GUWAHATI DEPOT,Supply of Emergency Shower and Eye Washer at GUWAHATI DEPOT,1,Each,rkthakuria,60
25,Supply of Examination Table at DIMAPUR DEPOT,Supply of Examination Table at DIMAPUR DEPOT,1,Each,rkthakuria,60
26,Supply of ECG Machine at DIMAPUR DEPOT,Supply of ECG Machine at DIMAPUR DEPOT,1,Each,rkthakuria,60
27,Supply of Crash Cart Trolley at DIMAPUR DEPOT,Supply of Crash Cart Trolley at DIMAPUR DEPOT,1,Each,rkthakuria,60
28,Supply of Oxygen Cylinder Stand cum Trolley at DIMAPUR DEPOT,Supply of Oxygen Cylinder Stand cum Trolley at DIMAPUR DEPOT,1,Each,rkthakuria,60
29,Supply of Examination Bed at DIMAPUR DEPOT,Supply of Examination Bed at DIMAPUR DEPOT,1,Each,rkthakuria,60
30,Supply of Pulse Oxymeter at DIMAPUR DEPOT,Supply of Pulse Oxymeter at DIMAPUR DEPOT,1,Each,rkthakuria,60
31,Supply of Stethoscope at DIMAPUR DEPOT,Supply of Stethoscope at DIMAPUR DEPOT,1,Each,rkthakuria,60
32,Supply of Spine Board at DIMAPUR DEPOT,Supply of Spine Board at DIMAPUR DEPOT,1,Each,rkthakuria,60
33,Supply of Medical Oxygen Cylinders at DIMAPUR DEPOT,Supply of Medical Oxygen Cylinders at DIMAPUR DEPOT,1,Each,rkthakuria,60
34,Supply of Double Bottle Suction Machine at DIMAPUR DEPOT,Supply of Double Bottle Suction Machine at DIMAPUR DEPOT,1,Each,rkthakuria,60
35,Supply of AMBU Bag at DIMAPUR DEPOT,Supply of AMBU Bag at DIMAPUR DEPOT,1,Each,rkthakuria,60
36,Supply of Emergency Shower and Eye Washer at DIMAPUR DEPOT,Supply of Emergency Shower and Eye Washer at DIMAPUR DEPOT,1,Each,rkthakuria,60
