Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,ERBA Alkaline Phosphatase System Pack EM200,2x44ml 2x11ml ERBA,8,Pack,Shabir@BMOM,15
2,ERBA Bilirubin Total System Pack EM200,6x44ml 6x12 3 ml ERBA,5,Pack,Shabir@BMOM,15
3,ERBA Creatinine  Enzymatic EM200,5x30ml 5x10ml ERBA,5,Pack,Shabir@BMOM,15
4,XL  MultiCal ERBA,4x3ml ERBA,3,Pack,Shabir@BMOM,15
5,ERBA Glucose GOD  POD System Pack EM200,10x44ml ERBA,3,Pack,Shabir@BMOM,15
6,ERBA Amylase EM200,5X22 ML ERBA,2,Pack,Shabir@BMOM,15
7,Erba Autowash System Pack,10x100 ml ERBA,5,Pack,Shabir@BMOM,15
8,Erba Norm Normal Control,4x5 ml,5,Pack,Shabir@BMOM,15
9,Erba Autowash AL CL ,5x44 5x44 ml ERBA,3,Pack,Shabir@BMOM,15
10,Daily Cleaner ,12 x15 ml,1,Pack,Shabir@BMOM,15
11,Electrolyte Pack ERBA,Electrolyte Pack ERBA,7,Pack,Shabir@BMOM,15
12,ErbaQuick Cards HCV,1x25 tests,12,Pack,Shabir@BMOM,15
13,ErbaVial Mono EDTA,1x100 no,70,Pack,Shabir@BMOM,15
14,Ozotest Glucometer strips,1x50 tests,80,Pack,Shabir@BMOM,15
15,Dekhaphan Erba Urine strips,1x100 strips,120,Pack,Shabir@BMOM,15
16,Disposable  Cups EM200,1x1000,10,Pack,Shabir@BMOM,15
16,Hba1c ,1x25 tests,6,Pack,Shabir@BMOM,15
17,AM Kit DI PLANT ERBA,EM200 ERBA,1,Pack,Shabir@BMOM,15
18,BLOOD Group reagent,3x5 ml,5,Pack,Shabir@BMOM,15
19,ESR tube,1x100,2,Pack,Shabir@BMOM,15
20,DIL AD32OO,DIL AD32OO,1,Pack,Shabir@BMOM,15
21,TSH,1x25 tests,8,Pack,Shabir@BMOM,15
22,HCG,1X100 NO,10,Pack,Shabir@BMOM,15
23,ERBAQuick Cards HbSag,1x25 tests,60,Pack,Shabir@BMOM,15
24,ERBAQuick Cards VDRL,1x25 tests,12,Pack,Shabir@BMOM,15
