Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,Stereo microscope,As per ATC Document,1,pieces,gdc@raipur,60
2,High intensity light curing unit,As per ATC Document,8,pieces,gdc@raipur,60
3,Ultrasonic scaler,As per ATC Document,30,pieces,gdc@raipur,60
4,Conscious sedation unit,As per ATC Document,1,pieces,gdc@raipur,60
5,Hydrogen soldering unit,As per ATC Document,1,pieces,gdc@raipur,60
6,Spot welder with soldering attachment,As per ATC Document,2,pieces,gdc@raipur,60
7,Lab micro motor,As per ATC Document,50,pieces,gdc@raipur,60
8,Model trimmer double disc,As per ATC Document,5,pieces,gdc@raipur,60
9,Model Trimmer with Diamond Disc,As per ATC Document,2,pieces,gdc@raipur,60
10,High Speed lathe,As per ATC Document,2,pieces,gdc@raipur,60
11,Sand blaster micro   macro,As per ATC Document,2,pieces,gdc@raipur,60
12,Autoclave- front loading,As per ATC Document,10,pieces,gdc@raipur,60
13,Ultrasonic cleaner capacity 3.5lts  Type III,As per ATC Document,3,pieces,gdc@raipur,60
14,Plaster Dispenser,As per ATC Document,2,pieces,gdc@raipur,60
15,Vibrator,As per ATC Document,2,pieces,gdc@raipur,60
16,Acrylizer,As per ATC Document,2,pieces,gdc@raipur,60
17,Pressure molding machine,As per ATC Document,1,pieces,gdc@raipur,60
18,Induction Casting Machine with Vacuum pump,As per ATC Document,2,pieces,gdc@raipur,60
19,Preheating furnace,As per ATC Document,2,pieces,gdc@raipur,60
20,Die cutting machine,As per ATC Document,1,pieces,gdc@raipur,60
21,Endomotor,As per ATC Document,4,pieces,gdc@raipur,60
22,Physiodispensor,As per ATC Document,5,pieces,gdc@raipur,60
23,Implant Kit,As per ATC Document,4,pieces,gdc@raipur,60
24,Cryo Surgery Unit,As per ATC Document,1,pieces,gdc@raipur,60
25,Electro surgery unit,As per ATC Document,1,pieces,gdc@raipur,60
26,Peizo-surgery unit,As per ATC Document,1,pieces,gdc@raipur,60
27,Centrifuge for PRP PRF preparation,As per ATC Document,2,pieces,gdc@raipur,60
28,Electro surgical Cautery,As per ATC Document,2,pieces,gdc@raipur,60
29,Apex Locator,As per ATC Document,3,pieces,gdc@raipur,60
30,OPG radiography machine with Cephalostat,As per ATC Document,1,pieces,gdc@raipur,60
31,Cone Beam Computed Tomography CBCT ,As per ATC Document,1,pieces,gdc@raipur,60
32,Dental Phantom Head Table,As per ATC Document,6,pieces,gdc@raipur,60
33,Dental Diode laser system with accessories,As per ATC Document,2,pieces,gdc@raipur,60
34,Automatic Intraoral film processor,As per ATC Document,2,pieces,gdc@raipur,60
35,Dental Operating Microscope,As per ATC Document,1,pieces,gdc@raipur,60
36,Dental Clinical Micro motor,As per ATC Document,200,pieces,gdc@raipur,60
37,Dental magnifying loupes with LED headlight,As per ATC Document,8,pieces,gdc@raipur,60
38,Glass bead sterilizer,As per ATC Document,2,pieces,gdc@raipur,60
39,Pulp Tester,As per ATC Document,4,pieces,gdc@raipur,60
40,Injectable GP condenser,As per ATC Document,2,pieces,gdc@raipur,60
41,Tissue floatation water bath,As per ATC Document,1,pieces,gdc@raipur,60
42,Biochemistry analyser,As per ATC Document,2,pieces,gdc@raipur,60
43,"Smart dentin grinder for hospital, 300W- 500W",As per ATC Document,1,pieces,gdc@raipur,60
44,Tracheostomy kit,As per ATC Document,1,pieces,gdc@raipur,60
45,Cleft Surgery kit,As per ATC Document,1,pieces,gdc@raipur,60
46,Trauma kit with bone plating kit,As per ATC Document,1,pieces,gdc@raipur,60
47,Pedo extraction forceps sets,As per ATC Document,4,pieces,gdc@raipur,60
48,Rubber dam kit for pedo patients,As per ATC Document,2,pieces,gdc@raipur,60
49,Formalin chamber,As per ATC Document,2,pieces,gdc@raipur,60
50,Typhodonts,As per ATC Document,3,pieces,gdc@raipur,60
51,Adjustable mouth prop set,As per ATC Document,3,pieces,gdc@raipur,60
52,Double beak pliers anterior and posterior,As per ATC Document,2,pieces,gdc@raipur,60
53,Bracket Holding Pliers,As per ATC Document,3,pieces,gdc@raipur,60
54,Straight Hoe Pliers,As per ATC Document,3,pieces,gdc@raipur,60
55,Curved Hoe Pliers,As per ATC Document,2,pieces,gdc@raipur,60
56,Papoose Board for stabilization of childrens,As per ATC Document,2,pieces,gdc@raipur,60
57,Articulators Semi adjustable,As per ATC Document,1,pieces,gdc@raipur,60
58,Airotor Handpieces,As per ATC Document,50,pieces,gdc@raipur,60
59,Straight Handpiece for clinical micromotor,As per ATC Document,20,pieces,gdc@raipur,60
60,Supra gingival scalers,As per ATC Document,5,pieces,gdc@raipur,60
61,Sub gingival scaler,As per ATC Document,5,pieces,gdc@raipur,60
62,Surgery Trolleys,As per ATC Document,8,pieces,gdc@raipur,60
