Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,VIDEO COLPOSCOPE,As per ATC Document,2,pieces,gmc@raipur,60
2,Cardiac Monitoring with Biphasic Defibrillator,As per ATC Document,1,pieces,gmc@raipur,60
3,Operating Laproscope,As per ATC Document,1,pieces,gmc@raipur,60
4,Hysteroscope operating,As per ATC Document,2,pieces,gmc@raipur,60
5,Hysteroscope office,As per ATC Document,2,pieces,gmc@raipur,60
6,Vessel sealar,As per ATC Document,2,pieces,gmc@raipur,60
7,Boyles Anasthesia Workstaion,As per ATC Document,1,pieces,gmc@raipur,60
8,Routine Flow Fluid Warmer,As per ATC Document,5,pieces,gmc@raipur,60
9,ABG Machine,As per ATC Document,4,pieces,gmc@raipur,60
10,Multiparameter Patient Monitor,As per ATC Document,1,pieces,gmc@raipur,60
11,Blood Auto Analyzer Machine,As per ATC Document,1,pieces,gmc@raipur,60
12,Endotracheal Tubes Fr Gyn. Size-7 and 7.5 Plan Curved Duff,As per ATC Document,1,pieces,gmc@raipur,60
13,Stylet,As per ATC Document,1,pieces,gmc@raipur,60
14,Laproscopy Myoma Screen,As per ATC Document,1,pieces,gmc@raipur,60
15,Bipolar,As per ATC Document,1,pieces,gmc@raipur,60
16,Fowlers Bed,As per ATC Document,11,pieces,gmc@raipur,60
17,Eclampsia Bed,As per ATC Document,3,pieces,gmc@raipur,60
18,Cryo Machine,As per ATC Document,3,pieces,gmc@raipur,60
