Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,Gel Card Centrifuge and Gel Card Incubator for 2 Each,As per specification,2,Number,storeofficer@pgimer.edu.in,90
2,CMC 1st Year after 2 Years of warranty for 2 Each,As per specification,2,Number,storeofficer@pgimer.edu.in,15
3,CMC 2nd Year for 2 Each,As per specification,2,Number,storeofficer@pgimer.edu.in,15
4,CMC 3rd Year for 2 Each,As per specification,2,Number,storeofficer@pgimer.edu.in,15
5,CMC 4th Year for 2 Each,As per specification,2,Number,storeofficer@pgimer.edu.in,15
6,CMC 5th Year for 2 Each,As per specification,2,Number,storeofficer@pgimer.edu.in,15
7,CMC 6th Year for 2 Each,As per specification,2,Number,storeofficer@pgimer.edu.in,15
8,CMC 7th Year for 2 Each,As per specification,2,Number,storeofficer@pgimer.edu.in,15
9,CMC 8th Year for 2 Each,As per specification,2,Number,storeofficer@pgimer.edu.in,15
10,Polyspecific AHG  Card Compatibility Testing for 2026 to 2027,As per specification,15000,Number,storeofficer@pgimer.edu.in,45
11,Nacl Enzyme Card 2026 to 2027,As per specification,5000,Number,storeofficer@pgimer.edu.in,45
12,ABD Grouping Card for patient grouping Forward and Revere 2026 to 2027,As per specification,20000,Number,storeofficer@pgimer.edu.in,45
13,ABD Grouping Card for Donor Grouping 2026 to 2027,As per specification,30000,Number,storeofficer@pgimer.edu.in,45
14,Polyspecific AHG  Card Compatibility Testing for 2027 to 2028,As per specification,18000,Number,storeofficer@pgimer.edu.in,45
15,Nacl Enzyme Card 2027 to 2028,As per specification,8000,Number,storeofficer@pgimer.edu.in,45
16,ABD Grouping Card for patient grouping Forward and Revere 2027 to 2028,As per specification,25000,Number,storeofficer@pgimer.edu.in,45
17,ABD Grouping Card for Donor Grouping 2027 to 2028,As per specification,36000,Number,storeofficer@pgimer.edu.in,45
18,Polyspecific AHG  Card Compatibility Testing for 2028 to 2029,As per specification,22000,Number,storeofficer@pgimer.edu.in,45
19,Nacl Enzyme Card 2028 to 2029,As per specification,11000,Number,storeofficer@pgimer.edu.in,45
20,ABD Grouping Card for patient grouping Forward and Revere 2028 to 2029,As per specification,30000,Number,storeofficer@pgimer.edu.in,45
21,ABD Grouping Card for Donor Grouping 2028 to 2029,As per specification,44000,Number,storeofficer@pgimer.edu.in,45
22,Polyspecific AHG  Card Compatibility Testing for 2029 to 2030,As per specification,25000,Number,storeofficer@pgimer.edu.in,45
23,Nacl Enzyme Card 2029 to 2030,As per specification,15000,Number,storeofficer@pgimer.edu.in,45
24,ABD Grouping Card for patient grouping Forward and Revere 2029 to 2030,As per specification,36000,Number,storeofficer@pgimer.edu.in,45
25,ABD Grouping Card for Donor Grouping 2029 to 2030,As per specification,50000,Number,storeofficer@pgimer.edu.in,45
26,Polyspecific AHG  Card Compatibility Testing for 2030 to 2031,As per specification,30000,Number,storeofficer@pgimer.edu.in,45
27,Nacl Enzyme Card 2030 to 2031,As per specification,20000,Number,storeofficer@pgimer.edu.in,45
28,ABD Grouping Card for patient grouping Forward and Revere 2030 to 2031,As per specification,40000,Number,storeofficer@pgimer.edu.in,45
29,ABD Grouping Card for Donor Grouping 2030 to 2031,As per specification,60000,Number,storeofficer@pgimer.edu.in,45
