Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,Modis text Book of Medical Jurisprudence and Toxicology,As per Specification ,3,pices,contstoreconsignee,10
2,The Essentials of Forensic Medicine and Texicology,As per Specification ,3,pices,contstoreconsignee,10
3,Inderbir Shinghs Text Book of HUMAN OSTEOLOGY,As per Specification ,1,pices,contstoreconsignee,10
4,Text Book of Forensic Medicine and Texicology,As per Specification ,1,pices,contstoreconsignee,10
5,Text Book of Forensic Medicine and Texicology for MBBS,As per Specification ,1,pices,contstoreconsignee,10
6,Forensic Medicine and Texicology Oral Practical and MCQ,As per Specification ,1,pices,contstoreconsignee,10
7,Knights Forensic Pathology,As per Specification ,2,pices,contstoreconsignee,10
8,Forensic Medicine Vol I Iv,As per Specification ,1,pices,contstoreconsignee,10
9,Injuries and Forensic Medicolegal aspects,As per Specification ,1,pices,contstoreconsignee,10
10,Taylors Principle and practice of Medical Jurisprudence Vol III,As per Specification ,1,pices,contstoreconsignee,10
11,Grays Anatomy International,As per Specification ,1,pices,contstoreconsignee,10
12,Peadiatric Forensic Medicine and pathology,As per Specification ,1,pices,contstoreconsignee,10
13,Magnetic resonance Imaging of the Brain and Spine,As per Specification ,1,pices,contstoreconsignee,10
14,CT and MRI of the whole Body,As per Specification ,1,pices,contstoreconsignee,10
15,Textbook of Radiology for X ray CT MRI BRIT and MSC Technician,As per Specification ,1,pices,contstoreconsignee,10
16,Diagnostic Ultrasound,As per Specification ,1,pices,contstoreconsignee,10
17,AIIMS MAMC PGI COMPREHENSIVE DIAGNOSTIC RADIOLOGY,As per Specification ,1,pices,contstoreconsignee,10
