Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,Adult CPR mannequin,As per ATC Document Specification,1,pieces,gmc@raipur,60
2,Adult Airway Management,As per ATC Document Specification,1,pieces,gmc@raipur,60
3,Manikins for demonstration of various routes of drug administration ,As per ATC Document Specification,1,pieces,gmc@raipur,60
4,ALS Trainer Full Body Manikin Carry bag Adult,As per ATC Document Specification,6,pieces,gmc@raipur,60
5,ALS Pediatric Trainer Mannequin with Carry Bag,As per ATC Document Specification,9,pieces,gmc@raipur,60
6,First Aid  Trauma Mannequin module with soft pack,As per ATC Document Specification,11,pieces,gmc@raipur,60
7,Complete Nursing Skills Mannequin,As per ATC Document Specification,6,pieces,gmc@raipur,60
8,Obstetrical Mannequin with Overlays,As per ATC Document Specification,13,pieces,gmc@raipur,60
9,Lumber Puncture Mannequin,As per ATC Document Specification,6,pieces,gmc@raipur,60
10,Human Skeleton Model with Nerves and Blood Vessels 80 cm,As per ATC Document Specification,5,pieces,gmc@raipur,60
11,Full Size Human Skelton 180 cm for Medical Training,As per ATC Document Specification,5,pieces,gmc@raipur,60
12,Infant Airway Management Model,As per ATC Document Specification,2,pieces,gmc@raipur,60
13,Child Tracheal Simulator Mannequin,As per ATC Document Specification,2,pieces,gmc@raipur,60
14,Tracheostomy Simulator Mannequin,As per ATC Document Specification,2,pieces,gmc@raipur,60
15,Whole Body USG,As per ATC Document Specification,3,pieces,gmc@raipur,60
16,Intramuscular Injection Buttok Manikin,As per ATC Document Specification,20,pieces,gmc@raipur,60
17,Full Body Manikin Chest Compression Depth,As per ATC Document Specification,1,pieces,gmc@raipur,60
18,Adult Intramuscular Injection Training Manikin,As per ATC Document Specification,2,pieces,gmc@raipur,60
19,Surgical Suturing And Bandaging Simulator Manikin For Medical Training,As per ATC Document Specification,4,pieces,gmc@raipur,60
20,Urine Catheter insertion Mannequin,As per ATC Document Specification,8,pieces,gmc@raipur,60
21,ACLS BLS and air way Manequines ,As per ATC Document Specification,2,pieces,gmc@raipur,60
22,Mannequins full body ,As per ATC Document Specification,7,pieces,gmc@raipur,60
23,Skeletons Articulated ,As per ATC Document Specification,26,pieces,gmc@raipur,60
24,Human Skeleton Disarticulated,As per ATC Document Specification,15,pieces,gmc@raipur,60
