Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,Inj Aanlgin 30 ml,Inj Aanlgin 30 ml,45,Vial,sandeep41mvh,20
2,Inj Belamyl 30 ml,Inj Belamyl 30 ml,30,Vial,sandeep41mvh,20
3,Inj Ceftriaxone 3000 mg Tazabactam,Inj Ceftriaxone 3000 mg Tazabactam,30,Vial,sandeep41mvh,20
4,Inj Meloxicam plus PCM vial of 30 ml,Inj Meloxicam plus PCM vial of 30 ml,15,Vial,sandeep41mvh,20
5,Inj Doramectin bott of 100 ml,Inj Doramection bott of 100 ml,3,Vial,sandeep41mvh,20
6,Inj CBG bott of 400 ml,Inj CBG bott of 400 ml,10,Bott,sandeep41mvh,20
7,Inj Enrofloxacin 100 mg per ml vial of 100 ml,Inj Enrofloxacin 100 mg per ml vial of 100 ml,5,Vial,sandeep41mvh,20
8,Inj Flunixin Meglumine 100 ml,Inj Flunixin Meglumine 100 ml,20,Vial,sandeep41mvh,20
9,Inj Dicyclomine 30 ml,Inj Dicyclomine 30 ml,20,Vial,sandeep41mvh,20
10,HB Strong 10 gm,HB Strong 10 gm,500,Pkt,sandeep41mvh,20
11,Magnesium Sulphate,Magnesium Sulphate,5,kg,sandeep41mvh,20
12,Inj Oxytetracycline 100 ml,Inj Oxytetracycline 100 ml,30,Vial,sandeep41mvh,20
13,Inj Phenylbutazone 100 ml,Inj Phenylbutazone 100 ml,20,Vial,sandeep41mvh,20
14,Shark liver oil Diluted,Shark liver oil Diluted,25,Ltr,sandeep41mvh,20
15,Weak Iodine solution bott of 500 ml,Weak Iodine solution bott of 500 ml,10,Bott,sandeep41mvh,20
16,Inj Xylazine Hydrochloride vial of 30 ml,Inj Xylazine Hydrochloride vial of 30 ml,30,Vial,sandeep41mvh,20
17,Disposable Examination Gloves 100 pcs,Disposable Examination Gloves 100 pcs,10,Pkt,sandeep41mvh,20
18,Syringe disposable plastic sterile 2 ml with needle,Syringe disposable plastic sterile 2 ml with needle,100,Nos,sandeep41mvh,20
19,Syringe disposable plastic sterile 5 ml with needle,Syringe disposable plastic sterile 5 ml with needle,100,Nos,sandeep41mvh,20
20,Syringe disposable plastic sterile 10 ml with needle,Syringe disposable plastic sterile 10 ml with needle,200,Nos,sandeep41mvh,20
21,Syringe disposable   20 ml with needle,Syringe disposable   20 ml with needle,200,Nos,sandeep41mvh,20
22,Full sleeve,Full sleeve,100,Nos,sandeep41mvh,20
