Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,RCC Column,RCC Column ,1,Job,nadagowda,90
2,Foundation,Tie beam to connect all foundation column of dimension 200 x 200 mm ,1,Job,nadagowda,90
3,Total column height 12.5 m from ground,Total column height 12.5 m from ground,1,Job,nadagowda,90
4,MS chequered platform at height of 5 meter,MS chequered platform at height of 5 meter,1,Job,nadagowda,90
5,MS Chequered platform at height of 10 mtr,MS Chequered platform at height of 10 mtr,1,Job,nadagowda,90
6,Launching platform at 10 meter,Launching platform at 10 meter,1,Job,nadagowda,90
7,Over shed cover at Top platform,Over shed cover at Top platform,1,Job,nadagowda,90
8,MS Laddar slope type with railing ,MS Laddar slope type with railing ,1,Job,nadagowda,90
9,All slithering platform to have safety grills on all three sides,All slithering platform to have safety grills on all three sides,1,Job,nadagowda,90
10,Loading area with brick work and loose sand filling,Loading area with brick work and loose sand filling,1,Job,nadagowda,90
11,"rock climbing surface, single face height 40 feet width min 8 feet","rock climbing surface, single face height 40 feet width min 8 feet",1,Job,nadagowda,90
12,Crash mat size 3mx2x30cm mattress for safety with cover,Crash mat size 3mx2x30cm mattress for safety with cover,6,Nos,nadagowda,90
13,Slithering Rope 10mm Dynamic climbing,Slithering Rope 10mm Dynamic climbing,6,Nos,nadagowda,90
14,Slithering Gloves,Slithering Gloves,30,Pair,nadagowda,90
15,Seat harness full size,Seat harness full size,30,Nos,nadagowda,90
16,Carabiners,Carabiners,30,Nos,nadagowda,90
17,Helmt,Helmt,30,Nos,nadagowda,90
