Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,Computer Table,Computer Table,1,Nos,Akash@18SLI,40
2,Tables 4 3 ft,Tables 4 3 ft,5,Nos,Akash@18SLI,40
3,Office Desk,Office Desk,1,Nos,Akash@18SLI,40
4,Rotating Office Chair,Rotating Office Chair,1,Nos,Akash@18SLI,40
5,Red Cushion Chairs,Red Cushion Chairs,30,Nos,Akash@18SLI,40
6,Book Shelves ,Book Shelves ,20,Nos,Akash@18SLI,40
7,Computer with Lib Mgmt Software,Computer with Lib Mgmt Software,1,Nos,Akash@18SLI,40
8,Inkjet Colour Printer,Inkjet Colour Printer,1,Nos,Akash@18SLI,40
9,Broadband Connection,Broadband Connection,1,Nos,Akash@18SLI,40
10,WiFi Router,WiFi Router,1,Nos,Akash@18SLI,40
11,UPS ONLINE,UPS ONLINE,1,Nos,Akash@18SLI,40
12,Lib Books,Lib Books,167,Nos,Akash@18SLI,40
13,LED Tube Light 20 W,LED Tube Light 20 W,10,Nos,Akash@18SLI,40
14,LED Bulb 9 W,LED Bulb 9 W,10,Nos,Akash@18SLI,40
15,Table Lamp with Holder for Bulb 9 W,Table Lamp with Holder for Bulb 9 W,10,Nos,Akash@18SLI,40
16,Electric Switches,Electric Switches,21,Nos,Akash@18SLI,40
17,Switch Boards,Switch Boards,2,Nos,Akash@18SLI,40
18,MCB 63 Ampere,MCB 63 Ampere,2,Nos,Akash@18SLI,40
19,200 Mtr Copper Wiring 1 5 Sq mm,200 Mtr Copper Wiring 1 5 Sq mm,200,Mtr,Akash@18SLI,40
20,Door Curtains Size 6ft 3ft,Door Curtains Size 6ft 3ft,2,Nos,Akash@18SLI,40
21,Window Curtains Size 5 5ft  6ft,Window Curtains Size 5 5ft  6ft,6,Nos,Akash@18SLI,40
22,RO Filter 8 Ltr,RO Filter 8 Ltr,1,Nos,Akash@18SLI,40
23,Paint 20 Ltr Light Blue Colour,Paint 20 Ltr Light Blue Colour,20,Ltr,Akash@18SLI,40
24,Distemper 20 Ltr,Distemper 20 Ltr,20,Ltr,Akash@18SLI,40
25,Floor Tiling 11ft  55 ft Tile Size  16 16,Floor Tiling 11ft  55 ft Tile Size  16 16,1,Job,Akash@18SLI,40
26,Cement Bag 25 Kgs,Cement Bag 25 Kgs,5,Bag,Akash@18SLI,40
27,Meter Scale,Meter Scale,5,Nos,Akash@18SLI,40
28,Vernier Scale,Vernier Scale,10,Nos,Akash@18SLI,40
29,Screw Gauge ,Screw Gauge ,10,Nos,Akash@18SLI,40
30,Spring Balance,Spring Balance,10,Nos,Akash@18SLI,40
31,Convex Lenses,Convex Lenses,10,Nos,Akash@18SLI,40
32,Concave Lenses,Concave Lenses,10,Nos,Akash@18SLI,40
33,Optical Bench,Optical Bench,5,Nos,Akash@18SLI,40
34,Lab Mirrors,Lab Mirrors,5,Nos,Akash@18SLI,40
35,Ammeter,Ammeter,10,Nos,Akash@18SLI,40
36,Voltmeter,Voltmeter,10,Nos,Akash@18SLI,40
37,Rheostat,Rheostat,10,Nos,Akash@18SLI,40
38,Battery,Battery,10,Nos,Akash@18SLI,40
39,Stopwatch,Stopwatch,10,Nos,Akash@18SLI,40
40,Thermometer,Thermometer,10,Nos,Akash@18SLI,40
41,Test tubes,Test tubes,20,Nos,Akash@18SLI,40
42,Potentiometer Boards,Potentiometer Boards,10,Nos,Akash@18SLI,40
43,Beakers,Beakers,10,Nos,Akash@18SLI,40
44,Conical Flasks,Conical Flasks,10,Nos,Akash@18SLI,40
45,Burettes,Burettes,10,Nos,Akash@18SLI,40
46,Bunsen Burners,Bunsen Burners,10,Nos,Akash@18SLI,40
47,Test Tube Holder,Test Tube Holder,10,Nos,Akash@18SLI,40
48,Litmus Paper Book,Litmus Paper Book,5,Nos,Akash@18SLI,40
49,PH Paper Book,PH Paper Book,5,Nos,Akash@18SLI,40
50,H SO,H SO,5,Ltr,Akash@18SLI,40
51,HCl,HCl,5,Ltr,Akash@18SLI,40
52,Na Cl,Na Cl,5,Ltr,Akash@18SLI,40
53,Na OH,Na OH,5,Ltr,Akash@18SLI,40
