Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,Arjun Sadad,6 to 8 Feet,196,Nos,rfo@navsari,30
2,Desi Mango,6 to 8 Feet,210,Nos,rfo@navsari,30
3,Umro,6 to 8 Feet,28,Nos,rfo@navsari,30
4,Kadam,6 to 8 Feet,1778,Nos,rfo@navsari,30
5,Karanj,6 to 8 Feet,196,Nos,rfo@navsari,30
6,Kay Jeliya,6 to 8 Feet,1400,Nos,rfo@navsari,30
7,Kailash Pati,6 to 8 Feet,14,Nos,rfo@navsari,30
8,Khati Aamli,6 to 8 Feet,812,Nos,rfo@navsari,30
9,Khijdo,6 to 8 Feet,14,Nos,rfo@navsari,30
10,Jambu,6 to 8 Feet,196,Nos,rfo@navsari,30
11,Jarul,6 to 8 Feet,280,Nos,rfo@navsari,30
12,Terminalia Mili,6 to 8 Feet,140,Nos,rfo@navsari,30
13,Tabebuia Pink,6 to 8 Feet,1680,Nos,rfo@navsari,30
14,Tabebuia Yellow,6 to 8 Feet,280,Nos,rfo@navsari,30
15,Peepal,6 to 8 Feet,2254,Nos,rfo@navsari,30
16,Bili,6 to 8 Feet,42,Nos,rfo@navsari,30
17,Mahudo,6 to 8 Feet,812,Nos,rfo@navsari,30
18,Neem,6 to 8 Feet,812,Nos,rfo@navsari,30
19,Limdo,6 to 8 Feet,854,Nos,rfo@navsari,30
20,Shiv Jata,6 to 8 Feet,14,Nos,rfo@navsari,30
21,Sita Ashok,6 to 8 Feet,28,Nos,rfo@navsari,30
22,Spathodea,6 to 8 Feet,1680,Nos,rfo@navsari,30
