Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,Bio Cal 4x3 Ml compac with Meril Autoquant 400 S,Bio Cal 4x3 Ml compac with Meril Autoquant 400 S,4,Kit,jimjoy.643p@gov.in,28
2,Bio Norm 1x5 Ml compac with Meril Autoquant 400 S,Bio Norm 1x5 Ml compac with Meril Autoquant 400 S,18,Kit,jimjoy.643p@gov.in,28
3,Bio Path 1x5 Ml compac with Meril Autoquant 400 S,Bio Path 1x5 Ml compac with Meril Autoquant 400 S,6,Kit,jimjoy.643p@gov.in,28
4,Deproteiniser Electrolyte 1x100 Ml compac with Meril Autoquant 400 S,Deproteiniser Electrolyte 1x100 Ml compac with Meril Autoquant 400 S,1,Bott of 100ml,jimjoy.643p@gov.in,28
5,Electrolyte Fluid Pack 1x1 compac with Meril Autoquant 400 S,Electrolyte Fluid Pack 1x1 compac with Meril Autoquant 400 S,6,Pack,jimjoy.643p@gov.in,28
6,Kit for CRP 2 x 40  2 x10ml compac with Meril Autoquant 400 S,Kit for CRP 2 x 40  2 x10ml compac with Meril Autoquant 400 S,3,Kit,jimjoy.643p@gov.in,28
7,Kit For  Amylase 6 x 20 Ml compac with Meril Autoquant 400 S,Kit For  Amylase 6 x 20 Ml compac with Meril Autoquant 400 S,5,Kit,jimjoy.643p@gov.in,28
8,Kit For Calcium 4x20 Ml compac with Meril Autoquant 400 S,Kit For Calcium 4x20 Ml compac with Meril Autoquant 400 S,5,Kit,jimjoy.643p@gov.in,28
9,Kit for CPKMB 4 x60 4x15ml compac with Meril Autoquant 400 S,Kit for CPKMB 4 x60 4x15ml compac with Meril Autoquant 400 S,2,Kit,jimjoy.643p@gov.in,28
10,Kit for GGT 2 x 60 2x15 Ml compac with Meril Autoquant 400 S,Kit for GGT 2 x 60 2x15 Ml compac with Meril Autoquant 400 S,9,Kit,jimjoy.643p@gov.in,28
11,Kit for LDH 2 x 60 2x15ml compac with Meril Autoquant 400 S,Kit for LDH 2 x 60 2x15ml compac with Meril Autoquant 400 S,3,Kit,jimjoy.643p@gov.in,28
12,Kit for Phosphorus 6 x 20ml  compac with Meril Autoquant 400 S,Kit for Phosphorus 6 x 20ml  compac with Meril Autoquant 400 S,3,Kit,jimjoy.643p@gov.in,28
13,Kit for STD B  1 x 100ml  compac with Meril Autoquant 400 S,Kit for STD B  1 x 100ml  compac with Meril Autoquant 400 S,12,Kit,jimjoy.643p@gov.in,28
14,Kits for  Protein 6x20 Ml compac with Meril Autoquant 400 S,Kits for  Protein 6x20 Ml compac with Meril Autoquant 400 S,6,Kit,jimjoy.643p@gov.in,28
15,Kits for  Urea 4x20 Ml compac with Meril Autoquant 400 S,Kits for  Urea 4x20 Ml compac with Meril Autoquant 400 S,9,Kit,jimjoy.643p@gov.in,28
16,Kits for Albumin 6x50 Ml compac with Meril Autoquant 400 S,Kits for Albumin 6x50 Ml compac with Meril Autoquant 400 S,3,Kit,jimjoy.643p@gov.in,28
17,Kits for Alkaline Phosphatase 6x20 Ml compac with Meril Autoquant 400 S,Kits for Alkaline Phosphatase 6x20 Ml compac with Meril Autoquant 400 S,5,Kit,jimjoy.643p@gov.in,28
18,Kits for Cholestrol 6x70 Ml compac with Meril Autoquant 400 S,Kits for Cholestrol 6x70 Ml compac with Meril Autoquant 400 S,9,Kit,jimjoy.643p@gov.in,28
19,Kits for Creatinine 4x60 4x15 Ml compac with Meril Autoquant 400 S,Kits for Creatinine 4x60 4x15 Ml compac with Meril Autoquant 400 S,9,Kit,jimjoy.643p@gov.in,28
20,Kits for Direct Bilirubin 4 x 45 4x15 Mlcompac with Meril Autoquant 400 S,Kits for Direct Bilirubin 4 x 45 4x15 Mlcompac with Meril Autoquant 400 S,6,Kit,jimjoy.643p@gov.in,28
21,Kits for Glucose 6x70 Ml compac with Meril Autoquant 400 S,Kits for Glucose 6x70 Ml compac with Meril Autoquant 400 S,18,Kit,jimjoy.643p@gov.in,28
22,Kits for HDL Cholesterol Direct 4x60 4x15 Ml compac with Meril Autoquant 400 S,Kits for HDL Cholesterol Direct 4x60 4x15 Ml compac with Meril Autoquant 400 S,9,Kit,jimjoy.643p@gov.in,28
23,Kits for SGOT Alt4x60 4x15 Ml compac with Meril Autoquant 400 S,Kits for SGOT Alt4x60 4x15 Ml compac with Meril Autoquant 400 S,9,Kit,jimjoy.643p@gov.in,28
24,Kits for SGPT Alt 4x45 4x15 Ml compac with Meril Autoquant 400 S,Kits for SGPT Alt 4x45 4x15 Ml compac with Meril Autoquant 400 S,9,Kit,jimjoy.643p@gov.in,28
25,Kits for Total Bilirubin 4 x 45 4x15 Ml compac with Meril Autoquant 400 S,Kits for Total Bilirubin 4 x 45 4x15 Ml compac with Meril Autoquant 400 S,10,Kit,jimjoy.643p@gov.in,28
26,Kits for Triglyceride 6 x70 Ml compac with Meril Autoquant 400 S,Kits for Triglyceride 6 x70 Ml compac with Meril Autoquant 400 S,9,Kit,jimjoy.643p@gov.in,28
27,Kits for Uric Acid 4 x50ml compac with Meril Autoquant 400 S,Kits for Uric Acid 4 x50ml compac with Meril Autoquant 400 S,3,Kit,jimjoy.643p@gov.in,28
28,PM Kit  compac with Meril Autoquant 400 S,PM Kit  compac with Meril Autoquant 400 S,1,Kit,jimjoy.643p@gov.in,28
29,R1 cleaner compac with Meril Autoquant 400 S bott of 100ml,R1 cleaner compac with Meril Autoquant 400 S bott of 100ml,3,Kit,jimjoy.643p@gov.in,28
30,Sample cup 1.5 ml compac with Meril Autoquant 400 S,Sample cup 1.5 ml compac with Meril Autoquant 400 S,720,No ,jimjoy.643p@gov.in,28
