Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,Arduino UNO With IC,Atmega 328P 8Bit AVR family,27,pieces,buycon1060.atl.mh,15
2,Arduino Nano soldered,Atmega 328P 8Bit AVR family,20,pieces,buycon1060.atl.mh,15
3,Arduino Mega,Arduino Mega,5,pieces,buycon1060.atl.mh,15
4,Breadboards and Mini Breadboard,Solderless 400 points,30,pieces,buycon1060.atl.mh,15
5,General purpose Soldering Board,Female Berg Strip 40 Pins,30,pieces,buycon1060.atl.mh,15
6,General purpose Soldering Board,Male Berg Strip 40 Pins Single Row,30,pieces,buycon1060.atl.mh,15
7,I2C Module for Display soldered,Dot matrix LCD display with 16 characters x 2 lines with I2C,20,pieces,buycon1060.atl.mh,15
8,USB Cable Set,USB Cable Set (A to B),40,pieces,buycon1060.atl.mh,15
9,9 Volt battery,9V Battery Rechargeable battery,20,pieces,buycon1060.atl.mh,15
10,Line Voltage Regulator,7805,5,pieces,buycon1060.atl.mh,15
11,Water Pump Module,"DC 12V,4W,Submersible water Pump",20,pieces,buycon1060.atl.mh,15
12,8 in to 8 LED Matrix Module,Max 7219 Dot LED Matrix Module MCU control LED Display Module,10,pieces,buycon1060.atl.mh,15
13,Bluetooth,HC 05 working voltage 5 Volt,5,pieces,buycon1060.atl.mh,15
14,LDR Module,Photosensitive LDR light sensor module,10,pieces,buycon1060.atl.mh,15
15,Joy Stick,Joy stick module for Arduino,10,pieces,buycon1060.atl.mh,15
16,Active Buzzer,Small 5 Volt,20,pieces,buycon1060.atl.mh,15
17,Motor Driver,L298N Moter Driver module,30,pieces,buycon1060.atl.mh,15
18,DC Plastic Gear motor with wheel,"12V,150 RPM,Side
shaft,Battery operated",40,pieces,buycon1060.atl.mh,15
19,NodeMCU with Wi-fi,"ESP  32 I2C,1 Wire,Plug and Play",20,pieces,buycon1060.atl.mh,15
20,RGB LEDs,Regular 5mm 3-5 volt Range,50,pieces,buycon1060.atl.mh,15
21,LEDs Red,Regular 5mm 3-5 volt Range,50,pieces,buycon1060.atl.mh,15
22,LEDs Green,Regular 5mm 3-5 volt Range,50,pieces,buycon1060.atl.mh,15
23,LEDs Blue,Regular 5mm 3-5 volt Range,50,pieces,buycon1060.atl.mh,15
24,LeD yellow,Regular 5mm 3-5 volt Range,50,pieces,buycon1060.atl.mh,15
25,LEDs White,Regular 5mm 3-5 volt Range,50,pieces,buycon1060.atl.mh,15
26,555 Timer IC,555 Timer IC 4.5V to 16 Volt,5,pieces,buycon1060.atl.mh,15
27,Diode  Kit,1N4007-25 1N 4006-25Zener diode  2.5V-25Zener Diode 4.6V-25,2,pieces,buycon1060.atl.mh,15
28,Transistor Kit,BC-547-25 BC 557-25,2,pieces,buycon1060.atl.mh,15
29,Push Button Switch,Tactile Switch Micro  Push Button Toggle switch,20,pieces,buycon1060.atl.mh,15
30,MQ 2 Smoke detection,MQ-2 Smoke detection,5,pieces,buycon1060.atl.mh,15
31,MQ 3 Alcohol-Ethanol sensor,MQ-3 Alcohol-Ethanol sensor,5,pieces,buycon1060.atl.mh,15
32,MQ 4 Methane Natural Gas Sensor,MQ-4 Methane Natural Gas Sensor,5,pieces,buycon1060.atl.mh,15
