Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,Cement OPC,CIVIL ITEM,762,50Kg Bag,735365865320,15
2,River Sand Coarse,CIVIL ITEM,154160,Kg,735365865320,15
3,Aggregate 20 mm,CIVIL ITEM,3003,50Kg Packet,735365865320,15
4,Plasticizer or Super Plasticizer,CIVIL ITEM,133,Kg,735365865320,15
5,Shuttering Form Work,CIVIL ITEM,103,Sqm,735365865320,15
6,Red Bricks,CIVIL ITEM,23467,Nos,735365865320,15
7,Wooden Log Reqiured Shape,CIVIL ITEM,2,Cum,735365865320,15
8,MS Jali As Per Drawing,CIVIL ITEM,269,sqft,735365865320,15
9,WPC Door Shutter Including Accessories,CIVIL ITEM,215,Sqft,735365865320,15
10,High Polymer Modified Quickest tile Adhesive,CIVIL ITEM,177,20 Kg Bag,735365865320,15
11,MS Wire Nail All Size,CIVIL ITEM,20,Kg,735365865320,15
12,Nylon Rope ,CIVIL ITEM,100,Mtr,735365865320,15
13,S.S Screws,CIVIL ITEM,2000,Nos,735365865320,15
14,Grinding Cutting Disc,CIVIL ITEM,5,Nos,735365865320,15
15,Tile Pigment ,CIVIL ITEM,50,Kg,735365865320,15
16,Granite Pigment,CIVIL ITEM,10,Kg,735365865320,15
17,Putty Blade ,CIVIL ITEM,25,Nos,735365865320,15
18,Sand Paper,CIVIL ITEM,100,Nos,735365865320,15
19,Paint Tray,CIVIL ITEM,50,Nos,735365865320,15
20,Paint Roller,CIVIL ITEM,10,Nos,735365865320,15
21,TMT Steel Bar 20 mm,STEEL BAR,2275,Kg,735365865320,15
22,TMT Steel Bar 16 mm,STEEL BAR,1576,Kg,735365865320,15
23,TMT Steel Bar 12 mm,STEEL BAR,2481,Kg,735365865320,15
24,TMT Steel Bar 10 mm,STEEL BAR,700,Kg,735365865320,15
25,TMT Steel Bar 8 mm,STEEL BAR,1948,Kg,735365865320,15
26,Binding Wire,STEEL BAR,898,Kg,735365865320,15
27,Truss Member RHS 240 x 120 x 6,PEB STRUCTURE,1326,Kg,735365865320,15
28,Purlin Member RHS 100 x 50 x 4,PEB STRUCTURE,985,Kg,735365865320,15
29,Purlin Member SHS 50 x 50 x 3.6,PEB STRUCTURE,122,Kg,735365865320,15
30,Column Member Vertical 200 x 200 x 6,PEB STRUCTURE,6362,Kg,735365865320,15
31,Vertical Member of Truss SHS 72 x 72 x 4.8,PEB STRUCTURE,2889,Kg,735365865320,15
32,Column Member SHS 150 x 150 x 5,PEB STRUCTURE,2544,Kg,735365865320,15
33,Member Along Ramp Longitudinal Side  RHS 145 x 82 x 4.8,PEB STRUCTURE,1687,Kg,735365865320,15
34,Member Along Ramp Transeverse Side  RHS 145 x 92 x 4.8,PEB STRUCTURE,1050,Kg,735365865320,15
