Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,HBSAG TEST KIT ,HBSAG TEST KIT ,200,CARDS,AMOHIREKERUR,15
2,MP TEST KIT,MP TEST KIT,50,CARDS,AMOHIREKERUR,15
3,DENGUE NS1 TEST KIT,DENGUE NS1 TEST KIT,50,CARDS,AMOHIREKERUR,15
4,VDRL TEST KIT,VDRL TEST KIT,150,CARDS,AMOHIREKERUR,15
5,K3EDTA TEST TUBES,K3EDTA TEST TUBES,3000,PCS,AMOHIREKERUR,15
6,CLOTACTIVATER TEST TUBES,CLOTACTIVATER TEST TUBES,300,PCS,AMOHIREKERUR,15
7,FINE CARE CRP TEST KIT,FINE CARE CRP TEST KIT,25,CARDS,AMOHIREKERUR,15
8,FINECARE T3 TEST KIT,FINECARE T3 TEST KIT,25,CARDS,AMOHIREKERUR,15
9,FINECARE T4 TEST KIT,FINECARE T4 TEST KIT,25,CARDS,AMOHIREKERUR,15
10,FINECARE TSH TEST KIT,FINECARE TSH TEST KIT,25,CARDS,AMOHIREKERUR,15
