Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,FIE Fencing Piste ,AS PER FILE ATTACHED ,4,NOS,ssnconsignee,45
2,Fencing Apparatus complete  with remote battery pillars,AS PER FILE ATTACHED ,4,NOS,ssnconsignee,45
3,Millennium Reel OR Spool ,AS PER FILE ATTACHED ,8,NOS,ssnconsignee,45
4,Spool Connecting Wire ,AS PER FILE ATTACHED ,8,NOS,ssnconsignee,45
5,Piste Connecting Wire ,AS PER FILE ATTACHED ,4,NOS,ssnconsignee,45
6,Epee weapon electric complete,AS PER FILE ATTACHED ,18,NOS,ssnconsignee,45
7,Foil weapon electric complete,AS PER FILE ATTACHED ,18,NOS,ssnconsignee,45
8,Sabre weapon electric complete,AS PER FILE ATTACHED ,18,NOS,ssnconsignee,45
9,Epee blade electric complete,AS PER FILE ATTACHED ,18,NOS,ssnconsignee,45
10,Foil blade electric complete,AS PER FILE ATTACHED ,18,NOS,ssnconsignee,45
11,Sabre blade electric complete,AS PER FILE ATTACHED ,18,NOS,ssnconsignee,45
12, Mask Epee,AS PER FILE ATTACHED ,18,NOS,ssnconsignee,45
13,Foil Mask,AS PER FILE ATTACHED ,18,NOS,ssnconsignee,45
14,Sabre Mask,AS PER FILE ATTACHED ,18,NOS,ssnconsignee,45
15,Epee Body Wire,AS PER FILE ATTACHED ,18,NOS,ssnconsignee,45
16,Foil OR Sabre Body Wire,AS PER FILE ATTACHED ,36,NOS,ssnconsignee,45
17,Fencing Suit,AS PER FILE ATTACHED ,54,NOS,ssnconsignee,45
18,Fencing Chest Protector,AS PER FILE ATTACHED ,18,NOS,ssnconsignee,45
19,Brest protector,AS PER FILE ATTACHED ,18,NOS,ssnconsignee,45
20,Sabre Electric Jacket,AS PER FILE ATTACHED ,18,NOS,ssnconsignee,45
21,Foil Electric Jacket,AS PER FILE ATTACHED ,18,NOS,ssnconsignee,45
22,Sabre electric Gloves,AS PER FILE ATTACHED ,18,NOS,ssnconsignee,45
23,Foil OR Epee Gloves,AS PER FILE ATTACHED ,36,NOS,ssnconsignee,45
24,Sabre Mask Wire,AS PER FILE ATTACHED ,18,NOS,ssnconsignee,45
25,Master Jacket,AS PER FILE ATTACHED ,1,NOS,ssnconsignee,45
26,Master Arm Guard,AS PER FILE ATTACHED ,1,NOS,ssnconsignee,45
27,Master Mask,AS PER FILE ATTACHED ,1,NOS,ssnconsignee,45
28,Master Leg Guard,AS PER FILE ATTACHED ,1,NOS,ssnconsignee,45
29,Master Hand Glove,AS PER FILE ATTACHED ,1,NOS,ssnconsignee,45
30,Coach Mask complete With leather pad,AS PER FILE ATTACHED ,1,NOS,ssnconsignee,45
31,Kit Bag  Small Trolley,AS PER FILE ATTACHED ,18,NOS,ssnconsignee,45
32,Fencing Target Board,AS PER FILE ATTACHED ,10,NOS,ssnconsignee,45
33,Fencing Target Dummy,AS PER FILE ATTACHED ,3,NOS,ssnconsignee,45
34,Fencing Tool Kit,AS PER FILE ATTACHED ,1,NOS,ssnconsignee,45
