Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,Accuchek Active Glucometer ONES 3 MONTH,Accuchek Active Glucometer ONES 3 MONTH,2,NO,Buyerprocnagar,30
2,Accuchek Active Glucostrip Bott of 50 strips,Accuchek Active Glucostrip Bott of 50 strips,110,BOTT,Buyerprocnagar,30
3,CHICKUN GUNIYA IGG IGM 10 TestperKit,CHICKUN GUNIYA IGG IGM 10 TestperKit,40,KIT,Buyerprocnagar,30
4,KIT PAN MALARIA RAPID,KIT PAN MALARIA RAPID,224,TEST,Buyerprocnagar,30
5,PREGNANCY TEST RAPID ,PREGNANCY TEST RAPID ,106,TEST,Buyerprocnagar,30
6,WEIL FELIX  OX2 OXK OX193X5 MLperKIT,WEIL FELIX  OX2 OXK OX193X5 MLperKIT,6,KIT,Buyerprocnagar,30
7,WIDAL TEST ARKRAY 4X5 MLperKit,WIDAL TEST ARKRAY 4X5 MLperKit,18,KIT,Buyerprocnagar,30
8,TYPHIDOT J Mitra  50 TestperKit,TYPHIDOT J Mitra  50 TestperKit,21,KIT,Buyerprocnagar,30
9,KIT FOR DENGUE J Mitra 10 TestperKit,KIT FOR DENGUE J Mitra 10 TestperKit,65,KIT,Buyerprocnagar,30
10,ISOTONIC 3 DILUTION 640 G 18 LTR,ISOTONIC 3 DILUTION 640 G 18 LTR,12,CAN,Buyerprocnagar,30
11,HAEMOLINAC 3 N 680G 500ML,HAEMOLINAC 3 N 680G 500ML,5,BOTT,Buyerprocnagar,30
12,CLEANAC DETERGENT 5 LTR ,CLEANAC DETERGENT 5 LTR ,3,CAN,Buyerprocnagar,30
13,CLEANAC 3 MEK 620G  2Ltr,CLEANAC 3 MEK 620G  2Ltr,2,CAN,Buyerprocnagar,30
14,HAEMATOLOGY CONTROL NIHON KOHDEN 3D  3X2 ML,HAEMATOLOGY CONTROL NIHON KOHDEN 3D  3X2 ML,1,SET,Buyerprocnagar,30
15,HAEMATOLOGY CALIBRATOR  NIHON KOHDEN  1x2 ML,HAEMATOLOGY CALIBRATOR  NIHON KOHDEN  1x2 ML,1,NO,Buyerprocnagar,30
16,PM KIT FOR HAEMATOLOGY  MEK 6420P NIHON KOHDEN  ,PM KIT FOR HAEMATOLOGY  MEK 6420P NIHON KOHDEN  ,1,KIT,Buyerprocnagar,30
17, ERBA WASH 50 ml , ERBA WASH 50 ml ,10,BOTT,Buyerprocnagar,30
18,DISPOSAL MICRO PIPETTE 10to200 ul  ERBA,DISPOSAL MICRO PIPETTE 10to200 ul  ERBA,2,NO,Buyerprocnagar,30
19,DISPOSAL MICRO PIPETTE 100to1000 ul  ERBA,DISPOSAL MICRO PIPETTE 100to1000 ul  ERBA,2,NO,Buyerprocnagar,30
20,DISPOSAL MICRO PIPETTE 5to50 ul ERBA,DISPOSAL MICRO PIPETTE 5to50 ul ERBA,2,NO,Buyerprocnagar,30
21,GROUPING SERA ANTI A 10ML  ARKRAY,GROUPING SERA ANTI A 10ML  ARKRAY,3,BOTT,Buyerprocnagar,30
22,GROUPING SERA ANTI B 10 ML  ARKRAY,GROUPING SERA ANTI B 10 ML  ARKRAY,3,BOTT,Buyerprocnagar,30
23,GROUPING SERA ANTI RH D  10ML  ARKRAY,GROUPING SERA ANTI RH D  10ML  ARKRAY,3,BOTT,Buyerprocnagar,30
24,ESTIMATION OF BILIRUBIN  ERBA 4X60 MLperKit,ESTIMATION OF BILIRUBIN  ERBA 4X60 MLperKit,20,KIT ,Buyerprocnagar,30
25,ESTIMATION OF AMYLASE  ERBA 6X6 MLperKit,ESTIMATION OF AMYLASE  ERBA 6X6 MLperKit,4,KIT ,Buyerprocnagar,30
26,ESTIMATION OF CHOLESTROL  ERBA 5X20 MLperKit,ESTIMATION OF CHOLESTROL  ERBA 5X20 MLperKit,44,KIT,Buyerprocnagar,30
27,ESTIMATION OF CREATININE ERBA 4X60 MLperKit,ESTIMATION OF CREATININE ERBA 4X60 MLperKit,23,KIT ,Buyerprocnagar,30
28,KIT FOR LIPASE ERBA 1X20per1X5 MLperKit,KIT FOR LIPASE ERBA 1X20per1X5 MLperKit,2,KIT,Buyerprocnagar,30
29,ESTIMATION OF SGOT ERBA 5X20 MLperKit,ESTIMATION OF SGOT ERBA 5X20 MLperKit,27,KIT,Buyerprocnagar,30
30,ESTIMATION OF SGPT ERBA 5X20 MLperKit,ESTIMATION OF SGPT ERBA 5X20 MLperKit,33,KIT,Buyerprocnagar,30
31,ESTIMATION OF TRIGLYCERAIDE ERBA 5X20 MLperKit,ESTIMATION OF TRIGLYCERAIDE ERBA 5X20 MLperKit,24,KIT,Buyerprocnagar,30
32,ESTIMATION OF UREA ERBA 5X20 MLperKit,ESTIMATION OF UREA ERBA 5X20 MLperKit,48,KIT ,Buyerprocnagar,30
33,ESTISMATION OF URIC ACID  ERBA 5X20 MLperKit,ESTISMATION OF URIC ACID  ERBA 5X20 MLperKit,30,KIT,Buyerprocnagar,30
34,ESTIMATIN OF HDL CHOLESTROL  ERBA 4X30per4X10 MLperKit,ESTIMATIN OF HDL CHOLESTROL  ERBA 4X30per4X10 MLperKit,38,KIT,Buyerprocnagar,30
35,KIT FOR ESTIMATION OF GLUCOSE ERBA2X200 MLperKit,KIT FOR ESTIMATION OF GLUCOSE ERBA2X200 MLperKit,27,KIT,Buyerprocnagar,30
36,ESTIMATION OF ALBUMIN ERBA5X50 MlperKit,ESTIMATION OF ALBUMIN ERBA5X50 MlperKit,8,KIT,Buyerprocnagar,30
37,ESTIMATION OF PROTEIN ERBA5X50 MlperKit,ESTIMATION OF PROTEIN ERBA5X50 MlperKit,12,KIT,Buyerprocnagar,30
38,ESTIMATION OF Alkaline phosphate ERBA6X6 MlperKit,ESTIMATION OF Alkaline phosphate ERBA6X6 MlperKit,20,KIT,Buyerprocnagar,30
39,CRP  ERBA,CRP  ERBA,9,KIT,Buyerprocnagar,30
40,ESTIMATION OF RA FACTOR ERBA1X40per1X10MLperKit,ESTIMATION OF RA FACTOR ERBA1X40per1X10MLperKit,4,KIT,Buyerprocnagar,30
41,CALCIUM KIT  ERBA 2X50 MLperKit,CALCIUM KIT  ERBA 2X50 MLperKit,20,KIT,Buyerprocnagar,30
42,Disposal ESR Tube  ,Disposal ESR Tube  ,318,NO,Buyerprocnagar,30
43,PROTHROMBIN TIME KIT Tulip Uniplastine 1pnt1  5mlperKit,PROTHROMBIN TIME KIT Tulip Uniplastine 1pnt1  5mlperKit,12,KIT,Buyerprocnagar,30
44,ETHYL ALCOHOL  500ml,ETHYL ALCOHOL  500ml,6,BOTT,Buyerprocnagar,30
45,MICROSCOPE LENS CLEANING FLUID,MICROSCOPE LENS CLEANING FLUID,3,BOTT,Buyerprocnagar,30
46,HBSAg RAPID ANTIGEN TEST HEPACARD 100TestperKit,HBSAg RAPID ANTIGEN TEST HEPACARD 100TestperKit,263,TEST,Buyerprocnagar,30
47,HIV IperHIV II RAPID TRItoDOT,HIV IperHIV II RAPID TRItoDOT,380,TEST,Buyerprocnagar,30
48,HCV RAPID TRItoDOT,HCV RAPID TRItoDOT,263,TEST,Buyerprocnagar,30
49,Syphilisper VDRL KIT Rapid Test,Syphilisper VDRL KIT Rapid Test,160,TEST,Buyerprocnagar,30
50,MICROSCOPIC SLIDE ,MICROSCOPIC SLIDE ,200,NO,Buyerprocnagar,30
51,SEMI AUTO ANALYSER PAPER ROLL,SEMI AUTO ANALYSER PAPER ROLL,50,ROLL,Buyerprocnagar,30
52,TROPE T Sensitive  ROCHE 5 TestperKit,TROPE T Sensitive  ROCHE 5 TestperKit,41,KIT,Buyerprocnagar,30
53,URISTIC 100 STRIPS 10 PARA SIEMENS MULTISTIX 10SG,URISTIC 100 STRIPS 10 PARA SIEMENS MULTISTIX 10SG,72,BOTT,Buyerprocnagar,30
54,URISTIC 100 STRIPS 2 PARA SIEMENS ,URISTIC 100 STRIPS 2 PARA SIEMENS ,4,BOTT,Buyerprocnagar,30
55,TEST TUBE  12X75MM,TEST TUBE  12X75MM,1400,NO,Buyerprocnagar,30
56,TOURNIQUET PLASTIC,TOURNIQUET PLASTIC,16,NO,Buyerprocnagar,30
57,VACUTAINER EDTA K3,VACUTAINER EDTA K3,6660,NO,Buyerprocnagar,30
58,VACUTAINOR SOD FLOURIDE,VACUTAINOR SOD FLOURIDE,6160,NO,Buyerprocnagar,30
59,VACUTAINOR STERILE WITH GEL,VACUTAINOR STERILE WITH GEL,7560,NO,Buyerprocnagar,30
60,BLOOD  COLLECTION VACUTAINER NEEDLE,BLOOD  COLLECTION VACUTAINER NEEDLE,4000,NO,Buyerprocnagar,30
61,VACUTAINOR SODIUM CITRATE,VACUTAINOR SODIUM CITRATE,200,NO,Buyerprocnagar,30
62,DISPO MICRO TIP  100to1000 ul   500 NoperPkt,DISPO MICRO TIP  100to1000 ul 500 NoperPkt,5,PKT,Buyerprocnagar,30
