Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,ALMIRAH SMALL STEEL  HALF H x Half S FD 1034,As per Specification attached in ATC,18,Each,ge-sachin,120
2,BED HARD STEEL FD E6 MAP 08R,As per Specification attached in ATC,79,Each,ge-sachin,120
3,BIN LINEN MULTIPURPOSE FD E6 MAP 09,As per Specification attached in ATC,2,Each,ge-sachin,120
4,BOOK CASE OPEN SMALL FD 355,As per Specification attached in ATC,17,Each,ge-sachin,120
5,CHAIR DINING FD 279,As per Specification attached in ATC,47,Each,ge-sachin,120
6,CHAIR EASY FD 229,As per Specification attached in ATC,181,Each,ge-sachin,120
7,CHAIR EASY CUSHIONED FD 358,As per Specification attached in ATC,13,Each,ge-sachin,120
8,CHAIR VERANDAH FD 359,As per Specification attached in ATC,412,Each,ge-sachin,120
9,CHAIR WITH ARMS VISITOR CHAIR,As per Specification attached in ATC,5,Each,ge-sachin,120
10,CHARPOY WITH HARD TOP FD MAP II 01,As per Specification attached in ATC,70,Each,ge-sachin,120
11,LOCKER BED SIDE STEEL FD 1029,As per Specification attached in ATC,27,Each,ge-sachin,120
12,PEG TABLE FD 384 ,As per Specification attached in ATC,25,Each,ge-sachin,120
13,TABLE STEEL 900X900X760MM FD 1009,As per Specification attached in ATC,32,Each,ge-sachin,120
14,TABLE BED SIDE FD E6 MAP 15 R,As per Specification attached in ATC,231,Each,ge-sachin,120
15,TABLE CENTRE FD 375,As per Specification attached in ATC,35,Each,ge-sachin,120
16,TABLE DINING 6 PERSON  FD MAP II 03,As per Specification attached in ATC,48,Each,ge-sachin,120
17,TABLE DINING 8 PERSON FD 273,As per Specification attached in ATC,4,Each,ge-sachin,120
18,TABLE DRESSING GENTS WITH MIRROR FD 230,As per Specification attached in ATC,15,Each,ge-sachin,120
19,TABLE WITH DRAWER STEEL 900X600X760MM FD 1008,As per Specification attached in ATC,28,Each,ge-sachin,120
20,TABLE WITHOUT DRAWER STEEL 900X600X760MM FD 1007,As per Specification attached in ATC,74,Each,ge-sachin,120
21,TABLE WRITING FD 275,As per Specification attached in ATC,47,Each,ge-sachin,120
22,TRESTLE STORE ROOM STEEL FD 1043,As per Specification attached in ATC,10,Each,ge-sachin,120
