Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,Locker Bed Side Steel FD 1029,As per Specification attached in BOQ SPECS AND ATC,286,Each,gejhansi,120
2,Bath Mat PVC FD E6 MAP 07,As per Specification attached in BOQ SPECS AND ATC,4,Each,gejhansi,120
3,Hat stand with mirror FD 233,As per Specification attached in BOQ SPECS AND ATC,1,Each,gejhansi,120
4,Receptical PVC 20 ltr FD E6 MAP 13,As per Specification attached in BOQ SPECS AND ATC,107,Each,gejhansi,120
5,Charpoy MS Tubing with Plywood Top FD MAP II 01,As per Specification attached in BOQ SPECS AND ATC,206,Each,gejhansi,120
6,Chair dining JCO OR FD MAP II 05,As per Specification attached in BOQ SPECS AND ATC,517,Each,gejhansi,120
7,Chair Easy FD 229,As per Specification attached in BOQ SPECS AND ATC,469,Each,gejhansi,120
8,Table dinning 1200x900 mm FD MAP II 03,As per Specification attached in BOQ SPECS AND ATC,260,Each,gejhansi,120
9,Table Dressing with mirror gents  FD E6 MAP 16,As per Specification attached in BOQ SPECS AND ATC,50,Each,gejhansi,120
10,Table Peg FD 277,As per Specification attached in BOQ SPECS AND ATC,197,Each,gejhansi,120
11,Table centre glass top FD 375,As per Specification attached in BOQ SPECS AND ATC,5,Each,gejhansi,120
12,Desk stand lecture FD 1022,As per Specification attached in BOQ SPECS AND ATC,6,Each,gejhansi,120
13,Table restaurant,As per Specification attached in BOQ SPECS AND ATC,2,Each,gejhansi,120
14,Almirah Wooden Spl,As per Specification attached in BOQ SPECS AND ATC,1,Each,gejhansi,120
15,Teapoy FD 278,As per Specification attached in BOQ SPECS AND ATC,208,Each,gejhansi,120
16,Table writing FD 275,As per Specification attached in BOQ SPECS AND ATC,50,Each,gejhansi,120
17,Chair without arms TP,As per Specification attached in BOQ SPECS AND ATC,50,Each,gejhansi,120
18,Table Bed side FD E6 MAP II 15 R ,As per Specification attached in BOQ SPECS AND ATC,153,Each,gejhansi,120
19,Conversion of charpoy Newar to Ply Top  FD 220,As per Specification attached in BOQ SPECS AND ATC,1200,Each,gejhansi,120
20,Supply and Fix Long Rail FD 220,As per Specification attached in BOQ SPECS AND ATC,300,Each,gejhansi,120
21,Conversion of Long Rail to Short Rail,As per Specification attached in BOQ SPECS AND ATC,600,Each,gejhansi,120
22,Conversion of Short Rail to Leg,As per Specification attached in BOQ SPECS AND ATC,1200,Each,gejhansi,120
23,Supply and fix GI Check nut,As per Specification attached in BOQ SPECS AND ATC,1600,Each,gejhansi,120
24,Supply and fix GI Elbow,As per Specification attached in BOQ SPECS AND ATC,1600,Each,gejhansi,120
25,Rack side steel with tray 4 space FD 1023,As per Specification attached in BOQ SPECS AND ATC,32,Each,gejhansi,120
26,Stool Steel 760mm   FD 81,As per Specification attached in BOQ SPECS AND ATC,24,Each,gejhansi,120
27,Table office offrs Steel FD 1003,As per Specification attached in BOQ SPECS AND ATC,16,Each,gejhansi,120
28,Rack pigeon hole steel FD 1037,As per Specification attached in BOQ SPECS AND ATC,1,Each,gejhansi,120
29,Table office clerk steel FD 1004,As per Specification attached in BOQ SPECS AND ATC,39,Each,gejhansi,120
30,Almirah Map steel FD 1030,As per Specification attached in BOQ SPECS AND ATC,1,Each,gejhansi,120
31,Bed hard  FD E6 MAP 08R,As per Specification attached in BOQ SPECS AND ATC,8,Each,gejhansi,120
32,Table steel 900x900x760 mm FD 1009,As per Specification attached in BOQ SPECS AND ATC,8,Each,gejhansi,120
33,Foam with out back FD 1027 ,As per Specification attached in BOQ SPECS AND ATC,1,Each,gejhansi,120
34,Table cook house FD 1019,As per Specification attached in BOQ SPECS AND ATC,1,Each,gejhansi,120
35,Bench Workshop type A 1800x900x760mm FD 1024,As per Specification attached in BOQ SPECS AND ATC,3,Each,gejhansi,120
36,Foam with back FD 78,As per Specification attached in BOQ SPECS AND ATC,2,Each,gejhansi,120
37,Safe meat and milk  FD 370,As per Specification attached in BOQ SPECS AND ATC,2,Each,gejhansi,120
38,Hot case FD 364,As per Specification attached in BOQ SPECS AND ATC,1,Each,gejhansi,120
39,Table Draftsman FD 1016,As per Specification attached in BOQ SPECS AND ATC,1,Each,gejhansi,120
40,Board Notice 8 feet x 4 feet FD 99,As per Specification attached in BOQ SPECS AND ATC,11,Each,gejhansi,120
41,Sofa set 5 Seater FD 281 ,As per Specification attached in BOQ SPECS AND ATC,1,Each,gejhansi,120
42,Table Centre  FD 274,As per Specification attached in BOQ SPECS AND ATC,2,Each,gejhansi,120
43,Chair Draftsman  FD 3,As per Specification attached in BOQ SPECS AND ATC,1,Each,gejhansi,120
44,Table dining 6 pers FD 273,As per Specification attached in BOQ SPECS AND ATC,22,Each,gejhansi,120
45,Chair Writing FD 280,As per Specification attached in BOQ SPECS AND ATC,197,Each,gejhansi,120
46,Table 900x600x760mm without drawer FD 284,As per Specification attached in BOQ SPECS AND ATC,7,Each,gejhansi,120
47,Carpet Woollen 3Mx2M TP,As per Specification attached in BOQ SPECS AND ATC,1,Each,gejhansi,120
48,White board TP,As per Specification attached in BOQ SPECS AND ATC,1,Each,gejhansi,120
49,Rack for 20 rifles  10 rifles in each side TP,As per Specification attached in BOQ SPECS AND ATC,16,Each,gejhansi,120
50,Pointer Telescopic aluminium 1 to 2 Mtr  Long  TP,As per Specification attached in BOQ SPECS AND ATC,4,Each,gejhansi,120
