Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,Table Pantry FD 1020,As per Specification attached in ATC,10,Each,gejhansi,120
2,Locker Bed side FD 1029,As per Specification attached in ATC,350,Each,gejhansi,120
3,Bath Mat PVC FD E6 MAP 07,As per Specification attached in ATC,20,Each,gejhansi,120
4,Hat Stand With Mirror  FD 233,As per Specification attached in ATC,20,Each,gejhansi,120
5,Receptical PVC FD E6 MAP 13,As per Specification attached in ATC,100,Each,gejhansi,120
6,Charpoy with Hard Top FD MAP II 01,As per Specification attached in ATC,250,Each,gejhansi,120
7,Charpoy folding with plytop FD 388 R,As per Specification attached in ATC,100,Each,gejhansi,120
8,Chair verandah officer FD MAP II 06,As per Specification attached in ATC,200,Each,gejhansi,120
9,Almirah med steel half H X half S FD 1034,As per Specification attached in ATC,100,Each,gejhansi,120
10,Couch examination with footstep HFD 2019,As per Specification attached in ATC,3,Each,gejhansi,120
11,Ladder Aluminium FD 1025,As per Specification attached in ATC,10,Each,gejhansi,120
12,Bed Fowler steel HFD 2002 ,As per Specification attached in ATC,2,Each,gejhansi,120
