Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,Disposab surgicalrubber gloves size 7 pair,Disposab surgicalrubber gloves size 7 pair,225,Pair,quartermastermhahmednagar,30
2,Disposable surgical rubber gloves size 7POINT5 pair,Disposable surgical rubber gloves size 7POINT5 pair,225,Pair,quartermastermhahmednagar,30
3,Universal Splint,Universal Splint,55,No,quartermastermhahmednagar,30
4,Cervical coller or tailor brace,Cervical coller or tailor brace,40,No,quartermastermhahmednagar,30
5,Pelvic binder  Size   L XL or XXL ,Pelvic binder  Size   L XL or XXL ,15,No,quartermastermhahmednagar,30
6,Thoracic catheter size drainage with Trocar 24,Thoracic catheter size drainage with Trocar 24,27,No,quartermastermhahmednagar,30
7,Urine collecting Bag with volume Meter,Urine collecting Bag with volume Meter,120,No,quartermastermhahmednagar,30
8,Foleys balloon catheter 2 Way silicon 16G,Foleys balloon catheter 2 Way silicon 16G,60,No,quartermastermhahmednagar,30
9,Chest seal dressing with vent for penetraingTwin ,Chest seal dressing with vent for penetraingTwin ,30,No,quartermastermhahmednagar,30
10,Emergency compression bandage 6 inch withclosure bar,Emergency compression bandage 6 inch withclosure bar,60,No,quartermastermhahmednagar,30
11,Skin stapler with 35 OR 55 stainless staples,Skin stapler with 35 OR 55 stainless staples,60,No,quartermastermhahmednagar,30
12,percuttracheostomykit completwithforcepsordilators7POINT5,percuttracheostomykit completwithforcepsordilators7POINT5,6,No,quartermastermhahmednagar,30
13,Combatcompress bandageforlint15cmwidth250cmlengthlargeSheildressing,Combatcompress bandageforlint15cmwidth250cmlengthlargeSheildressing,130,No,quartermastermhahmednagar,30
14,BandageElastAdhesive6cm3metunstretchedand5 6metwhenstretch,BandageElastAdhesive6cm3metunstretchedand5 6metwhenstretch,75,No,quartermastermhahmednagar,30
15,BandageOpenWoveuncompressed10cm4 metr,BandageOpenWoveuncompressed10cm4 metr,450,No,quartermastermhahmednagar,30
16,Cotton Wool  Absorbent pkt of 500 gm,Cotton Wool  Absorbent pkt of 500 gm,125,Kg,quartermastermhahmednagar,30
17,Polyglactin size1 70cm3by8 circleRB,Polyglactin size1 70cm3by8 circleRB,60,No,quartermastermhahmednagar,30
18,PolyamideMonofilamentsiz1 100 cm 1by2 CircleRB40 mm,PolyamideMonofilamentsiz1 100 cm 1by2 CircleRB40 mm,60,No,quartermastermhahmednagar,30
19,SilkBraidedsize1by0 70to76cmTaperCut1by2CircleNeedle25mm,SilkBraidedsize1by0 70to76cmTaperCut1by2CircleNeedle25mm,60,No,quartermastermhahmednagar,30
20,SilkBraidedsize 2by0 70to76 cmCutting 3by8CircleNeedl45mm,SilkBraidedsize 2by0 70to76 cmCutting 3by8CircleNeedl45mm,60,No,quartermastermhahmednagar,30
21,OTPackLargeGammaIrradsteril,OTPackLargeGammaIrradsteril,70,Set,quartermastermhahmednagar,30
22,Chitosanhaemostaticwounddressingsize15cminto15 cm,Chitosanhaemostaticwounddressingsize15cminto15 cm,55,No,quartermastermhahmednagar,30
23,AdhesivePlasterMicrofoamtape4 inchesboxof3,AdhesivePlasterMicrofoamtape4 inchesboxof3,65,Box,quartermastermhahmednagar,30
24,Pad AbdominalSwab25into25 cmwithtape 30 cm,Pad AbdominalSwab25into25 cmwithtape 30 cm,450,No,quartermastermhahmednagar,30
25,Pad Abdominal Swab 40into25 cm with tape  30 cm,Pad Abdominal Swab 40into25 cm with tape  30 cm,450,No,quartermastermhahmednagar,30
26,Nitrlie non sterile gloves large  L ,Nitrlie non sterile gloves large  L ,1250,Pair,quartermastermhahmednagar,30
27,Nitrlie non sterile gloves Medium  M ,Nitrlie non sterile gloves Medium  M ,1250,Pair,quartermastermhahmednagar,30
28,Naso gastic tube adult 100 cm long 16 G,Naso gastic tube adult 100 cm long 16 G,40,No,quartermastermhahmednagar,30
29,LignoHClJelly2PRCNTTube30gmsteriltubeshortnozzle,LignoHClJelly2PRCNTTube30gmsteriltubeshortnozzle,70,Tube,quartermastermhahmednagar,30
30,DispoplasticInfusforIVfluidsProsterllised pyrogen freecomplet,DispoplasticInfusforIVfluidsProsterllised pyrogen freecomplet,400,No,quartermastermhahmednagar,30
31,Sodium chloride Isotonicsolution 500mlselfcollapsible container,Sodium chloride Isotonicsolution 500mlselfcollapsible container,130,Bott,quartermastermhahmednagar,30
32,sodiumLactatecompoundRingerLactateIsosolution500 ml,sodiumLactatecompoundRingerLactateIsosolution500 ml,130,Bott,quartermastermhahmednagar,30
33,isotonsoldextrose 5PERCNTwith0POINT9PERCNTSodchlbott500mlDNS ,isotonsoldextrose 5PERCNTwith0POINT9PERCNTSodchlbott500mlDNS ,130,NO,quartermastermhahmednagar,30
34,Diclofenac 25 mgPERml3ml Inj,Diclofenac 25 mgPERml3ml Inj,275,Amp,quartermastermhahmednagar,30
35,Tramadol50mgPERml Inj  1 ml Amp,Tramadol50mgPERml Inj  1 ml Amp,250,Amp,quartermastermhahmednagar,30
36,ParacetamolcysteineHCLmonohydrateInfus1000mgPER100ml,ParacetamolcysteineHCLmonohydrateInfus1000mgPER100ml,250,Bott,quartermastermhahmednagar,30
37,Cannula IV with injection port wing size Size 16G,Cannula IV with injection port wing size Size 16G,150,No,quartermastermhahmednagar,30
38,Cannula IV with injection port wing size Size 18G,Cannula IV with injection port wing size Size 18G,150,No,quartermastermhahmednagar,30
39,Povidone Iodine 10PERCNT solution  bott of 100 ml,Povidone Iodine 10PERCNT solution  bott of 100 ml,125,Bott,quartermastermhahmednagar,30
40,Knife Bard parkerbladesize1 fittingcommercial No11pack of 6,Knife Bard parkerbladesize1 fittingcommercial No11pack of 6,100,Pkt,quartermastermhahmednagar,30
41,Knife Bard parkerbladesize1fitCommercialNo15pack6,Knife Bard parkerbladesize1fitCommercialNo15pack6,100,Pkt,quartermastermhahmednagar,30
42,Vaccum blood collection tubes with needles EDTA 3ml,Vaccum blood collection tubes with needles EDTA 3ml,200,No,quartermastermhahmednagar,30
43,Vaccum blood collec tubeswith needlesHeparin 2mlOR3ml,Vaccum blood collec tubeswith needlesHeparin 2mlOR3ml,200,No,quartermastermhahmednagar,30
44,Vaccum bloodcolltubeswithneedlesSterile tubewithgel5ml,Vaccum bloodcolltubeswithneedlesSterile tubewithgel5ml,200,No,quartermastermhahmednagar,30
45,Vaccumbloodcolltubeswithneedlessteriletube without gel3mlOR5ml,Vaccumbloodcolltubeswithneedlessteriletube without gel3mlOR5ml,200,No,quartermastermhahmednagar,30
46,Vaccumbloodcollect tubeswithneedlesSodiumFluoride 3ml,Vaccumbloodcollect tubeswithneedlesSodiumFluoride 3ml,200,No,quartermastermhahmednagar,30
47,AdrenalineTartrate1ISTO1000 1 ml Inj,AdrenalineTartrate1ISTO1000 1 ml Inj,80,Amp,quartermastermhahmednagar,30
