Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,DHP Copper S F Tube 8X1 mm,8 X 1 mm Thick,1000,Mtr,43704@HQ.INDIANNAVY.MIL,90
2,DHP Copper S F Tube 10X1.6 mm,10 X 1.6 mm Thick,200,Mtr,43704@HQ.INDIANNAVY.MIL,90
3,DHP Copper S F Tube 10X2.5 mm,10 X 2.5 mm Thick,200,Mtr,43704@HQ.INDIANNAVY.MIL,90
4,DHP Copper S F Tube 14X1.6 mm,14 X 1.6 mm Thick,200,Mtr,43704@HQ.INDIANNAVY.MIL,90
5,DHP Copper S F Tube 14X3 mm ,14 X 3 mm Thick,200,Mtr,43704@HQ.INDIANNAVY.MIL,90
6,DHP Copper S F Tube 20X2 mm,20 X 2 mm Thick,100,Mtr,43704@HQ.INDIANNAVY.MIL,90
7,DHP Copper S F Tube 20X4.5 mm,20 X 4.5 mm Thick,100,Mtr,43704@HQ.INDIANNAVY.MIL,90
8,DHP Copper S F Tube 25X3 mm ,25 X 3 mm Thick,100,Mtr,43704@HQ.INDIANNAVY.MIL,90
9,DHP Copper S F Tube 25X5.5 mm ,25 X 5.5 mm Thick,100,Mtr,43704@HQ.INDIANNAVY.MIL,90
10,DHP Copper S F Tube 30X2 mm,30 X 2 mm Thick,200,Mtr,43704@HQ.INDIANNAVY.MIL,90
11,DHP Copper S F Tube 30X3.5 mm,30 X 3.5 mm Thick,100,Mtr,43704@HQ.INDIANNAVY.MIL,90
12,DHP Copper S F Tube 30X6.5 mm,30 X 6.5 mm Thick,100,Mtr,43704@HQ.INDIANNAVY.MIL,90
13,DHP Copper S F Tube 36X2 mm ,36 X 2 mm Thick,200,Mtr,43704@HQ.INDIANNAVY.MIL,90
14,DHP Copper S F Tube 36X8 mm,36 X 8 mm Thick,100,Mtr,43704@HQ.INDIANNAVY.MIL,90
15,DHP Copper S F Tube 41.5X9 mm ,41.5 X 9 mm Thick,60,Mtr,43704@HQ.INDIANNAVY.MIL,90
16,DHP Copper S F Tube 42X2.5 mm,42 X 2.5 mm Thick,200,Mtr,43704@HQ.INDIANNAVY.MIL,90
17,DHP Copper S F Tube 48X11 mm,48 X 11 mm Thick,60,Mtr,43704@HQ.INDIANNAVY.MIL,90
18,DHP Copper S F Tube 57X2.5 mm,57 X 2.5 mm Thick,100,Mtr,43704@HQ.INDIANNAVY.MIL,90
