Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,LED  tube rod 20watt 4 feet long  with both side connection ,LED  tube rod 20watt 4 feet long  with both side connection ,850,Nos,consigneeafamabala,15
2,Fan electronic speed regulator ,Fan electronic speed regulator ,250,Nos,consigneeafamabala,15
3,LED street light 18 or 20watt ,LED street light 18 or 20watt ,15,Nos,consigneeafamabala,15
4,MCB DP 20Amps ,MCB DP 20Amps ,36,Nos,consigneeafamabala,15
5,Hylem sheet 315mmx265mmx3mm,Hylem sheet 315mmx265mmx3mm,30,Nos,consigneeafamabala,15
6,Hylem sheet 265mmx205mmx3mm,Hylem sheet 265mmx205mmx3mm,30,Nos,consigneeafamabala,15
7,Hylem sheet 115mmx115mmx3mm,Hylem sheet 115mmx115mmx3mm,30,Nos,consigneeafamabala,15
8,PVC Rawal Plug Pkt of 100 Pcs,PVC Rawal Plug Pkt of 100 Pcs,27,Nos,consigneeafamabala,15
9,Modulat Bulkhead 10Watt Aluminium housing,Modulat Bulkhead 10Watt Aluminium housing,32,Nos,pratimanmartolia@gmail.com,15
10,Modular Switch Box 12Way,Modular Switch Box 12Way,27,Nos,pratimanmartolia@gmail.com,15
11,Socket 16 Amp Multipurpose  5 Pin ,Socket 16 Amp Multipurpose  5 Pin ,129,Nos,pratimanmartolia@gmail.com,15
12,Modular Switch Box 4Way,Modular Switch Box 4Way,27,Nos,pratimanmartolia@gmail.com,15
13,Modular Sheet and Frame 4Way,Modular Sheet and Frame 4Way,55,Nos,pratimanmartolia@gmail.com,15
14,Modular Sheet and Frame 6Way,Modular Sheet and Frame 6Way,55,Nos,pratimanmartolia@gmail.com,15
15,Modular Sheet and Frame 3Way,Modular Sheet and Frame 3Way,55,Nos,pratimanmartolia@gmail.com,15
16,Modular Sheet and Frame 2Way,Modular Sheet and Frame 2Way,55,Nos,pratimanmartolia@gmail.com,15
