Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,Switch socket combination piano type 16Amp ,Switch socket combination piano type 16Amp ,150,Nos,consigneeafamabala,15
2,LED chargable bulb 15watt ,LED chargable bulb 15watt ,100,Nos,consigneeafamabala,15
3,LED chargable bulb 12watt ,LED chargable bulb 12watt ,100,Nos,consigneeafamabala,15
4,Garden Light 10Watts,Garden Light 10Watts,20,Nos,consigneeafamabala,15
5,AC Box with 20Amp MCB Earth metal Plug  or Socket,AC Box with 20Amp MCB Earth metal Plug  or Socket,20,Nos,pratimanmartolia@gmail.com,15
6,Celing Rose 3 Terminal,Celing Rose 3 Terminal,311,Nos,pratimanmartolia@gmail.com,15
7,Fan regulator modular type 1 Module ,Fan regulator modular type 1 Module ,55,Nos,pratimanmartolia@gmail.com,15
8,Modular Switch Box 3Way,Modular Switch Box 3Way,55,Nos,pratimanmartolia@gmail.com,15
9,Tube Light 5 or 6Watt 1 feel long,Tube Light 5 or 6Watt 1 feel long,55,Nos,pratimanmartolia@gmail.com,15
10,Lamp Holder Bracket Insulated ,Lamp Holder Bracket Insulated ,106,Nos,pratimanmartolia@gmail.com,15
11,PVC Round sheet or Junction Box cover,PVC Round sheet or Junction Box cover,106,Nos,pratimanmartolia@gmail.com,15
12,Modular Plate 2 Module Frame Plate with matching Cover Plate horizontal,Modular Plate 2 Module Frame Plate with matching Cover Plate horizontal,55,Nos,pratimanmartolia@gmail.com,15
13,Fan Capacitor 4.0MFD ,Fan Capacitor 4.0MFD ,55,Nos,pratimanmartolia@gmail.com,15
14,Fan Capacitor 3.15MFD ,Fan Capacitor 3.15MFD ,55,Nos,pratimanmartolia@gmail.com,15
15,Fan Capacitor 1.5MFD ,Fan Capacitor 1.5MFD ,55,Nos,pratimanmartolia@gmail.com,15
