Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,High back chair for Court Room ,As per BOQ specifications uploaded by the buyer,3,pieces,buyer@nagpurgstat,60
2,Members Table for Court Room ,As per BOQ specifications uploaded by the buyer,3,pieces,buyer@nagpurgstat,60
3,Table for court staff for Court Room ,As per BOQ specifications uploaded by the buyer,2,pieces,buyer@nagpurgstat,60
4,Table for Authorized Representatives for Court Room ,As per BOQ specifications uploaded by the buyer,4,pieces,buyer@nagpurgstat,60
5,Chair for court staff for Court Room ,As per BOQ specifications uploaded by the buyer,4,pieces,buyer@nagpurgstat,60
6,Chair for ARs for Court Room ,As per BOQ specifications uploaded by the buyer,4,pieces,buyer@nagpurgstat,60
7,Chairs for visitors for Court Room ,As per BOQ specifications uploaded by the buyer,50,pieces,buyer@nagpurgstat,60
8,Cabinets for Court Room ,As per BOQ specifications uploaded by the buyer,2,pieces,buyer@nagpurgstat,60
9,L Shape Table with attached pedestrial and drawers for Member Room,As per BOQ specifications uploaded by the buyer,2,pieces,buyer@nagpurgstat,60
10,table back unit for Member Room,As per BOQ specifications uploaded by the buyer,2,pieces,buyer@nagpurgstat,60
11,High Back Chair for Member Room,As per BOQ specifications uploaded by the buyer,2,pieces,buyer@nagpurgstat,60
12,Mid Back Chair Visitors for Member Room,As per BOQ specifications uploaded by the buyer,8,pieces,buyer@nagpurgstat,60
13,Sofa 3 seater for Member Room,As per BOQ specifications uploaded by the buyer,2,pieces,buyer@nagpurgstat,60
14,Sofa 1 seater for Member Room,As per BOQ specifications uploaded by the buyer,4,pieces,buyer@nagpurgstat,60
15,Coffee Table for Member Room,As per BOQ specifications uploaded by the buyer,2,pieces,buyer@nagpurgstat,60
16,Book shelf big for Member Room,As per BOQ specifications uploaded by the buyer,2,pieces,buyer@nagpurgstat,60
17,Officers table with drawers for Member PS Room,As per BOQ specifications uploaded by the buyer,2,pieces,buyer@nagpurgstat,60
18,Side table for Member PS Room,As per BOQ specifications uploaded by the buyer,2,pieces,buyer@nagpurgstat,60
19,Officers Chair for Member PS Room,As per BOQ specifications uploaded by the buyer,2,pieces,buyer@nagpurgstat,60
20,Chair visitors for Member PS Room,As per BOQ specifications uploaded by the buyer,6,pieces,buyer@nagpurgstat,60
21,Staff chair for Member PS Room,As per BOQ specifications uploaded by the buyer,6,pieces,buyer@nagpurgstat,60
22,Almirah for Member PS Room,As per BOQ specifications uploaded by the buyer,2,pieces,buyer@nagpurgstat,60
23,Officers L shape table with drawers for Jr Dr Asstt Registrar Room,As per BOQ specifications uploaded by the buyer,1,pieces,buyer@nagpurgstat,60
24,Side table for Jr Dr Asstt Registrar Room,As per BOQ specifications uploaded by the buyer,1,pieces,buyer@nagpurgstat,60
25,Officers Chair for Jr Dr Asstt Registrar Room,As per BOQ specifications uploaded by the buyer,1,pieces,buyer@nagpurgstat,60
26,Chair visitors for Jr Dr Asstt Registrar Room,As per BOQ specifications uploaded by the buyer,4,pieces,buyer@nagpurgstat,60
27,Almirah small for Jr Dr Asstt Registrar Room,As per BOQ specifications uploaded by the buyer,1,pieces,buyer@nagpurgstat,60
28,Sofa 3 seater for Jr Dr Asstt Registrar Room,As per BOQ specifications uploaded by the buyer,1,pieces,buyer@nagpurgstat,60
29,Coffee lunch table for Jr Dr Asstt Registrar Room,As per BOQ specifications uploaded by the buyer,1,pieces,buyer@nagpurgstat,60
35,Officers table with drawers for Court Officer Room,As per BOQ specifications uploaded by the buyer,2,pieces,buyer@nagpurgstat,60
36,Side table  for Court Officer Room,As per BOQ specifications uploaded by the buyer,2,pieces,buyer@nagpurgstat,60
37,Officers Chair  for Court Officer Room,As per BOQ specifications uploaded by the buyer,2,pieces,buyer@nagpurgstat,60
38,Chair visitors  for Court Officer Room,As per BOQ specifications uploaded by the buyer,6,pieces,buyer@nagpurgstat,60
39,Almirah small  for Court Officer Room,As per BOQ specifications uploaded by the buyer,2,pieces,buyer@nagpurgstat,60
40,Table big for Conference Room,As per BOQ specifications uploaded by the buyer,1,pieces,buyer@nagpurgstat,60
41,Chair for Conference Room,As per BOQ specifications uploaded by the buyer,15,pieces,buyer@nagpurgstat,60
42,High back chair for Conference Room,As per BOQ specifications uploaded by the buyer,2,pieces,buyer@nagpurgstat,60
43,Movable compactor for Store Room,As per BOQ specifications uploaded by the buyer,1,pieces,buyer@nagpurgstat,60
44,Almirah for Store Room,As per BOQ specifications uploaded by the buyer,4,pieces,buyer@nagpurgstat,60
45,Table for Server Room,As per BOQ specifications uploaded by the buyer,1,pieces,buyer@nagpurgstat,60
46,Chair  for Server Room,As per BOQ specifications uploaded by the buyer,2,pieces,buyer@nagpurgstat,60
