Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,Glycerin Glycerol in bottle of 1 kg,Glycerin Glycerol in bottle of 1 kg,6,Kgs,himanshu@ebs123,15
2,Calcium Borogluconate Inj 25 percent with Magnesium Hypophosphite 5 percent ,Calcium Borogluconate Inj 25 percent with Magnesium Hypophosphite 5 percent ,300,Bott,himanshu@ebs123,15
3,Placental extract gel tube of 20 gm,Placental extract gel tube of 20 gm,60,Tube,himanshu@ebs123,15
4,Frusemide Inj containing Frusemide 50 mg per ml vial of 10 ml,Frusemide Inj containing Frusemide 50 mg per ml vial of 10 ml,30,Amp,himanshu@ebs123,15
5,"Meloxicam Inj 5 mg, ml, vial of 30 ml","Meloxicam Inj 5 mg, ml, vial of 30 ml",150,Vial,himanshu@ebs123,15
6,Inj Dexamethasone Sodium Phosphate 4.4 mg equivalent to Dexamethasone Phosphate ,Inj Dexamethasone Sodium Phosphate 4.4 mg equivalent to Dexamethasone Phosphate ,150,Vial,himanshu@ebs123,15
7,"Tramadol Hcl 50 mg, ml, Inj, 1 ml amp","Tramadol Hcl 50 mg, ml, Inj, 1 ml amp",150,Amp,himanshu@ebs123,15
8,"Ethamsylate 125 mg per ml, vial of 20 ml, inj","Ethamsylate 125 mg per ml, vial of 20 ml, inj",75,Vial,himanshu@ebs123,15
9,"Ivermectin Inj 1 percent w v, amp of 7 ml","Ivermectin Inj 1 percent w v, amp of 7 ml",60,Vial,himanshu@ebs123,15
10,Serratopeptidase long acting tab 100 mg,Serratopeptidase long acting tab 100 mg,60,Nos,himanshu@ebs123,15
11,Insulin Syringe 01 ml ,Insulin Syringe 01 ml ,500,Nos,himanshu@ebs123,15
