Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days),,,,
1,X Bee Wireless Weapon Card incl rechargeable battery with holder   5V 1 Amp AC to DC Charger and card enclosure box,As per  Tech specification,15,Nos,DGM_MCO_2021,60,,,,
2,X bee Wireless Recoil board   12V 1 Amp AC to DC Adapter,As per  Tech specification,5,Nos,DGM_MCO_2021,60,,,,
3,Lazer diode IR Laser 830mm operating volt 3 point 5V DC   2 3 collimating lens 3  element glass lens with laser mounting,As per  Tech specification,14,Nos,DGM_MCO_2021,60,,,,
4,Solenoid Valve,As per  Tech specification,4,Nos,DGM_MCO_2021,60,,,,
5,Mother Board with compatiable I7 Processor   01 Cooling fan  01,As per  Tech specification,1,Nos,DGM_MCO_2021,60,,,,
6,Ram 16 GB,As per  Tech specification,1,Nos,DGM_MCO_2021,60,,,,
7,Graphics  Card NVIDIA GTX RTX 2080 Ti   11GB Minimum 4 Port   Model No  N 208ti   11d6  1150022   11gb gddr6  3xdp port   01xhdmi post and 01xUSB  C,As per  Tech specification,1,Nos,DGM_MCO_2021,60,,,,
8,SMPS 850W,As per  Tech specification,1,Nos,DGM_MCO_2021,60,,,,
9,SSD  500 GB,As per  Tech specification,1,Nos,DGM_MCO_2021,60,,,,
10,Wireless Weapon Crad,As per  Tech specification,5,Nos,DGM_MCO_2021,60,,,,
11,Wireless Recoil Card ,As per  Tech specification,2,Nos,DGM_MCO_2021,60,,,,
12,Logitech  C270 Web Camera      ,As per  Tech specification,1,Nos,DGM_MCO_2021,60,,,,
13,USB 3 point 0 extension cable 15mtr,As per  Tech specification,1,Nos,DGM_MCO_2021,60,,,,`
