Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,Provn  of 01 X CHDH ,"Provn  of 01 X CHDH  OR , Size 18.0 x 6.10m with 1.50m .Technical Specifications as per Appx  A.",1,Nos,ketan.262h,90
2,Constr mtrl ,Constr mtrl for Cook House and Dining Hall CHDH . Detailed specification as per Appx B. List of elect items and  constr mtrl is as per Annx - I ,1,Nos ,ketan.262h,90
3,Provn of Chair Writing,Provn of Chair Writing as per tech specifications given in Appx  C ,1,Nos ,ketan.262h,90
4, stone Aggregate,Provn of  Writing Table as per tech specifications given in Appx  C .,1,Nos ,ketan.262h,90
5,Provn of Dining Chair,Provn of Dining Chair as per tech specifications given in Appx  C .,36,Nos ,ketan.262h,90
6,Provn of Dining Table,Provn of Dining Table as per tech specifications given in Appx  C ,6,Nos ,ketan.262h,90
7, Provn of Stainless Steel , Provn of Stainless Steel Table as per tech specifications given in Appx  C ,2,Nos ,ketan.262h,90
8,Provn of Water Dispensor,Provn of Water Dispensor as per tech specification given in Appx C ,1,Nos ,ketan.262h,90
9,Provn of Powder based fire ,Provn of Powder based fire extinguisher  as per tech specification given in Appx  C,3,Nos ,ketan.262h,90
10,Provn of Store Rack,Provn of Store Rack as per tech specifications given in Appx D,1,Nos ,ketan.262h,90
11,Provn of Almirah Steel Large,Provn of Almirah Steel Large as per tech specification given in Appx E ,1,Nos ,ketan.262h,90
12,Provn of Hand Held Trolly,Provn of Hand Held Trolly as per tech specifications given in Appx E,1,Nos ,ketan.262h,90
