Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,301425 Effectene Transfection Reagent 1 ml,301425 Effectene Transfection Reagent 1 ml,1,pieces,younishazari,15
2,SH30243.02 LM DMEM HIGH WPYR 1000ML ,SH30243.02 LM DMEM HIGH WPYR 1000ML ,13,pieces,younishazari,15
3,10600021 Amersham Hybond P 0.2UM PVDF 260MMx4M 1PERPK  ,10600021 Amersham Hybond P 0.2UM PVDF 260MMx4M 1PERPK  ,1,pieces,younishazari,15
4,SH30028.03 LM DPBS MOD 1000ML ,SH30028.03 LM DPBS MOD 1000ML ,9,pieces,younishazari,15
5,PG PMT2922 3 color Prestained Protein Ladder 10 to 250kDa 2X250ul,PG PMT2922 3 color Prestained Protein Ladder 10 to 250kDa 2X250ul,2,pieces,younishazari,15
6,ab8226 Anti-beta Actin antibody mAbcam 8226  Loading Control 100ug,ab8226 Anti-beta Actin antibody mAbcam 8226  Loading Control 100ug,1,pieces,younishazari,15
7,170356N  10 ml Pipette  Paper Peel 200 PER CS,170356N  10 ml Pipette  Paper Peel 200 PER CS,15,pieces,younishazari,15
8,170355N  5 ml Serological Pipette 200 PER CS,170355N  5 ml Serological Pipette 200 PER CS,5,pieces,younishazari,15
9,VWRA525 1538  15 ML CT WITH FLAT CAP  STERILE  BULK STERILE 500 PER CS ,VWRA525 1538  15 ML CT WITH FLAT CAP  STERILE  BULK STERILE 500 PER CS ,3,pieces,younishazari,15
10,VWRA525 1548  50 ML CT WITH FLAT CAP  STERILE  BULK 500 PER CS,VWRA525 1548  50 ML CT WITH FLAT CAP  STERILE  BULK 500 PER CS,3,pieces,younishazari,15
