Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days),,,,,
1,Dental floss with grip handle 50 pcs in box,Dental floss with grip handle 50 pcs in box,25,Pkt,gemjhansi2,30,,,,,
2,Suction tips pkt of 100,Suction tips pkt of 100,100,Pkt,gemjhansi2,30,,,,,
3,Pulp Devitalizer,Pulp Devitalizer,4,Pkt,gemjhansi2,30,,,,,
4,Ketac molar Restorative Glass Ionomer Cement with high flexural strength pkt contains powder liquidmixing pad and plastic scoop,Ketac molar Restorative Glass Ionomer Cement with high flexural strength pkt contains powder liquidmixing pad and plastic scoop,4,Pkt,gemjhansi2,30,,,,,
5,Gum Paint contains Tannic acid glycerine 27 Percentage  Potassium Iodide IP  bott of 15 ml,Gum Paint contains Tannic acid glycerine 27 Percentage  Potassium Iodide IP  bott of 15 ml,250,Bott,gemjhansi2,30,,,,,
6,Lidocaine Topical Aerosol USP Surface Anaesthetic bott of 100gm,Lidocaine Topical Aerosol USP Surface Anaesthetic bott of 100gm,6,Bott,gemjhansi2,30,,,,,
7,Dental Napkin Size 15 x 15 cm Pkt of 100,Dental Napkin Size 15 x 15 cm Pkt of 100,25,Pkt,gemjhansi2,30,,,,,
8,Bur diamond round BR 40 for Airotor hand piece ,Bur diamond round BR 40 for Airotor hand piece ,50,No,gemjhansi2,30,,,,,
9,Bur diamond inverted cone SI 47 for Airotor hand piece ,Bur diamond inverted cone SI 47 for Airotor hand piece ,50,No,gemjhansi2,30,,,,,
10,Bur diamond straight fissure SF 31 for Airotor hand piece ,Bur diamond straight fissure SF 31 for Airotor hand piece ,50,No,gemjhansi2,30,,,,,
11,Bur diamond tapered fissure TF 13 for Airotor hand piece ,Bur diamond tapered fissure TF 13 for Airotor hand piece ,30,No,gemjhansi2,30,,,,,
12,Bur diamond flame shape FO 25 for Airotor handpiece,Bur diamond flame shape FO 25 for Airotor handpiece,10,No,gemjhansi2,30,,,,,
13,Bur diamond flame shape FO 32 for Airotor handpiece,Bur diamond flame shape FO 32 for Airotor handpiece,10,No,gemjhansi2,30,,,,,
14,Etchant gel with 37 Percentage Orthophosphoric acid in syringe of 5 gm,Etchant gel with 37 Percentage Orthophosphoric acid in syringe of 5 gm,10,Syr,gemjhansi2,30,,,,,
15,Endodontic NiTi K files length 21mm size 15 set of 06,Endodontic NiTi K files length 21mm size 15 set of 06,10,Set,gemjhansi2,30,,,,,
16,Endodontic NiTi K files length 21mm size 20 set of 06,Endodontic NiTi K files length 21mm size 20 set of 06,10,Set,gemjhansi2,30,,,,,
