Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,Plywood 8ft x 4ft commerial one side teak face size 12 mm  ,Plywood 8ft x 4ft commerial one side teak face size 12 mm  ,28,Nos,geiaf-shg-bso@793009,15
2,Ply wood 8ft x 4ft commercial one side teak face size 6mm  ,Ply wood 8ft x 4ft commercial one side teak face size 6mm  ,10,Nos,geiaf-shg-bso@793009,15
3,Prelaminated particle board 8ft x 4ft thickness 19mm,Prelaminated particle board 8ft x 4ft thickness 19mm,10,Nos,geiaf-shg-bso@793009,15
4,Ply wood 8ft x 4ft commercial one side teak face size 4mm ,Ply wood 8ft x 4ft commercial one side teak face size 4mm ,192,Sqft,geiaf-shg-bso@793009,15
5,Plastic laminated Sheet sunmica 4ft x 8ft x 1 mm different shade,Plastic laminated Sheet sunmica 4ft x 8ft x 1 mm different shade,6,Nos,geiaf-shg-bso@793009,15
6,Glass for side table with tinted spl design 60cm x 46cm x12mm,Glass for side table with tinted spl design 60cm x 46cm x12mm,3,Nos,geiaf-shg-bso@793009,15
7,Glass top for table centre  61cm x 122cm x10mm,Glass top for table centre  61cm x 122cm x10mm,2,Nos,geiaf-shg-bso@793009,15
8,Glass top for peg table 46cm x 31 cm x10mm,Glass top for peg table 46cm x 31 cm x10mm,4,Nos,geiaf-shg-bso@793009,15
9,Mirror for Table Dressing ladies Size 121cm x 42cm ,Mirror for Table Dressing ladies Size 121cm x 42cm ,3,Nos,geiaf-shg-bso@793009,15
10,Glass for dining table 150cm x 90cm x 12mm,Glass for dining table 150cm x 90cm x 12mm,1,Nos,geiaf-shg-bso@793009,15
11,Sunwood decorative laminate sheet high glossy 2400mmx1200mmx0.8mm,Sunwood decorative laminate sheet high glossy 2400mmx1200mmx0.8mm,4,Sheet,geiaf-shg-bso@793009,15
12,Mirror for Table dressing Gents 38cmX 76cm ,Mirror for Table dressing Gents 38cmX 76cm ,3,Nos,geiaf-shg-bso@793009,15
13,Paint olive Green oblique Grey ,Paint olive Green oblique Grey ,32,Lts,geiaf-shg-bso@793009,15
14,Black paint ,Black paint ,24,Ltrs,geiaf-shg-bso@793009,15
15,"Glass drill bit set 3 pieces 4mm, 6mm and 8mm glass ","Glass drill bit set 3 pieces 4mm, 6mm and 8mm glass ",2,Set,geiaf-shg-bso@793009,15
16,Brush Painting 75mm,Brush Painting 75mm,6,Nos,geiaf-shg-bso@793009,15
17,Brush Painting 50 mm,Brush Painting 50 mm,6,Nos,geiaf-shg-bso@793009,15
18,Flat Brush 25 mm ,Flat Brush 25 mm ,3,Nos,geiaf-shg-bso@793009,15
19,Block Board 19mm 8ft x 4ft,Block Board 19mm 8ft x 4ft,8,Nos,geiaf-shg-bso@793009,15
20,Drywall screw 3.5 x 75mm pack of 500,Drywall screw 3.5 x 75mm pack of 500,2,Pkt,geiaf-shg-bso@793009,15
21,Drywall screw 3.5 x 62mm pack of 500,Drywall screw 3.5 x 62mm pack of 500,2,Pkt,geiaf-shg-bso@793009,15
22,Drywall screw 3.5 x 50mm pack of 500,Drywall screw 3.5 x 50mm pack of 500,2,Pkt,geiaf-shg-bso@793009,15
23,Drywall screw 3.5 x 38mm pack of 500,Drywall screw 3.5 x 38mm pack of 500,2,Pkt,geiaf-shg-bso@793009,15
24,Drywall screw 3.5 x 25mm pack of 500,Drywall screw 3.5 x 25mm pack of 500,2,Pkt,geiaf-shg-bso@793009,15
25,Drywall screw 3.5 x 19mm pack of 500,Drywall screw 3.5 x 19mm pack of 500,2,Pkt,geiaf-shg-bso@793009,15
26,Drywall screw 3.5 x 13mm pack of 500,Drywall screw 3.5 x 13mm pack of 500,2,Pkt,geiaf-shg-bso@793009,15
27,Round Sandpaper 125mm dia  320 grit pack of 50pcs,Round Sandpaper 125mm dia  320 grit pack of 50pcs,2,Pkt,geiaf-shg-bso@793009,15
28,Round Sandpaper 125mm dia 180 grit pack of 50pcs,Round Sandpaper 125mm dia 180 grit pack of 50pcs,2,Pkt,geiaf-shg-bso@793009,15
29,Round Sandpaper 125mm dia 120 grit pack of 50pcs,Round Sandpaper 125mm dia 120 grit pack of 50pcs,2,Pkt,geiaf-shg-bso@793009,15
30,Round Sandpaper 125mm dia 60 grit pack of 50pcs,Round Sandpaper 125mm dia 60 grit pack of 50pcs,2,Pkt,geiaf-shg-bso@793009,15
