Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,Resp Glycopyrronium 25 mcg ,Resp Glycopyrronium 25 mcg ,1200,No,kalariyapm22,30
2,Beclomethasone Dipropionate 50 mcg and Levosalbutamol 50 mcg per metred dose in CFC free MDI,Beclomethasone Dipropionate 50 mcg and Levosalbutamol 50 mcg per metred dose in CFC free MDI,20,No,kalariyapm22,30
3,Rotacap Glycopyrrolate 25 Mcg plus Formoterol 6 Mcg,Rotacap Glycopyrrolate 25 Mcg plus Formoterol 6 Mcg,70,No,kalariyapm22,30
4,Respules Ipratropium Solution 15 ml,Respules Ipratropium Solution 15 ml,280,No,kalariyapm22,30
5,Rotahaler,Rotahaler,9,No,kalariyapm22,30
6,Resp Budesonide 0 point 5 mg,Resp Budesonide 0 point 5 mg,780,No,kalariyapm22,30
7,E slas D Brinzolamide 1 percentage plus Brimonidine 0 point 2 percentage 5 ml,E slas D Brinzolamide 1 percentage plus Brimonidine 0 point 2 percentage 5 ml,60,Bott,kalariyapm22,30
8,E slas D  Travaprost 0 point 004 percentage   plus Timolol 3ml,E slas D  Travaprost 0 point 004 percentage   plus Timolol 3ml,76,Bott,kalariyapm22,30
9,E slas D Sodium Hyaluronate 1 mg slas ml  10 ml,E slas D Sodium Hyaluronate 1 mg slas ml  10 ml,190,Bott,kalariyapm22,30
10,"Syringe disposable, plastic sterile 2 ml with needle","Syringe disposable, plastic sterile 2 ml with needle",500,No,kalariyapm22,30
11,Syringe disposable plastic sterile 5 ml with needle,Syringe disposable plastic sterile 5 ml with needle,700,No,kalariyapm22,30
12,Vaccum Blood Collection Tubes Strile,Vaccum Blood Collection Tubes Strile,100,No,kalariyapm22,30
13,Lumbo Sarcal Belt Small,Lumbo Sarcal Belt Small,5,No,kalariyapm22,30
14,Lumbo Sarcal Belt Medium,Lumbo Sarcal Belt Medium,5,No,kalariyapm22,30
15,Lumbo Sarcal Belt L Xl XXl Each,Lumbo Sarcal Belt L Xl XXl Each,40,No,kalariyapm22,30
16,Wrist Support,Wrist Support,12,Pair,kalariyapm22,30
17,Abdominal Belt L XL XXL Each,Abdominal Belt L XL XXL Each,21,No,kalariyapm22,30
18,Bandage Bandage Crepe 10 Cm,Bandage Bandage Crepe 10 Cm,30,No,kalariyapm22,30
19,Bandage open woven compressed  2 point 5 cm  into 4 metres,Bandage open woven compressed  2 point 5 cm  into 4 metres,20,No,kalariyapm22,30
20,Bandage open woven uncompressed  6 cm  into 4 metres,Bandage open woven uncompressed  6 cm  into 4 metres,10,No,kalariyapm22,30
21,Bandage open woven uncompressed  10 cm into 4 metres,Bandage open woven uncompressed  10 cm into 4 metres,90,No,kalariyapm22,30
22,Cotton Wool  Absorbent pkt of 500 gm,Cotton Wool  Absorbent pkt of 500 gm,7,Pkt,kalariyapm22,30
23, Urine Bag, Urine Bag,6,No,kalariyapm22,30
24,Lancet Needle,Lancet Needle,400,No,kalariyapm22,30
25,Disposable Mask 3 Layer,Disposable Mask 3 Layer,180,No,kalariyapm22,30
26,Alcohol bottof 1ltr,Alcohol bottof 1ltr,5,Bott,kalariyapm22,30
27,Dengue Card,Dengue Card,30,No,kalariyapm22,30
28,Widal Kit,Widal Kit,1,Kit,kalariyapm22,30
29,Lot Glycerine 100 ml,Lot Glycerine 100 ml,30,Bott,kalariyapm22,30
30,HDL Kit Erba 5 into 20 ml,HDL Kit Erba 5 into 20 ml,2,Kit,kalariyapm22,30
31,HIV Card,HIV Card,55,No,kalariyapm22,30
32,S Cholesterol Kit Erba 5 into 20 ml,S Cholesterol Kit Erba 5 into 20 ml,1,Kit,kalariyapm22,30
33,Glucose Kit Erba 5 into 20 ml,Glucose Kit Erba 5 into 20 ml,1,Kit,kalariyapm22,30
34,Urea Kit Erba 5 into 20 ml,Urea Kit Erba 5 into 20 ml,1,Kit,kalariyapm22,30
35,Uric Acid Kit Erba 5  into 20 ml,Uric Acid Kit Erba 5  into 20 ml,1,Kit,kalariyapm22,30
36,S Creatinine Kit ERBA 5 into  20ML,S Creatinine Kit ERBA 5 into  20ML,1,Kit,kalariyapm22,30
37,SGOT Kit Erba 5 into 20 ml,SGOT Kit Erba 5 into 20 ml,1,Kit,kalariyapm22,30
38,SGPT Kit Erba 5 into 20 ml,SGPT Kit Erba 5 into 20 ml,1,Kit,kalariyapm22,30
39,Urine Sugar Strip Uristix test of 100,Urine Sugar Strip Uristix test of 100,3,Bott,kalariyapm22,30
40,Pregnancy Card,Pregnancy Card,80,No,kalariyapm22,30
41,Triglyceride Kit Erba 5 into 20 ml,Triglyceride Kit Erba 5 into 20 ml,1,Kit,kalariyapm22,30
42,Bilirubin Kit Erba 5  into 20 ml,Bilirubin Kit Erba 5  into 20 ml,1,Kit,kalariyapm22,30
43,HCV Card,HCV Card,55,No,kalariyapm22,30
44,MP Card  malaria paracheck,MP Card  malaria paracheck,230,No,kalariyapm22,30
45,DVT Stocking Size M L XL Each,DVT Stocking Size M L XL Each,37,Pair,kalariyapm22,30
46,Silicone gel heel support pad,Silicone gel heel support pad,33,Pair,kalariyapm22,30
47,Film X Ray 30 point 5 cm  into 25 point 4 cm 12 into 10 High Speed,Film X Ray 30 point 5 cm  into 25 point 4 cm 12 into 10 High Speed,600,No,kalariyapm22,30
48,HbsAg Card,HbsAg Card,55,No,kalariyapm22,30
49,Sodium chloride isotonic solution  100ml self collapsible container,Sodium chloride isotonic solution  100ml self collapsible container,12,Bott,kalariyapm22,30
50,Ankle Brace,Ankle Brace,12,Pair,kalariyapm22,30
