Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,Supply fixing large steel almirah standard full height size complete with cloth hanging arrangement shelves internal locker heavy duty locking system powder coated finish as per ATC,Supply fixing large steel almirah standard full height size complete with cloth hanging arrangement shelves internal locker heavy duty locking system powder coated finish as per ATC,2,Each,agebr_geafjsm,60
2,Supply delivery and fixing of small steel almirah standard size with locker facility shelving arrangement approved finish complete all as specified make Godrej or qeuivalent,Supply delivery and fixing of small steel almirah standard size with locker facility shelving arrangement approved finish complete all as specified make Godrej or qeuivalent,1,Each,agebr_geafjsm,60
3,Supply and placing in position Centre table of approved design size 10 ft to 0 inch x 4 ft to 0 inch made of premium quality engineered wood hardwood with approved matching finish ,Supply and placing in position Centre table of approved design size 10 ft to 0 inch x 4 ft to 0 inch made of premium quality engineered wood hardwood with approved matching finish ,1,Each,agebr_geafjsm,60
4,Supply and fixing revolving executive chair high back type premium leathrite upholstery hydraulic height adjustment armrest heavy duty revolving mechanism with castor wheel base approved,Supply and fixing revolving executive chair high back type premium leathrite upholstery hydraulic height adjustment armrest heavy duty revolving mechanism with castor wheel base approved,7,Each,agebr_geafjsm,60
5,Supply and fabrication of CPU cabinet locker made of 12mm BWR plywood with 18mm tray ventilated panels locking arrangement telescopic sliding tray rear cable opening as per ATC,Supply and fabrication of CPU cabinet locker made of 12mm BWR plywood with 18mm tray ventilated panels locking arrangement telescopic sliding tray rear cable opening as per ATC,32,Nos,agebr_geafjsm,60
6,Supply and fabrication of engineering drawing cabinet made of BWR grade plywood with teak wood framing 8 drawer horizontal flat file system suitable for AO size drawings finished as per ATC,Supply and fabrication of engineering drawing cabinet made of BWR grade plywood with teak wood framing 8 drawer horizontal flat file system suitable for AO size drawings finished as per ATC,6,Nos,agebr_geafjsm,60
7,Repairing or refurbishment of existing sofa set including dismantling frame rectification replacement of damaged cushioning or foam webbing stitching and complete as per ATC,Repairing or refurbishment of existing sofa set including dismantling frame rectification replacement of damaged cushioning or foam webbing stitching and complete as per ATC,15,Seat,agebr_geafjsm,60
8,Refurbishment of existing large steel almirah including dent removal panel straightening welding repairs replacement of locking arrangement handle fittings surface preparation as per ATC,Refurbishment of existing large steel almirah including dent removal panel straightening welding repairs replacement of locking arrangement handle fittings surface preparation as per ATC,5,Each,agebr_geafjsm,60
9,Providing fabricating supplying placing in position premium quality solid teak wood bed King size approx 78 x 72 x 42 inches high as per approved design complete as per ATC,Providing fabricating supplying placing in position premium quality solid teak wood bed King size approx 78 x 72 x 42 inches high as per approved design complete as per ATC,1,Each,agebr_geafjsm,60
10,Cleaning segregation stacking and general upkeeping of BSO Yard including open areas and surrounding of store sheds repair of broken doors and windows as per ATC,Cleaning segregation stacking and general upkeeping of BSO Yard including open areas and surrounding of store sheds repair of broken doors and windows as per ATC,80200,Sqft,agebr_geafjsm,60
