Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,Department of Anatomy Books,Department of Anatomy Books,1,pieces,ESICHOPBIBPUNEGEN,30
2,Department of Physiology Books,Department of Physiology Books,1,pieces,ESICHOPBIBPUNEGEN,30
3,Department of Biochemistry Books,Department of Biochemistry Books,1,pieces,ESICHOPBIBPUNEGEN,30
4,Department of Pharmacology Books,Department of Pharmacology Books,1,pieces,ESICHOPBIBPUNEGEN,30
5,Department of Microbiology Books,Department of Microbiology Books,1,pieces,ESICHOPBIBPUNEGEN,30
6,Department of Forensic Books,Department of Forensic Books,1,pieces,ESICHOPBIBPUNEGEN,30
7,Department of Pathology Books,Department of Pathology Books,1,pieces,ESICHOPBIBPUNEGEN,30
8,Department of Ophthalmology Books,Department of Ophthalmology Books,1,pieces,ESICHOPBIBPUNEGEN,30
9,Department of ENT Books,Department of ENT Books,1,pieces,ESICHOPBIBPUNEGEN,30
10,Department of PSM Books,Department of PSM Books,1,pieces,ESICHOPBIBPUNEGEN,30
11,Department of Medicine Books,Department of Medicine Books,1,pieces,ESICHOPBIBPUNEGEN,30
12,Department of OBGY Books,Department of OBGY Books,1,pieces,ESICHOPBIBPUNEGEN,30
13,Department of Surgery Books,Department of Surgery Books,1,pieces,ESICHOPBIBPUNEGEN,30
14,Department of Paediatrics Books,Department of Paediatrics Books,1,pieces,ESICHOPBIBPUNEGEN,30
15,Department of Dermatology Books,Department of Dermatology Books,1,pieces,ESICHOPBIBPUNEGEN,30
16,Department of Psychiatry Books,Department of Psychiatry Books,1,pieces,ESICHOPBIBPUNEGEN,30
17,Department of Radiology  Books,Department of Radiology  Books,1,pieces,ESICHOPBIBPUNEGEN,30
18,Department of Anaesthesia Books,Department of Anaesthesia Books,1,pieces,ESICHOPBIBPUNEGEN,30
19,Department of Ortho Books,Department of Ortho Books,1,pieces,ESICHOPBIBPUNEGEN,30
20,Department of Dental Books,Department of Dental Books,1,pieces,ESICHOPBIBPUNEGEN,30
