Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,Prefabricated Living Shelter 6 Men,Description along with complete specification and quantity of the item is uploaded in item specification document attached at S No 1,4,Nos ,rahul@8er,90
2,Ceiling Fan 1400mm,Description along with complete specification and quantity of the item is uploaded in item specification document attached at S No 2,24,Nos ,rahul@8er,90
3,LED Panel Ceiling Lidht,Description along with complete specification and quantity of the item is uploaded in item specification document attached at S No 3,16,Nos ,rahul@8er,90
4,LED Tube Light Fittings 20W,Description along with complete specification and quantity of the item is uploaded in item specification document attached at S No 4,8,Nos,rahul@8er,90
5,Switch Socket combination 5 Amp 5 Pin,Description along with complete specification and quantity of the item is uploaded in item specification document attached at S No 5,24,Nos ,rahul@8er,90
6,Switch Socket combination 15 Amp 5 Pin,Description along with complete specification and quantity of the item is uploaded in item specification document attached at S No 6,4,Nos ,rahul@8er,90
7,Piano type Switch 6 Amp,Description along with complete specification and quantity of the item is uploaded in item specification document attached at S No 7,48,Nos ,rahul@8er,90
8,Rectangular PVC Switch Board,Description along with complete specification and quantity of the item is uploaded in item specification document attached at S No 8,16,Nos,rahul@8er,90
9,MCB DB Steel Sheet,Description along with complete specification and quantity of the item is uploaded in item specification document attached at S No 9,4,Nos ,rahul@8er,90
10,FR Insulation tape,Description along with complete specification and quantity of the item is uploaded in item specification document attached at S No 10,12,Roll,rahul@8er,90
11,MCB 6 AMP ,Description along with complete specification and quantity of the item is uploaded in item specification document attached at S No 11,12,Nos,rahul@8er,90
12,MCB 10 AMP,Description along with complete specification and quantity of the item is uploaded in item specification document attached at S No 12,4,Nos,rahul@8er,90
13,MCB 25 AMP,Description along with complete specification and quantity of the item is uploaded in item specification document attached at S No 13,4,Nos,rahul@8er,90
14,PVC casing capping 25mm,Description along with complete specification and quantity of the item is uploaded in item specification document attached at S No 14,280,RM,rahul@8er,90
15,Black Screws 4mm x 19mm,Description along with complete specification and quantity of the item is uploaded in item specification document attached at S No 15,12,Pkt,rahul@8er,90
16,Black Screws 6mm x 40mm,Description along with complete specification and quantity of the item is uploaded in item specification document attached at S No 16,12,Pkt,rahul@8er,90
17,20 Watt Bulk Head,Description along with complete specification and quantity of the item is uploaded in item specification document attached at S No 17,8,Nos ,rahul@8er,90
18,PVC Insulated cable copper conductor 1 point 5 Sqmm,Description along with complete specification and quantity of the item is uploaded in item specification document attached at S No 18,10,Roll,rahul@8er,90
19,PVC Insulated cable copper conductor 2 point 5 Sqmm,Description along with complete specification and quantity of the item is uploaded in item specification document attached at S No 19,4,Roll,rahul@8er,90
20,Ceiling Rose 6 Amp,Description along with complete specification and quantity of the item is uploaded in item specification document attached at S No 20,8,Nos,rahul@8er,90
21,Main Switch 32 Amp,Description along with complete specification and quantity of the item is uploaded in item specification document attached at S No 21,4,Nos,rahul@8er,90
22,Change over Switch 32 Amp,Description along with complete specification and quantity of the item is uploaded in item specification document attached at S No 22,4,Nos,rahul@8er,90
23,PVC Square Box,Description along with complete specification and quantity of the item is uploaded in item specification document attached at S No 23,24,Nos,rahul@8er,90
24,PVC innersheathed unarmed Cable 10Sqmm,Description along with complete specification and quantity of the item is uploaded in item specification document attached at S No 24,128,RM,rahul@8er,90
25,Earthing Material,Description along with complete specification and quantity of the item is uploaded in item specification document attached at S No 25,4, Set,rahul@8er,90
26,Lightening Arrestor System,Description along with complete specification and quantity of the item is uploaded in item specification document attached at S No 26,4,Set,rahul@8er,90
27,Looking Mirror with plastic decorative frame,Description along with complete specification and quantity of the item is uploaded in item specification document attached at S No 27,8,No,rahul@8er,90
28,Chromium Plated Peg table,Description along with complete specification and quantity of the item is uploaded in item specification document attached at S No 28,24,Nos,rahul@8er,90
29,MS Hook for ceiling Fan,Description along with complete specification and quantity of the item is uploaded in item specification document attached at S No 29,24,Nos,rahul@8er,90
30,25 mm Drapery Rod,Description along with complete specification and quantity of the item is uploaded in item specification document attached at S No 30,32,Set,rahul@8er,90
31,6mm Screw 100 mm long,Description along with complete specification and quantity of the item is uploaded in item specification document attached at S No 31,12,Pkt,rahul@8er,90
32,MS Cabinet with Two partition,Description along with complete specification and quantity of the item is uploaded in item specification document attached at S No 32,24,Nos,rahul@8er,90
33,Wooden Table prelaminated particle board,Description along with complete specification and quantity of the item is uploaded in item specification document attached at S No 33,8,Nos,rahul@8er,90
34,MS Single Bunk Bed,Description along with complete specification and quantity of the item is uploaded in item specification document attached at S No 34,24,Nos,rahul@8er,90
35,Plastic Chair with Arms,Description along with complete specification and quantity of the item is uploaded in item specification document attached at S No 35,24,Nos,rahul@8er,90
36,Non asbestos Fibre Cement Designer Board ,Description along with complete specification and quantity of the item is uploaded in item specification document attached at S No 36,432,Sqm,rahul@8er,90
37,Main Vertical MS Angle ,Description along with complete specification and quantity of the item is uploaded in item specification document attached at S No 37,8,Nos,rahul@8er,90
38,Horizontal MS Angle,Description along with complete specification and quantity of the item is uploaded in item specification document attached at S No 38,8,Nos,rahul@8er,90
39,Galvanised Iron Wire dia 3mm length,Description along with complete specification and quantity of the item is uploaded in item specification document attached at S No 39,140,RM,rahul@8er,90
