Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,I      Mil Grade Portable Hands Free VHF set with Voiceducer for Yard for 16501 ,I      Mil Grade Portable Hands Free VHF set with Voiceducer for Yard for 16501 ,1,SET,consignee_anikchembur,90
2,II     Mil Grade Portable Hands Free VHF set with Voiceducer for Yard for 16502,II     Mil Grade Portable Hands Free VHF set with Voiceducer for Yard for 16502,1,SET,consignee_anikchembur,90
3,III    Mil Grade Portable Hands Free VHF set with Voiceducer for Yard for 16503,III    Mil Grade Portable Hands Free VHF set with Voiceducer for Yard for 16503,1,SET,consignee_anikchembur,210
4,IV    Mil Grade Portable Hands Free VHF set with Voiceducer for Yard for 16504,IV    Mil Grade Portable Hands Free VHF set with Voiceducer for Yard for 16504,1,SET,consignee_anikchembur,330
5,V     Mil Grade Portable Hands Free VHF set with Voiceducer for Yard for 16505,V     Mil Grade Portable Hands Free VHF set with Voiceducer for Yard for 16505,1,SET,consignee_anikchembur,420
6,VI    Mil Grade Portable Hands Free VHF set with Voiceducer for Yard for 16506,VI    Mil Grade Portable Hands Free VHF set with Voiceducer for Yard for 16506,1,SET,consignee_anikchembur,510
7,VII   Mil Grade Portable Hands Free VHF set with Voiceducer for Yard for 16507,VII   Mil Grade Portable Hands Free VHF set with Voiceducer for Yard for 16507,1,SET,consignee_anikchembur,600
8,VIII  Mil Grade Portable Hands Free VHF set with Voiceducer for Yard for 16508,VIII  Mil Grade Portable Hands Free VHF set with Voiceducer for Yard for 16508,1,SET,consignee_anikchembur,690
9,IX     Mil Grade Portable Hands Free VHF set with Voiceducer for Yard for 16509,IX     Mil Grade Portable Hands Free VHF set with Voiceducer for Yard for 16509,1,SET,consignee_anikchembur,780
10,X      Mil Grade Portable Hands Free VHF set with Voiceducer for Yard for 16510,X      Mil Grade Portable Hands Free VHF set with Voiceducer for Yard for 16510,1,SET,consignee_anikchembur,870
11,XI     Mil Grade Portable Hands Free VHF set with Voiceducer for Yard for 16511,XI     Mil Grade Portable Hands Free VHF set with Voiceducer for Yard for 16511,1,SET,consignee_anikchembur,960
12,XII    Mil Grade Portable Hands Free VHF set with Voiceducer for Yard for 16512,XII    Mil Grade Portable Hands Free VHF set with Voiceducer for Yard for 16512,1,SET,consignee_anikchembur,1050
13,XIII   Mil Grade Portable Hands Free VHF set with Voiceducer for Yard for 16513,XIII   Mil Grade Portable Hands Free VHF set with Voiceducer for Yard for 16513,1,SET,consignee_anikchembur,1140
14,XIV   Mil Grade Portable Hands Free VHF set with Voiceducer for Yard for 16514,XIV   Mil Grade Portable Hands Free VHF set with Voiceducer for Yard for 16514,1,SET,consignee_anikchembur,1230
