Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,Inj Flunixin meglumine 100ml ,Inj Flunixin meglumine 100ml ,20,Vial,buyer22mfvh,15
2,Inj Meloxicam and paracetamol 100 ml,Inj Meloxicam and paracetamol 100 ml,15,Vial,buyer22mfvh,15
3,Inj Gentamycin 100ml,Inj Gentamycin 100ml,2,Vial,buyer22mfvh,15
4,Inj Procain penciline 40 lacs,Inj Procain penciline 40 lacs,150,Vial,buyer22mfvh,15
5,Inj Streptopenciline 2 and 5gm,Inj Streptopenciline 2 and 5gm,150,Vial,buyer22mfvh,15
6,Inj Tonophosphan 100ml,Inj Tonophosphan 100ml,10,Vial,buyer22mfvh,15
7,Inj Vit B1 B2 B6 vial of 100ml,Inj Vit B1 B2 B6 vial of 100ml,5,Vial,buyer22mfvh,15
8,Inj Tribivet vial of 30ml,Inj Tribivet vial of 30ml,10,Vial,buyer22mfvh,15
9,Inj Calcium magnecium borogluconate bott of 450ml,Inj Calcium magnecium borogluconate bott of 450ml,30,Bott,buyer22mfvh,15
10,Inj Dicyclomine vial of 30ml,Inj Dicyclomine vial of 30ml,30,Vila,buyer22mfvh,15
11,Inj Ranitidine amp of 2ml,Inj Ranitidine amp of 2ml,500,Amp,buyer22mfvh,15
12,Inj etophyline and theophylline ,Inj etophyline and theophylline ,40,Amp,buyer22mfvh,15
13,Inj Sodium bicarbonate vial of 100ml,Inj Sodium bicarbonate vial of 100ml,50,Vial,buyer22mfvh,15
14,Sulphadimidine bolus 1gm,Sulphadimidine bolus 1gm,100,Nos,buyer22mfvh,15
15,Liq paraffine bott of 1ltr,Liq paraffine bott of 1ltr,10,Bott,buyer22mfvh,15
16,Liq Glycerine bott of 450ml,Liq Glycerine bott of 450ml,4,Bott,buyer22mfvh,15
17,Inj Lignocaine vial of 30ml,Inj Lignocaine vial of 30ml,30,Vial,buyer22mfvh,15
18,Inj Revici amp of 5ml,Inj Revici amp of 5ml,20,Amp,buyer22mfvh,15
19,Liquid bloatosil bott of 200ml,Liquid bloatosil bott of 200ml,50,Bott,buyer22mfvh,15
20,Cream Lorexane 100gm,Cream Lorexane 100gm,30,Tube,buyer22mfvh,15
21,Powder Liv 52 pkt of 20 kg Himalaya,Powder Liv 52 pkt of 20 kg Himalaya,6,Pkt,buyer22mfvh,15
22,EDTA tube 2ml,EDTA tube 2ml,1000,Nos,buyer22mfvh,15
23,Disposable shoe cover pack of 50,Disposable shoe cover pack of 50,5,Pkt,buyer22mfvh,15
24,Silk black braided size zero,Silk black braided size zero,12,Pkt,buyer22mfvh,15
25,Silk black braided size 1,Silk black braided size 1,12,Pkt,buyer22mfvh,15
26,Sodium bicarbonate powder ,Sodium bicarbonate powder ,25,Kg,buyer22mfvh,15
