Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,Articulating paper 40 micron red and blue box of 10 book,As per Specification Uploaded,10,Box,Buyer-mdc-khadki,20
2,Cotton Buff,As per Specification Uploaded,6,No,Buyer-mdc-khadki,20
3,Lubricant spray bottle of 500 ml,As per Specification Uploaded,5,Bott,Buyer-mdc-khadki,20
4,Interdental brush pkt of 05 NS brush,As per Specification Uploaded,69,Pkt,Buyer-mdc-khadki,20
5,Vaseline bott of 1 kg,As per Specification Uploaded,3,Bott,Buyer-mdc-khadki,20
6,Disposable RVG sensor sleeves pkt of 500 sleeves,As per Specification Uploaded,10,Pkt,Buyer-mdc-khadki,20
7,Disposable PMT Set,As per Specification Uploaded,75,Set,Buyer-mdc-khadki,20
8,Flexy denture cartridge box of 12 cartridges,As per Specification Uploaded,2,Box,Buyer-mdc-khadki,20
9,MTA syringe of 2 gm,As per Specification Uploaded,3,Syringe,Buyer-mdc-khadki,20
10,Pulp Devitalizer jar of 6 gm,As per Specification Uploaded,6,Jar,Buyer-mdc-khadki,20
11,Metal screw post pack of 120,As per Specification Uploaded,3,Pkt,Buyer-mdc-khadki,20
12,Lignocaine HCL 2 percentage with adrenaline 1 ratio 80000 vial of 30 ml,As per Specification Uploaded,27,Vial,Buyer-mdc-khadki,20
