Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,Fuel Filter Set Primary and Secondary,Fuel Filter Set Primary and Secondary,1,Set,rawatlokesh5,60
2,Oil Filter,Oil Filter,1,Nos,rawatlokesh5,60
3,Hydraulic Filter,Hydraulic Filter,1,Nos,rawatlokesh5,60
4,Air Filter Set Outer and Inner,Air Filter Set Outer and Inner,1,Set,rawatlokesh5,60
5,Ignition Key Switch,Ignition Key Switch,1,Nos,rawatlokesh5,60
6,Centre Joint Seal Kit,Centre Joint Seal Kit,1,Set,rawatlokesh5,60
7,Oil Filter Hydraulic,Oil Filter Hydraulic,2,Nos,rawatlokesh5,60
8,Air Filter Set Outer and Inner,Air Filter Set Outer and Inner,2,Sets,rawatlokesh5,60
9,Filter Suction Assy,Filter Suction Assy,1,Nos,rawatlokesh5,60
10,Strainer,Strainer,1,Nos,rawatlokesh5,60
11,Element Filter,Element Filter,1,Nos,rawatlokesh5,60
12,Grease Nipple,Grease Nipple,2,Pkts,rawatlokesh5,60
13,Fuel Filter Element,Fuel Filter Element,2,Nos,rawatlokesh5,60
14,Fuel Water Separator,Fuel Water Separator,2,Nos,rawatlokesh5,60
15,Engine Oil Filter,Engine Oil Filter,2,Nos,rawatlokesh5,60
16,Bucket Teeth,Bucket Teeth,15,Nos,rawatlokesh5,60
17,Bucket Teeth Locking Pin,Bucket Teeth Locking Pin,15,Nos,rawatlokesh5,60
18,Lock Washer,Lock Washer,15,Nos,rawatlokesh5,60
19,Charging Nipple,Charging Nipple,15,Nos,rawatlokesh5,60
20,Front Movable Window Assy,Front Movable Window Assy,1,Nos,rawatlokesh5,60
21,Glass Lower,Glass Lower,1,Nos,rawatlokesh5,60
22,Sprocket,Sprocket,2,Nos,rawatlokesh5,60
23,Bucket Distance Piece,Bucket Distance Piece,2,Sets,rawatlokesh5,60
24,Fuel Pipe Line 19MM,Fuel Pipe Line 19MM,2,Nos,rawatlokesh5,60
25,Fuel Feed Pump,Fuel Feed Pump,2,Nos,rawatlokesh5,60
26,Fuel tank Strainer,Fuel tank Strainer,1,Nos,rawatlokesh5,60
27,"Battery 12V, 70AH","Battery 12V, 70AH",1,Nos,rawatlokesh5,60
28,Vibrator Hydraulic Hose,Vibrator Hydraulic Hose,1,Nos,rawatlokesh5,60
29,Charging Nipple,Charging Nipple,2,Nos,rawatlokesh5,60
30,Grease Nipple,Grease Nipple,1,Pkt,rawatlokesh5,60
31,Bucket Locking Pin,Bucket Locking Pin,1,Nos,rawatlokesh5,60
32,Tooth,Tooth,10,Nos,rawatlokesh5,60
33,Pin,Pin,10,Nos,rawatlokesh5,60
34,Retainer,Retainer,10,Nos,rawatlokesh5,60
35,Fuel tank Strainer,Fuel tank Strainer,1,Nos,rawatlokesh5,60
36,Filter Element Oil EG,Filter Element Oil EG,1,Nos,rawatlokesh5,60
37,Filter Element Fuel EG,Filter Element Fuel EG,1,Nos,rawatlokesh5,60
