Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,PVC connection ,15 x 450 mm,518,pieces,GEARMYNo1,60
2,PVC connection, 15 x 600 mm with Nuts,328,pieces,GEARMYNo1,60
3,PVC Waste pipe, 32mm dia heavy duty & 800 mm long,457,pieces,GEARMYNo1,60
4,PVC Flexible waste Pipe , Length 750mm,555,pieces,GEARMYNo1,60
5,PVC waste pipe ,800 mm long,236,pieces,GEARMYNo1,60
6,PTMT Waste pipe 50mm dia urinal, 50mm dia urinal,70,pieces,GEARMYNo1,60
7,CP toilet paper holder,CP toilet paper holder,121,pieces,GEARMYNo1,60
8,Kitchen sink of size ,(915x400) mm with drainage board,11,pieces,GEARMYNo1,60
9,Kitchen sink of size , (495x420) mm without drainage board,9,pieces,GEARMYNo1,60
10,PTMT float valve 20mm ,PTMT float valve 20mm ,299,pieces,GEARMYNo1,60
11,Looking mirror with LED lighting , size 60 x 45cm,20,pieces,GEARMYNo1,60
12,PVC Toilet Seat Cover , Seat Cover (Oval) ,114,pieces,GEARMYNo1,60
13,Alumimiu door stopper ,door stopper ,196,pieces,GEARMYNo1,60
14,Alumimiu door closer, door closer,50,pieces,GEARMYNo1,60
15,Aluminium Handle 125mm, Handle 125mm,41,pieces,GEARMYNo1,60
16,Wash basin 580 x 450 mm,Wash basin 580 x 450 mm,11,pieces,GEARMYNo1,60
17,CP grating 100 or 150 mm,100 or150 mm dia,148,pieces,GEARMYNo1,60
18,CP grating 100mm without hole,CP grating 100mm without hole,148,pieces,GEARMYNo1,60
19,PVC connection 15 x 450 mm,PVC connection 15 x 450 mm,305,pieces,GEARMYNo2,60
20,PVC connection 15 x 600 mm ,PVC connection 15 x 600 mm,270,pieces,GEARMYNo2,60
21,PVC Waste pipe 32mm dia ,heavy duty & 800 mm long,166,pieces,GEARMYNo2,60
22,PVC waste pipe , 40mm dia heavy duty & 800 mm long,113,pieces,GEARMYNo2,60
23,CP toilet paper holder,CP toilet paper holder,103,pieces,GEARMYNo2,60
24,PVC float valve 15mm ,PVC float valve 15mm ,60,pieces,GEARMYNo2,60
25,PTMT float valve 20mm ,PTMT float valve 20mm ,392,pieces,GEARMYNo2,60
26,PVC float valve 25mm,PVC float valve 25mm,180,pieces,GEARMYNo2,60
27,Corner Glass shelf,Corner Glass shelf,256,pieces,GEARMYNo2,60
28,Alumimiu door stopper ,door stopper Double,203,pieces,GEARMYNo2,60
29,Towel rack,Towel rack,57,pieces,GEARMYNo2,60
30,CP Grating 140 without hole,CP Grating 140 without hole,257,pieces,GEARMYNo2,60
31,CP grating 100 or 150 mm,100 or150 mm dia,160,pieces,GEARMYNo2,60
32,CP grating 125mm dia,CP grating 125mm dia,8,pieces,GEARMYNo2,60
33,PVC connection 15 x 450 mm,PVC connection 15 x 450 mm,305,pieces,GEBNR,60
34,PVC connection 15 x 600 mm ,PVC connection 15 x 600 mm ,306,pieces,GEBNR,60
35,PVC Waste pipe 32mm dia ,heavy duty & 800 mm long,200,pieces,GEBNR,60
36,PVC waste pipe 40mm dia, heavy duty & 800 mm long,295,pieces,GEBNR,60
37,CP toilet paper holder,CP toilet paper holder,106,pieces,GEBNR,60
38,PVC float valve 15mm ,PVC float valve 15mm ,168,pieces,GEBNR,60
39,PTMT float valve 20mm ,PTMT float valve 20mm ,109,pieces,GEBNR,60
40,Corner Glass shelf,Corner Glass shelf,55,pieces,GEBNR,60
41,Clamp Support Oval mirror,Clamp Support Oval mirror,5,pieces,GEBNR,60
42,PVC Toilet Seat Cover,Toilet Seat Cover Oval,71,pieces,GEBNR,60
43,Hydraulic Door Closer,Hydraulic Door Closer,90,pieces,GEBNR,60
44,Floor Door Stopper Double tongue,Floor Door Stopper Double tongue,15,pieces,GEBNR,60
45,Aluminium Door Handle 200mm,Door Handle 200mm,83,pieces,GEBNR,60
46,Aluminium Door Handle 150mm,Door Handle 150mm,83,pieces,GEBNR,60
47,Aluminium Door Handle 100mm, Door Handle 100mm,196,pieces,GEBNR,60
48,Door Handle 75mm,Door Handle 75mm,53,pieces,GEBNR,60
49,PVC connection 15 x 600 mm ,PVC connection 15 x 600 mm ,5,pieces,AGEUDAIPUR,60
50,Corner Glass shelf,Corner Glass shelf,10,pieces,AGEUDAIPUR,60
