Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,DG 16 EXPLORER,DG 16 EXPLORER,1,pieces,cbdanapur@dgest.org,15
2,ULTRASONIC CLEANER FOR FILES,ULTRASONIC CLEANER FOR FILES,1,unit,cbdanapur@dgest.org,15
3,APEX LOCATOR,APEX LOCATOR,1,set,cbdanapur@dgest.org,15
4,ONLY BEADS FO GLASS BEAD STERILIZER,ONLY BEADS FO GLASS BEAD STERILIZER,1,set,cbdanapur@dgest.org,15
5,ROTARY FILE 20  25  0.4 percent,ROTARY FILE 20  25  0.4 percent,2,set,cbdanapur@dgest.org,15
6,PEN TORCH,PEN TORCH,2,pieces,cbdanapur@dgest.org,15
7,KETAC MOLAR,KETAC MOLAR,2,boxes,cbdanapur@dgest.org,15
8,GIC RESTORATIVE CEMENT GC,GIC RESTORATIVE CEMENT GC,1,set,cbdanapur@dgest.org,15
9,COMPOSITE A2 SHADE SYRINGE MATERIAL,COMPOSITE A2 SHADE SYRINGE MATERIAL,2,SYRINGES,cbdanapur@dgest.org,15
10,ANTI FOG MIRROR,ANTI FOG MIRROR,1,pieces,cbdanapur@dgest.org,15
11,ENDO PLUG,ENDO PLUG,1,pieces,cbdanapur@dgest.org,15
12,METAL CUTTING BUR,METAL CUTTING BUR,2,Nos,cbdanapur@dgest.org,15
13,LIGHT CURING UNIT1 FOR COMPOSITE,LIGHT CURING UNIT1 FOR COMPOSITE,1,Nos,cbdanapur@dgest.org,15
14,GP CUTTER ELECTRONIC PEN,GP CUTTER ELECTRONIC PEN,1,Nos,cbdanapur@dgest.org,15
15,LIGONOCAINE 2 percent,30 ML,10,Nos,cbdanapur@dgest.org,15
16,Weight machine ,manual,2,Nos,cbdanapur@dgest.org,15
17,Blood pressure machine,Blood pressure machine,2,Nos,cbdanapur@dgest.org,15
18,Thermometer ,mercury,5,Nos,cbdanapur@dgest.org,15
19,Height measurement instrumental ,Height measurement instrumental ,1,Nos,cbdanapur@dgest.org,15
20,Oximeter ,Oximeter ,2,Nos,cbdanapur@dgest.org,15
21,Stool ,stainless steel,4,Nos,cbdanapur@dgest.org,15
22,Uitra sound gel ,5 kg jar,35,kg,cbdanapur@dgest.org,15
23,Cotton roll,Cotton roll,40,Nos,cbdanapur@dgest.org,15
24,Gloves,Medicated,15,boxes,cbdanapur@dgest.org,15
25,Sanitizer,5 ltr jar,20,ltr,cbdanapur@dgest.org,15
26,Handwash liquid ,1 kg pouch,10,Nos,cbdanapur@dgest.org,15
27,Prescription pad register 100 page each,as per buyer requirement,200,Book,cbdanapur@dgest.org,15
28,White Board with stand ,4X2.5,1,pieces,cbdanapur@dgest.org,15
