Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,Ultra sonic cleaner,Ultra sonic cleaner,1,No,SF0603_VRNS,90
2,Vacuum Dessicator,Vacuum Dessicator,1,No,SF0603_VRNS,90
3,Mechanical Stirrer High Torque,Mechanical Stirrer High Torque,2,No,SF0603_VRNS,90
4,AC Stirrers,AC Stirrers,2,No,SF0603_VRNS,90
5,Magnetic Stirrers with hotplate,Magnetic Stirrers with hotplate,3,No,SF0603_VRNS,90
6,Rotary Barrel pump,Rotary Barrel pump,2,No,SF0603_VRNS,90
7,Plastic Lever pump for viscous fluids,Plastic Lever pump for viscous fluids,2,No,SF0603_VRNS,90
8,Magnetic stirrers with glass ceramic hot plate,Magnetic stirrers with glass ceramic hot plate,3,No,SF0603_VRNS,90
9,C Clamp 10 250 heavy duty,C Clamp 10 250 heavy duty,5,No,SF0603_VRNS,90
10,Bearing puller set,Bearing puller set,1,No,SF0603_VRNS,90
11,Welding face shield,Welding face shield,3,No,SF0603_VRNS,90
12,Wrap roll EP EPE Foam wrap,Wrap roll EP EPE Foam wrap,10,No,SF0603_VRNS,90
13,Magnetic beads set of 15 units,Magnetic beads set of 15 units,1,No,SF0603_VRNS,90
14,Orbital sanders,Orbital sanders,2,No,SF0603_VRNS,90
15,Infrared Thermometer,Infrared Thermometer,2,No,SF0603_VRNS,90
16,Precision air blow gun,Precision air blow gun,3,No,SF0603_VRNS,90
17,Air flow nozzle connector for pipe systems 25 Nos set,Air flow nozzle connector for pipe systems 25 Nos set,1,No,SF0603_VRNS,90
18,Moptar pestle 6,Moptar pestle 6,2,No,SF0603_VRNS,90
19,Digital PH meter electrode type,Digital PH meter electrode type,1,No,SF0603_VRNS,90
20,Soldering station,Soldering station,1,No,SF0603_VRNS,90
21,Funnel plastic for oil,Funnel plastic for oil,5,No,SF0603_VRNS,90
