Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,RECEPTACLE PVC 20 LTR,RECEPTACLE PVC 20 LTR,7,Each,genorthpatiala,30
2,TABLE 900X600X760MM WITHOUT DRAWER STEEL FD 1007,TABLE 900X600X760MM WITHOUT DRAWER STEEL FD 1007,1,Each,genorthpatiala,30
3,RIFLE RACK FOR TEN RIFLES FD TP ,RIFLE RACK FOR TEN RIFLES FD TP ,1,Each,genorthpatiala,30
4,BOARD NOTICE 6X5 FD TP,BOARD NOTICE 6X5 FD TP,1,Each,genorthpatiala,30
5,CHAIR EASY FD 229,CHAIR EASY FD 229,4,Each,genorthpatiala,30
6,PEG TABLE FD 277,PEG TABLE FD 277,2,Each,genorthpatiala,30
7,COUCH EXAMINATION HFD 2019,COUCH EXAMINATION HFD 2019,2,Each,genorthpatiala,30
8,STOOL REVOLVING ADJUSTABLE STEEL FD 1026,STOOL REVOLVING ADJUSTABLE STEEL FD 1026,1,Each,genorthpatiala,30
9,TABLE OFFICE OFFICER STEEL FD 1003,TABLE OFFICE OFFICER STEEL FD 1003,1,Each,genorthpatiala,30
10,RACK ADJ 6 TIER STEEL FD 1038,RACK ADJ 6 TIER STEEL FD 1038,1,Each,genorthpatiala,30
11,SIDE RACK WITH TRAY STEEL FD 1023,SIDE RACK WITH TRAY STEEL FD 1023,1,Each,genorthpatiala,30
12,SCREEN MOVEABLE STEEL,SCREEN MOVEABLE STEEL,3,Each,genorthpatiala,30
13,STOOL STEEL 305X305X760MM FD 81 M,STOOL STEEL 305X305X760MM FD 81 M,9,Each,genorthpatiala,30
14,TABLE TUBULAR STAINLESS STEEL 2100X900X760MM FD 1013,TABLE TUBULAR STAINLESS STEEL 2100X900X760MM FD 1013,2,Each,genorthpatiala,30
15,BED FOWLER STEEL FD TP,BED FOWLER STEEL FD TP,3,Each,genorthpatiala,30
