Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,LV7 T-815 443-811-445-780 Circuit Braker 24 V 6A,LV7/T-815 443-811-445-780 Circuit Braker 24 V 6A,5,NOS,kvsingh@224abod,90
2,LV7 STLN VF  F9E01700 1 Assy Warning Lamps 24V,LV7/STLN(VF) F9E01700 1 Assy Warning Lamps 24V,12,NOS,kvsingh@224abod,90
3,LV7 TMB 2573-4311-0119 Repair Kit  Major M C,LV7/TMB 2573-4311-0119 Repair Kit (Major)M/C,21,NOS,kvsingh@224abod,90
4,LV7 TMB 3505-6701-2309 Wind Shield Glass,LV7/TMB 3505-6701-2309 Wind Shield Glass,2,NOS,kvsingh@224abod,90
5,LV2 ICVS 2520720467392  PD-IT-1.5MPA-K2  Eng Oil Pressure Sending Unit  Ty25-02-1,LV2/ICVS 2520720467392 (PD-IT-1.5MPA-K2) Eng Oil Pressure Sending Unit (Ty25-02-1,46,NOS,kvsingh@224abod,90
6,LV7 T-815 131-411-099-005 Speedometer   131 411 099 005 ,LV7/T-815 131-411-099-005 Speedometer  (131 411 099 005),10,NOS,kvsingh@224abod,90
7,LV2 ICVS 8340720199405 765-93-SB240  Tarpaulin 765-93-Sb240 ,LV2/ICVS 8340720199405(765-93-SB240) Tarpaulin(765-93-Sb240),6,NOS,kvsingh@224abod,90
8,LV7 KRZ 238-1601131 Driven Disc,LV7/KRZ 238-1601131 Driven Disc,3,NOS,kvsingh@224abod,90
9,LV7 TMB 2654-2910-0157 Repair Kit Major Slave Cylinder,LV7/TMB 2654-2910-0157 Repair Kit Major Slave Cylinder,112,NOS,kvsingh@224abod,90
10,LV7 TMB 2530-002371 Cyl Assy Hyd Brake Master Dia 38.1X75 St,LV7/TMB 2530-002371 Cyl Assy Hyd Brake Master Dia 38.1X75 St,10,NOS,kvsingh@224abod,90
11,LV7 TMB 2523-0715-0104 Cold Start Pilot Kit,LV7/TMB 2523-0715-0104 Cold Start Pilot Kit,1,NOS,kvsingh@224abod,90
12,LV2 ICVS 5330720336491  765-10-1823  Retainer  Packing,LV2/ICVS 5330720336491 (765-10-1823) Retainer  Packing,9,NOS,kvsingh@224abod,90
