Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,Desktop Computer Corei7 16GB 1TB SSD 23.8 inch Led Win 11 Pro Acer,Desktop Computer Corei7 16GB 1TB SSD 23.8 inch Led Win 11 Pro Acer,7,Nos,gso1isbuyer,45
2,Printer Smart Ink Tank 210,Printer Smart Ink Tank 210,6,Nos,gso1isbuyer,45
3,Line Interactive UPS 1KVA,Line Interactive UPS 1KVA,9,Nos,gso1isbuyer,45
4,Scanner DR M 160,Scanner DR M 160,3,Nos,gso1isbuyer,45
5,All in One Core i5 16GB 512GB Win 11Pro ,All in One Core i5 16GB 512GB Win 11Pro ,5,Nos,gso1isbuyer,45
6,Biometric Decice MFS 500,Biometric Decice MFS 500,12,Nos,gso1isbuyer,45
7,HP Mono MFM,HP Mono MFM,1,Nos,gso1isbuyer,45
8,Colour Ink Tank Printer,Colour Ink Tank Printer,2,Nos,gso1isbuyer,45
9,Online UPS 2KVA,Online UPS 2KVA,1,Nos,gso1isbuyer,45
10,Media Converter GIGA 20KM,Media Converter GIGA 20KM,10,Pair,gso1isbuyer,45
11,UTP Cable Cat 6 305 Mtr Roll,UTP Cable Cat 6 305 Mtr Roll,1,Nos,gso1isbuyer,45
12,RJ 45 Connector Pkt of 100,RJ 45 Connector Pkt of 100,1,Nos,gso1isbuyer,45
13,VGA TO HDMI,VGA TO HDMI,4,Nos,gso1isbuyer,45
14,HDMI TO VGA,HDMI TO VGA,4,Nos,gso1isbuyer,45
15,Wireless Keyboard  mouse,Wireless Keyboard  mouse,10,Nos,gso1isbuyer,45
16,Extranal DVD Writer,Extranal DVD Writer,4,Nos,gso1isbuyer,45
17,L2 8 Port Switch GIGA D Link,L2 8 Port Switch GIGA D Link,5,Nos,gso1isbuyer,45
18,KVM Switch 4 Port Aten,KVM Switch 4 Port Aten,1,Nos,gso1isbuyer,45
19,Boardband Radio 8KM,Boardband Radio 8KM,10,Pair,gso1isbuyer,45
20,Inverter 5.5KVA with Battery,Inverter 5.5KVA with Battery,1,Nos,gso1isbuyer,45
21,HDMI Cable 20 Mtr,HDMI Cable 20 Mtr,2,Nos,gso1isbuyer,45
22,HDMI Cable 10 Mtr,HDMI Cable 10 Mtr,2,Nos,gso1isbuyer,45
23,HDMI Cable 05 Mtr,HDMI Cable 05 Mtr,4,Nos,gso1isbuyer,45
24,Quard Core 32GB RAM 2TB Storage 8GB Graphic Card 32 inch Display Win 11 Pro,Quard Core 32GB RAM 2TB Storage 8GB Graphic Card 32 inch Display Win 11 Pro,3,Nos,gso1isbuyer,45
