Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,Metronidazole susp 200 mg  per 5ml bott of 60 ml 012226,Metronidazole susp 200 mg  per 5ml bott of 60 ml 012226,50,Bott,healers.ups,30
2,Ofloxacin 50 mg  and  Ornidazole 125 mg syrup bott of 30 ml Ml 018115,Ofloxacin 50 mg  and  Ornidazole 125 mg syrup bott of 30 ml Ml 018115,30,Bott,healers.ups,30
3,Ofloxacin syrup 100 mg per 5ml bott of 60 ml NIV 01 881,Ofloxacin syrup 100 mg per 5ml bott of 60 ml NIV 01 881,30,Bott,healers.ups,30
4,Tab Eltrombopag 75 mg NIV 01 871,Tab Eltrombopag 75 mg NIV 01 871,90,No,healers.ups,30
5,Lansoprazole 15 mg TaB NIV 01 767,Lansoprazole 15 mg TaB NIV 01 767,180,No,healers.ups,30
6,Dexorange syrup bott of 200 Ml NIV 01 267,Dexorange syrup bott of 200 Ml NIV 01 267,4,Bott,healers.ups,30
7,Paracetamol 250mg per 5ml Oral liquid bott of 60 ml NIV 01 811,Paracetamol 250mg per 5ml Oral liquid bott of 60 ml NIV 01 811,60,Bott,healers.ups,30
8,Tianeptine 12 point 5 mg tab 012374,Tianeptine 12 point 5 mg tab 012374,270,No,healers.ups,30
9,Syp Paracetamol and  IbuprofeN NIV 01 807,Syp Paracetamol and  IbuprofeN NIV 01 807,30,Bott,healers.ups,30
10,Doxylamine succinate 10mg USP and Pyridoxine hydrochloride 10mg IP taB 011724,Doxylamine succinate 10mg USP and Pyridoxine hydrochloride 10mg IP taB 011724,150,No,healers.ups,30
11,Tab calcitrol and  Calcium and zinc Primacal AT NIV 01 533,Tab calcitrol and  Calcium and zinc Primacal AT NIV 01 533,180,No,healers.ups,30
12,Canagliflozin 100 mg Tab 010582,Canagliflozin 100 mg Tab 010582,90,No,healers.ups,30
13,Phenytoin oral suspension containing phenytoin 100mg per 4ml bott of 100 Ml 010553,Phenytoin oral suspension containing phenytoin 100mg per 4ml bott of 100 Ml 010553,30,Bott,healers.ups,30
14,"Levetiracetam 100mg perml, Syp soln liq  bott of 100ml  010534","Levetiracetam 100mg perml, Syp soln liq  bott of 100ml  010534",15,Bott,healers.ups,30
15,Beclomethasone dipropionate 50 mcg and Levosalbutamol 50 mcg per metered dose in CFC free MD NIV 01 880,Beclomethasone dipropionate 50 mcg and Levosalbutamol 50 mcg per metered dose in CFC free MD NIV 01 880,4,MDI,healers.ups,30
16,Choline salicylate and Benzalkonium chloride gel of 10 Ml 011067,Choline salicylate and Benzalkonium chloride gel of 10 Ml 011067,75,Tube,healers.ups,30
17,Tab Metotrexate 15 mg 013917,Tab Metotrexate 15 mg 013917,100,No,healers.ups,30
18,Tab Irosome NIV 01 856,Tab Irosome NIV 01 856,180,No,healers.ups,30
19,Tab Silodosin 8mg 011611,Tab Silodosin 8mg 011611,200,No,healers.ups,30
20,Syrup Terbutalin sulphate 1point 25 mg  and  Bromhexine HCL 4 mg and  Guaiphenesin 50 mg   per 5 ml  bott of 100 ml 012493,Syrup Terbutalin sulphate 1point 25 mg  and  Bromhexine HCL 4 mg and  Guaiphenesin 50 mg   per 5 ml  bott of 100 ml 012493,200,Bott,healers.ups,30
21,Ketorolac 10 mg tab 010291,Ketorolac 10 mg tab 010291,100,No,healers.ups,30
22,Drotaverine HCL 1percent  20mgper ml  2 ml Inj NIV 01 882,Drotaverine HCL 1percent  20mgper ml  2 ml Inj NIV 01 882,50,Amp,healers.ups,30
23,Injection Neurobion forte NIV 01 50,Injection Neurobion forte NIV 01 50,50,Amp,healers.ups,30
