Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,"Supply and Fixing socket combination flush type multipurpose 2 by 3 pin 5 amps 2 in 1, 230 Volts all as specified.","Supply and Fixing socket combination flush type multipurpose 2 by 3 pin 5 amps 2 in 1, 230 Volts all as specified.",20,Each,gekkdaf,180
2,Supply and Fixing switch socket combination flush type multipurpose 2 by 3 pin 5 amps 2 in 1 230 Volts complete all as specified and directed.,Supply and Fixing switch socket combination flush type multipurpose 2 by 3 pin 5 amps 2 in 1 230 Volts complete all as specified and directed.,60,Each,gekkdaf,180
3,Supply and Fixing of switch socket combination 2 in 1 multipurpose 3 by 5 pin 5 by 15 amps flush type complete all as specified,Supply and Fixing of switch socket combination 2 in 1 multipurpose 3 by 5 pin 5 by 15 amps flush type complete all as specified,40,Each,gekkdaf,180
4,Supply and Fixing lamp holder insulated body surface bakelite with back plate suitable for angle by batten fittings fixed with PVC round by square blocks complete all as specified and directed.,Supply and Fixing lamp holder insulated body surface bakelite with back plate suitable for angle by batten fittings fixed with PVC round by square blocks complete all as specified and directed.,20,Each,gekkdaf,180
5,"Supply and Fixing in repair switch socket combination flush type multipurpose 2 by 3 pin 5 by 15 amps 2 in 1, 230 volts",including removal old existing unserviceable one complete all as specified and directed.,100,Each,gekkdaf,180
6,Supply and Fixing in repair switch socket combination 2 in 1 multipurpose 3 by 5 pin 5 by 15 amps flush type,including removal old existing unserviceable one complete all as specified and directed.,50,Each,gekkdaf,180
7,Supply and Fixing in repair lamp holder insulated body surface bakelite with back plate suitable for angle by batten fittings fixed with wooden round blocks,including removal old existing unserviceable one complete all as specified and directed.,30,Each,gekkdaf,180
8,"Supply and Fixing new energy saving rechargable LED bulb 9 Watt, Base-22, 240 V, CCT-6500K polycatbonate body. Lamp life 15000 Working Hours complete all as specified and directed","Supply and Fixing new energy saving rechargable LED bulb 9 Watt, Base-22, 240 V, CCT-6500K polycatbonate body. Lamp life 15000 Working Hours complete all as specified and directed",50,Each,gekkdaf,180
9,"Supply and Fixing sheet metal enclosure for VT DB TPN, MCB DB TFN 4 way with provision for MCCB as INCOMER and MCB as out going,","Confirming to IS as per IEC 61439-3, IP 43, double door including 63 Amp, 25 KA, TP MCCB as incomer Vertical type double door, 63 Amps MCCB rate inclusive including fixing the DB box flush in wall of any type and making good the distrubed surface to match as the existing complete all as specified and directed by Engr-in-Charge",2,Each,gekkdaf,180
10,"Supply and Fixing of sheet metal enclosure for MCB, DB, TPN 415 Velts, IP-43, 100 amps rated copper busbar 4 way Double door",Vertical DB with prov of MCB as incomer Confirming to IS as por IEC 61439-3 including fixing the DB box flush in wall of any type and making good the distrubed surface to malch as the existing complete all as specified and directed by Engr-in-Charge,20,Each,gekkdaf,180
11,"Supply and Fixing of sheet metal enclosure for MCB, DB, SPN, 240 Volts, 100 Amps rated busbar, Confirming to IS as per IEC 61439-3, 8 way Double door","enclosure made up of CRCA sheet steel, RAL 9003 powder coated, IP 43 IK 09 including fixing the DB box flush in wall of any type and making good the distrubed surface to match as the existing with all as specified and directed by Engr-in-Charge",12,Each,gekkdaf,180
12,"Supply and Fixing of sheet metal enclosure for MCB, DB, SPN, 240 Volts, 100 Amps rated busbar, Confirming to IS as per IEC 61439-3, 4 way Double door","enclosure made up of CRCA sheet steel, RAL 9003 powder coated, IP 43 IK 09 including fixing the DB box flush in wall of any type and making good the distrubed surface to match as the existing with all as specified and directed by Engr-in-Charge",6,Each,gekkdaf,180
13,"Supply and fixing in repair sheet metal enclosures triple pole and earth plug with socket, as per IEC 61439 3 complete with one four pole MCB of capacity 63 A 3P plus N plus E FP, 415 V",with neutral links including taking down unserviceable one all as specified and directed by Engineer in charge.,2,Each,gekkdaf,180
14,"Supply and Fixing for Sub main wiring with Four run of single core 3 phase PVC insulated unsheathed cable 1100 volts grade, 6.0 Sqmm","multistranded copper conductor, FRLSH cable drawn in with and including PVC casing capping not less than 32 mm ISI marked including all accessories of casing caping including one run of PVC insulated unsheathed 6.0 Sqmm cable with multistranded copper conductor green PVC insulated as contineous earth conducter cable connected to earth dolly complete all as specified and directed by EIC. 4 x 6.0 sqmm + 1 x 6.0 Sqmm earth wire",120,RM,gekkdaf,180
15,"All as per Item No 47 of BoQ Spec file here in before but of size 6 Sqmm 3 core for single phase phase, Neutral and Earth. 2 x 6.0 sqmm plus  1 x 6.0 Sqmm earth wire",Complete all as specified and as directed.,180,RM,gekkdaf,180
16,"All as per Item No 47 of BoQ Spec file here in before but of size 4 Sqmm 3 core for single phase phase, Neutral and Earth. 2 x 4.0 samm plus 1 x 4.0 Sqmm earth wire",Complete all as specified and as directed.,150,RM,gekkdaf,180
17,"All as per Item No 47 of BoQ Spec file here in before but of size 10 Sqmm 5 core for three phase, Neutral and Earth. 4 x 10.0 sqmm plsu 1x 10.0 Sqmm earth wire",Complete all as specified and as directed.,30,RM,gekkdaf,180
18,"Supply and fixing in repair Ultra bright LED tube rod18 Watt G-13 Lamp Holder 240 V, PF 0.90, colour Temp 6500K","System Luminious efficacy less than 110lumen per watt, to be fixed in existing or new batten by patt including changing the wiring suitable for T8 LED retrofit lamp in existing tube light fitting complete",80,Each,gekkdaf,180
19,Supply and Fixing Energy saving new generation environmental friendly long life IP66 security light fitting high power LEDs as light source and electronic driver of capacity 25 watts,"with pre wired and necessary mounting arrangements, provision of new 3 core multistranded copper conductor of size 23 by 0.193 from ceiling rose to fitting and Gt pipe bracket made out of Gl pipe medium grade 32 mm dia 1.5. mtr long bend to required shape complete incl removal of old unsv fitting all as directed.",15,Each,gekkdaf,180
20,"Supply and fix Round highway LED light 100 watt operational voltage of 170 volts to 270 volts, frequency of 50 Hz, lumen efficacy of minimum 100 lumens per watt",isolated electronic LED driver incl taking down light fittings from any hight up to 18 mtrs complete all as specified and as directed.,8,Each,gekkdaf,180
21,Supply and fix of LED Aviation Obstruction light Red Colour incl taking out old uis fitting,completeall as specified and directed as per Engr-in-charge.,4,Each,gekkdaf,180
