Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,Aceclofenac 100 mg plus Paracetamol 325 mg plus Seriopeptidase  5 mg Tab,Aceclofenac 100 mg plus Paracetamol 325 mg plus Seriopeptidase  5 mg Tab,4000,No,buyer2@hunder,30
2,Aceclofenac 100 mg plus Paracetamol 325 mg Tab ,Aceclofenac 100 mg plus Paracetamol 325 mg Tab ,1800,No,buyer2@hunder,30
3,Acenocoumarol 4 mg Tab,Acenocoumarol 4 mg Tab,600,No,buyer2@hunder,30
4,Acetazolamide 250 mg Tab,Acetazolamide 250 mg Tab,12000,No,buyer2@hunder,30
5,Acyclovir 800 mg Tab,Acyclovir 800 mg Tab,800,No,buyer2@hunder,30
6,Acyclovir Ophth Ointment 3 percent ww in 5 gm tube,Acyclovir Ophth Ointment 3 percent ww in 5 gm tube,30,Tube,buyer2@hunder,30
7,Adrenaline Tartrate 1 is to 1000 amp of 1 ml Inj,Adrenaline Tartrate 1 is to 1000 amp of 1 ml Inj,1000,Amp,buyer2@hunder,30
8,Albendazole 400 mg Tab,Albendazole 400 mg Tab,1000,No,buyer2@hunder,30
9,Alendronate Sodium 70 mg Tab,Alendronate Sodium 70 mg Tab,100,No,buyer2@hunder,30
10,Amiodarone HCl 200 mg Tab,Amiodarone HCl 200 mg Tab,300,No,buyer2@hunder,30
11,Anti haemorhoidal Ointment tube of 15 gm with applicator,Anti haemorhoidal Ointment tube of 15 gm with applicator,400,Tube,buyer2@hunder,30
12,Anti phlebitis cream Tube of 15g per 20g,Anti phlebitis cream Tube of 15g per 20g,200,Tube,buyer2@hunder,30
13,Apixaban 5 mg Tab,Apixaban 5 mg Tab,300,No,buyer2@hunder,30
14,Atorvastatin 10 mg Tab,Atorvastatin 10 mg Tab,8000,No,buyer2@hunder,30
15,Atorvastatin 20 mg Tab,Atorvastatin 20 mg Tab,6000,No,buyer2@hunder,30
16,Atorvastatin 20 mg plus Aspirin 75 mg plus Clopidogrel 75 mg Tab,Atorvastatin 20 mg plus Aspirin 75 mg plus Clopidogrel 75 mg Tab,300,No,buyer2@hunder,30
17,Atropine Sulphate 0.6 mg amp of  1 ml Inj,Atropine Sulphate 0.6 mg amp of  1 ml Inj,500,Amp,buyer2@hunder,30
18,Bandage T Shaped,Bandage T Shaped,200,No,buyer2@hunder,30
19,Battery Cell AA ,Battery Cell AA ,200,No,buyer2@hunder,30
20,Battery Cell AAA,Battery Cell AAA,200,No,buyer2@hunder,30
21,Betahistine Dihydro Chloride 8 mg Tab,Betahistine Dihydro Chloride 8 mg Tab,3000,No,buyer2@hunder,30
22,Bisacodyl 5 mg Tab,Bisacodyl 5 mg Tab,1800,No,buyer2@hunder,30
23,Budesonide 0.5 mg Respules,Budesonide 0.5 mg Respules,900,No,buyer2@hunder,30
24,Budesunide 1 mg Respules,Budesunide 1 mg Respules,900,No,buyer2@hunder,30
25,Calcium Carbonate 500 mg Tab elemental and Vit D3-200iu to 250iu Tab,Calcium Carbonate 500 mg Tab elemental and Vit D3-200iu to 250iu Tab,12000,No,buyer2@hunder,30
26,Carbamazepine 200 mg Tab,Carbamazepine 200 mg Tab,200,No,buyer2@hunder,30
27,Cetrizine 5mg per 5ml bott of 60 ml Syrup ,Cetrizine 5mg per 5ml bott of 60 ml Syrup ,100,Bott,buyer2@hunder,30
28,Chlorzoxazone 500 mg plus Diclofenac Sodium 50 mg plus Paracetamol 325 mg Tab,Chlorzoxazone 500 mg plus Diclofenac Sodium 50 mg plus Paracetamol 325 mg Tab,10000,No,buyer2@hunder,30
29,Clonazepam 1 mg Tab,Clonazepam 1 mg Tab,100,No,buyer2@hunder,30
30,Clonazepam 2 mg Tab,Clonazepam 2 mg Tab,200,No,buyer2@hunder,30
31,Clopidogrel 75 mg Tab,Clopidogrel 75 mg Tab,2000,No,buyer2@hunder,30
32,Clove Oil bottle of 50 ml,Clove Oil bottle of 50 ml,5,Bott,buyer2@hunder,30
33,Cough Lozenges Tab,Cough Lozenges Tab,500,No,buyer2@hunder,30
34,Dapaglifogin 10 mg Tab,Dapaglifogin 10 mg Tab,500,No,buyer2@hunder,30
35,Deflazacort 6 mg Tab,Deflazacort 6 mg Tab,300,No,buyer2@hunder,30
36,Diclofenac 75 mg per ml 1ml Amp Inj,Diclofenac 75 mg per ml 1ml Amp Inj,1500,Amp,buyer2@hunder,30
37,Diclofenac gel 1 percent Tube of 30 gm,Diclofenac gel 1 percent Tube of 30 gm,1200,Tube,buyer2@hunder,30
38,Dicyclomine HCl 20 mg Inj,Dicyclomine HCl 20 mg Inj,800,Amp,buyer2@hunder,30
39,Diltiazem 60 mg Tab,Diltiazem 60 mg Tab,300,No,buyer2@hunder,30
40,Empaglifogin 10 mg Tab,Empaglifogin 10 mg Tab,1200,No,buyer2@hunder,30
41,Empaglifogin 25 mg Tab,Empaglifogin 25 mg Tab,1200,No,buyer2@hunder,30
42,Ethambutol 800 mg Tab,Ethambutol 800 mg Tab,300,No,buyer2@hunder,30
43,Fenofibrate 200 mg Tab,Fenofibrate 200 mg Tab,600,No,buyer2@hunder,30
44,Fexofenadine Hydrochloride 120mg Tab,Fexofenadine Hydrochloride 120mg Tab,2500,No,buyer2@hunder,30
45,Finger Tip Bandaid,Finger Tip Bandaid,800,No,buyer2@hunder,30
46,Fluconazole 150 mg Cap or Tab,Fluconazole 150 mg Cap or Tab,1500,No,buyer2@hunder,30
47,Phenytoin Sodium 100 mg Inj,Phenytoin Sodium 100 mg Inj,50,Amp,buyer2@hunder,30
48,Frusemide 20 mg amp of 2 ml Inj,Frusemide 20 mg amp of 2 ml Inj,600,Amp or Vial,buyer2@hunder,30
49,Frusemide 20 mg plus Spironolactone 50 mg Tab,Frusemide 20 mg plus Spironolactone 50 mg Tab,1000,No,buyer2@hunder,30
50,Gel Choline Salicylate and Benzalkolium chloride Gel of 10 ml,Gel Choline Salicylate and Benzalkolium chloride Gel of 10 ml,300,Tube,buyer2@hunder,30
51,Glimepride 1 mg plus Metformin 1 gm Tab ,Glimepride 1 mg plus Metformin 1 gm Tab ,600,No,buyer2@hunder,30
52,Glimepride 1 mg  plus Metformin 500 mg and Pioglitazone 15 mg Tab,Glimepride 1 mg  plus Metformin 500 mg and Pioglitazone 15 mg Tab,600,No,buyer2@hunder,30
53,Glucosamine 500 mg Tab,Glucosamine 500 mg Tab,2000,No,buyer2@hunder,30
54,Glycopyrrolate 0.2 mg per ml amp of 1ml Inj,Glycopyrrolate 0.2 mg per ml amp of 1ml Inj,60,Amp,buyer2@hunder,30
55,Hyoscine Bromide 20 mg per ml amp 1ml Inj,Hyoscine Bromide 20 mg per ml amp 1ml Inj,800,Amp,buyer2@hunder,30
56,Isapgol or Ispaghula husk 3.5 gm,Isapgol or Ispaghula husk 3.5 gm,6000,Sachet,buyer2@hunder,30
57,Isosorbide Dinitrate 10 mg Tab,Isosorbide Dinitrate 10 mg Tab,4000,No,buyer2@hunder,30
58,Itraconazole 100 mg Cap,Itraconazole 100 mg Cap,2000,No,buyer2@hunder,30
59,Knife Bard parker blade size 1 fitting commercial No 11 packet of 6,Knife Bard parker blade size 1 fitting commercial No 11 packet of 6,10,Pkt,buyer2@hunder,30
60,Knife Bard parker blade size 1 fitting Commercial No 12 packet of 6,Knife Bard parker blade size 1 fitting Commercial No 12 packet of 6,10,Pkt,buyer2@hunder,30
61,Knife Bard parker blade size 1 fitting Commercial No. 15 packet of 6,Knife Bard parker blade size 1 fitting Commercial No. 15 packet of 6,10,Pkt,buyer2@hunder,30
62,Knife Bard parker blade size 2 fitting Commercial No 20 packet of 6,Knife Bard parker blade size 2 fitting Commercial No 20 packet of 6,10,Pkt,buyer2@hunder,30
63,Knife Bard parker blade size 2 fitting Commercial No 23 Packet of 6,Knife Bard parker blade size 2 fitting Commercial No 23 Packet of 6,10,Pkt,buyer2@hunder,30
64,"Knife Bard parker, blade size 2 fitting commercial No.22 packet of 6","Knife Bard parker, blade size 2 fitting commercial No.22 packet of 6",10,Pkt,buyer2@hunder,30
65,Labetalol HCl 100 mg Tab,Labetalol HCl 100 mg Tab,100,No,buyer2@hunder,30
66,Leviteracetam 500 mg Tab,Leviteracetam 500 mg Tab,2400,No,buyer2@hunder,30
67,Levo Salbutamol Sulphate of 2.5 ml containing 1.25 mg Respule,Levo Salbutamol Sulphate of 2.5 ml containing 1.25 mg Respule,1000,Respule,buyer2@hunder,30
68,Levodopa 200 mg with Carbidopa 50mg Tab,Levodopa 200 mg with Carbidopa 50mg Tab,300,No,buyer2@hunder,30
69,Levodopa 250 mg with Carbidopa 25 mg Tab,Levodopa 250 mg with Carbidopa 25 mg Tab,300,No,buyer2@hunder,30
70,Linagliptin 5 mg Tab,Linagliptin 5 mg Tab,800,No,buyer2@hunder,30
71,Lorazepam 2 mg per ml 2 ml Inj,Lorazepam 2 mg per ml 2 ml Inj,200,Amp,buyer2@hunder,30
72,Metformin 500 mg plus Glimepride 3 mg Tab,Metformin 500 mg plus Glimepride 3 mg Tab,300,No,buyer2@hunder,30
