Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,Thermas,Thermas 24 Hour Hot Cold 1 Ltr ,2,Nos,Con@cwejam,25
2,Garden Umbrela,Garden Umbrela with mounting stand,4,Nos,Con@cwejam,25
3,Door Curtain,Door Curtain,25,Nos,Con@cwejam,25
4,Dust Bin,Dust Bin,5,Nos,Con@cwejam,25
5,Keyboard and Mouse,Key Board and Mouse wire less,3,Set,Con@cwejam,25
6,Alkaline Battery,DC / 12 V / 23 A Alkaline battery,20,Nos,Con@cwejam,25
7,Battery,1012 Battery AAA  R03/1.5 Volt,60,Nos,Con@cwejam,25
8,Drinking Glass,Drinking water Glass Medium size (06 Nos each box),4,Pkt,Con@cwejam,25
9,Water Bottle,"Water bottle steel 1 Ltr, 24 hrs hot and cold, milton & equivalent",40,Nos,Con@cwejam,25
10,Duster cloths,Duster cloths cotton of Size 1 feet x 2  feet,114,Nos,Con@cwejam,25
11,Duster cloths,Duster cloths cotton yellow of Size 2 feet x 2  feet,104,Nos,Con@cwejam,25
12,Sponge,Water Sponge Plastic Box Good Quality,5,Nos,Con@cwejam,25
13,Battery,1015 Battery AA  R6P/1.5 Volt,100,Nos,Con@cwejam,25
14,Foot mat,Foot mat coir type,13,Nos,Con@cwejam,25
15,Calling bell,Calling bell cord less,2,Nos,Con@cwejam,25
16,Serving Tray,Serving Tray Medium size,2,Nos,Con@cwejam,25
17,Serving Tray,Serving Tray Large size,1,Nos,Con@cwejam,25
18,Mosquito killer machine refil,Refil Liquid for mosquito killer machine,60,Nos,Con@cwejam,25
19,Mosquito killer machine,Mosquito killer machine with rifil,10,Nos,Con@cwejam,25
20,Broom,Broom coconut stick hard 100cm long,20,Nos,Con@cwejam,25
21,Broom,Broom stick soft 100 cm long,25,Nos,Con@cwejam,25
22,Glass Cleaner,Glass cleaner and protector 500ml,50,Nos,Con@cwejam,25
23,Hand wash,Hand wash 200ml,60,Nos,Con@cwejam,25
24,Toilet Cleaner,Toilet cleaner 500ml,60,Nos,Con@cwejam,25
25,Mosquitoes killer spray,Mosquitoes killer spray,35,Nos,Con@cwejam,25
26,Napthalene Balls,Napthalene Balls 200gm,10,Pkt,Con@cwejam,25
27,Air freshner,Air freshner 50gm,60,Nos,Con@cwejam,25
28,Phenol,Phenol 1 ltr,50,Nos,Con@cwejam,25
29,Room freshner,Room freshner 220 ml,50,Nos,Con@cwejam,25
30,Double cotton towel,Double cotton towel,3,Nos,Con@cwejam,25
31,Tea Cup,Tea Cup (set of 6 cup),5,Pkt,Con@cwejam,25
32,Cup and saucer,Cup and saucer (set of 6 cup),1,Set,Con@cwejam,25
33,Hand Towel,Hand Towel,8,Nos,Con@cwejam,25
34,Dual Clip Mop with Rifil,Dual Clip Mop with Rifil,10,Nos,Con@cwejam,25
35,Dual Clip Mop Rifil,Dual Clip Mop Rifil,15,Nos,Con@cwejam,25
36,Dishwash Bar,Dishwash Bar,10,Nos,Con@cwejam,25
37,Scurber Dishwash,Scurber Dishwash,10,Nos,Con@cwejam,25
38,Table Cloth size,Table Cloth size  4 feet width,30,Mtr,Con@cwejam,25
39,Portable PC Camera wired and speaker with mic wired,Portable PC Camera wired and speaker with mic wired,2,Set,Con@cwejam,25
40,Paper shreder,8 Sheet paper shreder,4,Nos,Con@cwejam,25
41,Re-Writable CD,Re-Writable CD make HP & Equivalent,10,Nos ,Con@cwejam,25
42,CD Writable,CD Writable make HP & Equivalent,40,Nos ,Con@cwejam,25
43,Napkin Papper,Napkin Papper,60,Pkt,Con@cwejam,25
44,Automatic Room Spray,Automatic Room Spray,10,Nos ,Con@cwejam,25
45,Refil for Automatic room spray,Refil for Automatic room spray,30,Nos ,Con@cwejam,25
46,Grass Trimer Nylon wire,Grass Trimer Nylon wire 3mm x 50m long,3,Bdl,Con@cwejam,25
47,Writing table top Elevator,Writing table top Elevator (Acrylic Transparent),2,Nos,Con@cwejam,25
48,Portable Speaker,Portable Speaker 220W bluetooth supported with mike,1,Nos,Con@cwejam,25
49,Board Pin,Board Pin for notice board,5,Pkt,Con@cwejam,25
50,Four port HDMI USB switch ,Four port HDMI USB switch ,5,Nos,Con@cwejam,25
51,Wiper,Wiper,8,Nos,Con@cwejam,25
52,Telephone with Cable,Telephone with Cable 2 Mtr,2,Nos,Con@cwejam,25
53,Paper Weight,Paper Weight Glass Type Oval Shape,20,Nos,Con@cwejam,25
54,PTO Folder,PTO Folder good quality,20,Nos,Con@cwejam,25
55,Document protected folder,Document protected folder 20 Poly cover in one folder,15,Nos,Con@cwejam,25
56,Bucket,Bucket 20 Ltr,5,Nos,Con@cwejam,25
57,Water can,Water can 10Ltr for gardning,5,Nos,Con@cwejam,25
58,Flower Pot ,Flower Pot 12 inch dia 14 inch Long,25,Nos,Con@cwejam,25
59,Screen 4 pannel wooden,Screen 4 pannel wooden and MDF partition Size 72 inch height x 80 inch weidth,2,Nos,Con@cwejam,25
