Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,Table for Court staff,As mentioned in specification,8,pieces,con@ahmd,45
2,Table for Authorized Representatives,As mentioned in specification,8,pieces,con@ahmd,45
3,Chair for Court Staff,As mentioned in specification,8,pieces,con@ahmd,45
4,Chair for Ars,As mentioned in specification,16,pieces,con@ahmd,45
5,Chairs for Visitors Courts,As mentioned in specification,75,pieces,con@ahmd,45
6,Cabinets,As mentioned in specification,8,pieces,con@ahmd,45
7,L Shape Table with Attached Pedestrial and Drawers,As mentioned in specification,4,pieces,con@ahmd,45
8,Table Back Unit,As mentioned in specification,4,pieces,con@ahmd,45
9,High Back Chair,As mentioned in specification,9,pieces,con@ahmd,45
10,Mid Back Chair for Visitors,As mentioned in specification,12,pieces,con@ahmd,45
11,Officers L shape table with drawers,As mentioned in specification,2,pieces,con@ahmd,45
12,Officers Table with Drawers,As mentioned in specification,9,pieces,con@ahmd,45
13,Side Table,As mentioned in specification,11,pieces,con@ahmd,45
14,Officers Chair,As mentioned in specification,27,pieces,con@ahmd,45
15,Chair for Visitors,As mentioned in specification,41,pieces,con@ahmd,45
16,Staff Chair,As mentioned in specification,87,pieces,con@ahmd,45
17,Almirah Big,As mentioned in specification,16,pieces,con@ahmd,45
18,Almirah Small,As mentioned in specification,12,pieces,con@ahmd,45
19,Sofa 3 Seater with 2 Arms,As mentioned in specification,16,pieces,con@ahmd,45
20,Sofa 2 seater with 2 Arms,As mentioned in specification,7,pieces,con@ahmd,45
21,Sofa 1 Seater with 2 Arms,As mentioned in specification,7,pieces,con@ahmd,45
22,Coffee Table,As mentioned in specification,10,pieces,con@ahmd,45
23,Book Shelf Big,As mentioned in specification,10,pieces,con@ahmd,45
24,Oval Shape Table Big,As mentioned in specification,1,pieces,con@ahmd,45
25,Movable Compactor,As mentioned in specification,6,pieces,con@ahmd,45
26,Racks for UPS,As mentioned in specification,6,pieces,con@ahmd,45
27,Workstation  Table,As mentioned in specification,14,pieces,con@ahmd,45
28,Table,As mentioned in specification,19,pieces,con@ahmd,45
29,Side table with drawer,As mentioned in specification,1,pieces,con@ahmd,45
30,Sofa 3 Seater with 2 Arms MS,As mentioned in specification,3,pieces,con@ahmd,45
31,Sofa 2-seater with 2 Arms MS,As mentioned in specification,3,pieces,con@ahmd,45
32,Front Table,As mentioned in specification,1,pieces,con@ahmd,45
