Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,Superstructure of Small Store Shelter SSS of size 5 point 22 M x 6 point 10 M x 4 point 75 M height with 1 point 50 M Verandah,As per Technical Specification and Store list,1,Nos,work-123@nic.in,60
2,Cement OPC 43 Grade packed in HDPE bag each 50 Kg wt,As per Technical Specification and Store list,59,Bags,work-123@nic.in,60
3,Coarse Sand free from vegetation,As per Technical Specification and Store list,8,Cum,work-123@nic.in,60
4,Coarse aggregate 20mm graded,As per Technical Specification and Store list,3,Cum,work-123@nic.in,60
5,Coarse aggregate 40mm graded,As per Technical Specification and Store list,7,Cum,work-123@nic.in,60
6,Coarse Aggregate 40 to 63mm graded,As per Technical Specification and Store list,7,Cum,work-123@nic.in,60
7,Birck sub Class B,As per Technical Specification and Store list,4032,Nos,work-123@nic.in,60
8,Water Proofing Compound,As per Technical Specification and Store list,7,Kgs,work-123@nic.in,60
9,Mild Steel bars  of size  6 to 8mm dia,As per Technical Specification and Store list,20,Kgs,work-123@nic.in,60
10,Mild Steel bars of size  10mm dia,As per Technical Specification and Store list,23,Kgs,work-123@nic.in,60
11,Glass dividing strips 30 x 4mm ,As per Technical Specification and Store list,45,RM,work-123@nic.in,60
12,MS Binding wire,As per Technical Specification and Store list,1,Kgs,work-123@nic.in,60
13,Distribution box 8 way  SPN comma 240 volts copper bus bar and neutral link earthing stud double door type,As per Technical Specification and Store list,1,Nos,work-123@nic.in,60
14,MCB SPN 240 Volts 32 Amps,As per Technical Specification and Store list,1,Nos,work-123@nic.in,60
15,MCB SP 6 to 32 Amps,As per Technical Specification and Store list,4,Nos,work-123@nic.in,60
16,PVC tape 19mm wide 5 m long ,As per Technical Specification and Store list,1,Nos,work-123@nic.in,60
17,Cable PVC insulated electric cables heavy duty copper conductor of size 1.5 Sqmm single core,As per Technical Specification and Store list,240,RM,work-123@nic.in,60
18,Cable PVC insulated electric cables heavy duty copper conductor of size 2.5 Sqmm single core,As per Technical Specification and Store list,180,RM,work-123@nic.in,60
