Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,22.5mm Ht 23mm,22.5mm Ht 23mm,12,pieces,so_pur_var,15
2,Absorbent Cotton Roll,Absorbent Cotton Roll,12,pieces,so_pur_var,15
3,Alumina Annealing Boats High Temperature Compatible,Alumina Annealing Boats High Temperature Compatible,1,pieces,so_pur_var,15
4,Alumina Annealing Boats High Temperature Compatible,Alumina Annealing Boats High Temperature Compatible,1,pieces,so_pur_var,15
5,Alumina Annealing Boats High Temperature Compatible,Alumina Annealing Boats High Temperature Compatible,1,pieces,so_pur_var,15
6,Aluminium foil Silver Roll,Aluminium foil Silver Roll,8,pieces,so_pur_var,15
7,Aluminum Foils,Aluminum Foils,8,pieces,so_pur_var,15
8,ANIMAL CAGE  POLY LAB,ANIMAL CAGE  POLY LAB,2,pieces,so_pur_var,15
9,Aspirator Bottle With Stopcock,Aspirator Bottle With Stopcock,1,pieces,so_pur_var,15
10,Barrier Tips xl Max Cap 10LA749xl,Barrier Tips xl Max Cap 10LA749xl,4,pieces,so_pur_var,15
11,BEAKERS WITH HANDLE MEASURING JUGS,BEAKERS WITH HANDLE MEASURING JUGS,12,pieces,so_pur_var,15
12,Blotting Paper Sheets Pk of 100,Blotting Paper Sheets Pk of 100,1,pieces,so_pur_var,15
13,BOSS ZINC ALLOY WITH NICKLE PLATED,BOSS ZINC ALLOY WITH NICKLE PLATED,4,pieces,so_pur_var,15
14,Bouffant head cap,Bouffant head cap,12,pieces,so_pur_var,15
15,Brush Beaker Nylon Bristles on,Brush Beaker Nylon Bristles on,12,pieces,so_pur_var,15
16,Brush Beaker Nylon Bristles on wire ,Brush Beaker Nylon Bristles on wire ,12,pieces,so_pur_var,15
17,BRUSH BOTTLE,BRUSH BOTTLE,12,pieces,so_pur_var,15
18,BRUSH BRUETTE HEAD,BRUSH BRUETTE HEAD,12,pieces,so_pur_var,15
19,Brush for cleaning ,Brush for cleaning ,12,pieces,so_pur_var,15
20,Brush Semi Micro Test Tubes,Brush Semi Micro Test Tubes,4,pieces,so_pur_var,15
21,BRUSH TEST TUBE,BRUSH TEST TUBE,4,pieces,so_pur_var,15
22,"Brush, Beaker","Brush, Beaker",12,pieces,so_pur_var,15
23,Centrifuge Tubes,Centrifuge Tubes,4,pieces,so_pur_var,15
24,Centrifuge Tubes,Centrifuge Tubes,4,pieces,so_pur_var,15
25,Chemware Boiling Stones,Chemware Boiling Stones,1,pieces,so_pur_var,15
26,CLAMP 3 PRONG,CLAMP 3 PRONG,12,pieces,so_pur_var,15
27,Container 50ml Sterile ,Container 50ml Sterile ,1,pieces,so_pur_var,15
28,Coplin Jar,Coplin Jar,12,pieces,so_pur_var,15
29,Copper strips ,Copper strips ,1,pieces,so_pur_var,15
30,Cotton ply face masks,Cotton ply face masks,12,pieces,so_pur_var,15
31,Cotton Rolls,Cotton Rolls,12,pieces,so_pur_var,15
32,Crime Scene Tape,Crime Scene Tape,8,pieces,so_pur_var,15
