Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,UNIBALL BLUE,"BLUE, WATERPROOF ROLLER GEL PEN",100,Nos,det7m,30
2,UNIBALL BLACK,"BLACK, WATERPROOF ROLLER GEL PEN",40,Nos,det7m,30
3,UNIBALL RED,RED WATERPROOF ROLLER GEL PEN,30,Nos,det7m,30
4,UNIBALL GREEN,GREEN WATERPROOF ROLLER GEL PEN,30,Nos,det7m,30
5,GEL PEN BLUE,"BLUE, PILOT V7, HI-TECHPOINT 0.7",80,Nos,det7m,30
6,GEL PEN BLACK,"BLACK, PILOT V7, HI-TECHPOINT 0.8",10,Nos,det7m,30
7,CLICK BALL PEN BLUE,WATERPROOF ROLLER PEN,200,Nos,det7m,30
8,ORDINARY BALL PEN BLUE,BLUE ,800,Nos,det7m,30
9,ORDINARY BALL PEN BLACK,BLACK ,100,Nos,det7m,30
10,ORDINARY BALL PEN RED,RED,100,Nos,det7m,30
11,PENCIL,"HB, APSARA PLATINUM",300,Nos,det7m,30
12,ERASER RUBBER,"NON-DUST ERASE, APSARA",300,Nos,det7m,30
13,CORRECTION PEN,"CORRECTION PEN, CAMLIN",100,Nos,det7m,30
14,CLIP BOARD,TRANSPARENT CLIP BOARD,50,Nos,det7m,30
15,GLUE STICK,"FEVI STICK, PEDILITE",100,Nos,det7m,30
16,WHITE GLUE TUBE,WHITE GLUE TUBE 25 GM,50,Nos,det7m,30
17,STAPLER SMALL,KANGARO STAPLER SIZE 10,30,Nos,det7m,30
18,STAPLER BIG,KANGARO STAPLER SIZE 45,30,Nos,det7m,30
19,REGISTER 2Q,"REGISTER 2Q, HARD COVER",50,Nos,det7m,30
20,REGISTER 3Q,"REGISTER 3Q, HARD COVER",50,Nos,det7m,30
21,REGISTER 4Q,"REGISTER 4Q, HARD COVER",50,Nos,det7m,30
22,REGISTER 5Q,"REGISTER 5Q, HARD COVER",30,Nos,det7m,30
23,STICKY NEON SIGNATURE FLAG,STICKY NEON SIGNATURE FLAG,50,Pkt,det7m,30
24,BROWN SHEET COVER,BROWN SHEET ,50,Roll,det7m,30
25,BOX FOLDER,BOX FOLDER WITH METTALIC CORNER AND TWO RINGS FOR PAPER HOLDING ,50,Nos,det7m,30
26,HIGHLIGHTER,"MULTICOLOR, LONG LASTING",50,Nos,det7m,30
27,"WHITE BOARD MARKER, BLACK",BLACK,50,Nos,det7m,30
28,"WHITE BOARD MARKER, BLUE",BLUE,50,Nos,det7m,30
29,"CD MARKER, BLACK",BLACK,50,Nos,det7m,30
30,"CD MARKER, BLUE",BLUE,50,Nos,det7m,30
31,DOUBLE PUNCH,"DLOUBLE PUNCH, DP 52",30,Nos,det7m,30
32,SINGLE PUNCH,"KANGAROO, SINGLE PUNCH, FP 20",30,Nos,det7m,30
33,PAPER CLIP,MULTICOLOR JUBLEE PLASTIC COATED CLIP,40,box,det7m,30
34,ENVELOPE SMALL,"A4 (GREEN), WITH THREADING LAYER",700,Nos,det7m,30
35,ENVELOPE MEDIUM,"9.4 X 9.5 (GREEN), WITH THREADING LAYER",600,Nos,det7m,30
36,ENVELOPE LARGE,"20 X 16 inch (GREEN), WITH THREADING LAYER",500,Nos,det7m,30
37,TRANSPARENT TAPE,2 Inch/48MM,100,Nos,det7m,30
38,TRANSPARENT TAPE,1 Inch/24MM,100,Nos,det7m,30
39,BROWN TAPE,2 Inch,50,Nos,det7m,30
40,PAPER CUTTER SMALL,BIG,40,Nos,det7m,30
41,PAPER CUTTER BIG,SMALL,60,Nos,det7m,30
42,DOUBLE SIDED ADHESIVE TAPE,1 inch,20,Nos,det7m,30
43,SCALE PLASTIC,"Plastic, 30cm",20,Nos,det7m,30
44,SCISSOR SMALL,"8.5-inch, SCISSOR SS with Plastic coated handle",20,Nos,det7m,30
45,SCISSOR BIG,9.8-inch SCISSOR SS with Plastic coated handle,20,Nos,det7m,30
46,L-FOLDER,"Plastic, Transparent for A4 size paper",20,Pkt,det7m,30
47,BINDER CLIP 19MM,15 mm,20,Box,det7m,30
48,BINDER CLIP 15MM,19 mm,30,Box,det7m,30
49,BINDER CLIP25MM,25 mm,20,Box,det7m,30
50,BINDER CLIP 32MM,32 mm,15,Box,det7m,30
51,CLOTH DUSTER ,Cloth Duster,15,Nos,det7m,30
52,STAMP PAD,VIOLET COLOR,20,Nos,det7m,30
53,STAMP INK,VIOLET COLOR,15,Nos,det7m,30
54,PHOTO PAPER,A4 SIZE,20,Pkt,det7m,30
55,MAIL FOLDER,Black leather coated,10,Nos,det7m,30
56,ENVELOPES,"5x11, white ",300,Nos,det7m,30
57,LEATHER FOLDER,Leather folder with two O rings ,30,Nos,det7m,30
58,THREAD TAG,LARGE THREADS TAG,30,Pkt,det7m,30
59,TRANSPARENT BOOK COVER,TRANSPARENT BOOK COVER,25,Roll,det7m,30
