Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,dustbin steel 10 ltr,dustbin steel 10 ltr,10,numbers,kamarkant.160p@gov.in,15
2,curtain door and window,curtain door and window,90,numbers,kamarkant.160p@gov.in,15
3,tawa none stick,tawa none stick,1,numbers,kamarkant.160p@gov.in,15
4,chopping board,chopping board,1,numbers,kamarkant.160p@gov.in,15
5,chakla belan,chakla belan,1,numbers,kamarkant.160p@gov.in,15
6,envelope cloth legal,envelope cloth legal,200,numbers,kamarkant.160p@gov.in,15
7,printed file green,printed file green,300,numbers,kamarkant.160p@gov.in,15
8,printed file white,printed file white,200,numbers,kamarkant.160p@gov.in,15
9,mini oxygen cyl,mini oxygen cyl,6,numbers,kamarkant.160p@gov.in,15
10,butan stove,butan stove,5,numbers,kamarkant.160p@gov.in,15
11,first aid kit,first aid kit,2,numbers,kamarkant.160p@gov.in,15
12,knife,knife,2,numbers,kamarkant.160p@gov.in,15
13,potato chiller,potato chiller,1,numbers,kamarkant.160p@gov.in,15
14,kaddu kas,kaddu kas,1,numbers,kamarkant.160p@gov.in,15
15,tawa normal,tawa normal,1,numbers,kamarkant.160p@gov.in,15
16,curtain door and window vip,curtain door and window vip,60,numbers,kamarkant.160p@gov.in,15
17,cloth stand,cloth stand,7,numbers,kamarkant.160p@gov.in,15
