Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,Provn of Prefabricated Cook House Dining Hall CHDH  of size 15 point 00 m x 6 point 10 m x 3 point 00 m,Description along with complete specification and quantity of the item is uploaded in item specification document attached at S No 1,5,Nos,rahul@8er,60
2,PVC Cable 16 Sqmm  aluminum 2 core ,Description along with complete specification and quantity of the item is uploaded in item specification document attached at S No 2,5,Roll ,rahul@8er,60
3, PVC Cable 2 point 5 Sqmm copper conductor single core,Description along with complete specification and quantity of the item is uploaded in item specification document attached at S No 3,10,Roll ,rahul@8er,60
4,PVC Cable 1 point 5 sqmm copper conductor single core ,Description along with complete specification and quantity of the item is uploaded in item specification document attached at S No 4,10,Roll ,rahul@8er,60
5, PVC Cable 1 Sqmm copper conductor single core  ,Description along with complete specification and quantity of the item is uploaded in item specification document attached at S No 5,10,Roll ,rahul@8er,60
6,Flexible wire PVC insulated twin twisted of size 23 oblique 0 point 0076 with copper conductor ,Description along with complete specification and quantity of the item is uploaded in item specification document attached at S No 6,100,RM,rahul@8er,60
7,Insulation tape ,Description along with complete specification and quantity of the item is uploaded in item specification document attached at S No 7,25,Roll ,rahul@8er,60
8,Switch Socket combination 15 Amp ,Description along with complete specification and quantity of the item is uploaded in item specification document attached at S No 8,30,Nos,rahul@8er,60
9,Switch Socket combination 5 Amp ,Description along with complete specification and quantity of the item is uploaded in item specification document attached at S No 9,30,Nos,rahul@8er,60
10,PVC capping casing pipe 25mm with bends  and junction boxes of ,Description along with complete specification and quantity of the item is uploaded in item specification document attached at S No 10,500,Rm,rahul@8er,60
11,PVC Ceiling Rose ,Description along with complete specification and quantity of the item is uploaded in item specification document attached at S No 11,100,Nos,rahul@8er,60
12,MS screw 6mm x 19mm in 100 Nos Pkt,Description along with complete specification and quantity of the item is uploaded in item specification document attached at S No 12,20,Pkt,rahul@8er,60
13,MS screw 4mm x 10mm in 100 Nos Pkt,Description along with complete specification and quantity of the item is uploaded in item specification document attached at S No 13,10,Pkt,rahul@8er,60
14,MS screw 6mm x 40mm long in 100 Nos Pkt,Description along with complete specification and quantity of the item is uploaded in item specification document attached at S No 14,10,Pkt,rahul@8er,60
15,MCB DB 8 way including box  ,Description along with complete specification and quantity of the item is uploaded in item specification document attached at S No 15,5,Nos ,rahul@8er,60
16,MCB SP 6 to 32 Amp including box ,Description along with complete specification and quantity of the item is uploaded in item specification document attached at S No 16,30,Nos,rahul@8er,60
17,MCB SPN 63 Amp including box ,Description along with complete specification and quantity of the item is uploaded in item specification document attached at S No 17,5,Nos,rahul@8er,60
18,PVC square box 4 inch x 4 inch ,Description along with complete specification and quantity of the item is uploaded in item specification document attached at S No 18,140,Nos,rahul@8er,60
