Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,Light duty Hexagonal socket set 6 to 22 Ratchet,Light duty Hexagonal socket set 6 to 22 Ratchet,10,Set,Chaturvedi@512,30
2,Heavy duty Hexagonal socket set 24 to 50 Set of 10,Heavy duty Hexagonal socket set 24 to 50 Set of 10,4,Set,Chaturvedi@512,30
3,Double end open jaw spanner 6 to 32 Set of 12,Double end open jaw spanner 6 to 32 Set of 12,20,Set,Chaturvedi@512,30
4,Double end open jaw spanner 6 to 32 Set of 12,Double end open jaw spanner 6 to 32 Set of 12,20,Set,Chaturvedi@512,30
5,Pipe wrench set of 4  8coma 10coma 14 and 18 inch length,Pipe wrench set of 4  8coma 10coma 14 and 18 inch length,15,Set,Chaturvedi@512,30
6,Pipe wrench 24 inch,Pipe wrench 24 inch,8,Nos,Chaturvedi@512,30
7,Allen Key set 3 to 12mm Set of 10,Allen Key set 3 to 12mm Set of 10,15,Set,Chaturvedi@512,30
8,Piston ring expander set of 2 small and big,Piston ring expander set of 2 small and big,2,Set,Chaturvedi@512,30
9,Piston ring compressor,Piston ring compressor,2,Nos,Chaturvedi@512,30
10,Torque Wrench 25 to 150 Lbs,Torque Wrench 25 to 150 Lbs,2,Nos,Chaturvedi@512,30
11,Ball Peen hammer 300 gms with wooden handle,Ball Peen hammer 300 gms with wooden handle,20,Nos,Chaturvedi@512,30
12,Ball Peen hammer 600 gms with wooden handle,Ball Peen hammer 600 gms with wooden handle,20,Nos,Chaturvedi@512,30
13,Inner circlip plier 7 inch set of 4,Inner circlip plier 7 inch set of 4,15,Set,Chaturvedi@512,30
14,External circlip plier 7 inch set of 4,External circlip plier 7 inch set of 4,15,Set,Chaturvedi@512,30
15,Hyd Jack 10 ton cap with lever,Hyd Jack 10 ton cap with lever,5,Nos,Chaturvedi@512,30
16,Hyd Jack 20 ton cap with lever,Hyd Jack 20 ton cap with lever,5,Nos,Chaturvedi@512,30
17,Cold Chisel set of 5,Cold Chisel set of 5,15,Set,Chaturvedi@512,30
18,Box Spanner 27 AF,Box Spanner 27 AF,4,Nos,Chaturvedi@512,30
19,Heavy duty pipe wrench HPW 36,Heavy duty pipe wrench HPW 36,4,Nos,Chaturvedi@512,30
20,Cordless hand drill 18V,Cordless hand drill 18V,4,Nos,Chaturvedi@512,30
21,Angle grinder 750W,Angle grinder 750W,4,Nos,Chaturvedi@512,30
22,Long nose plier size 4 pt 5 inch set of 6,Long nose plier size 4 pt 5 inch set of 6,15,Set,Chaturvedi@512,30
23,Cutting plier size 8 inch set of 3,Cutting plier size 8 inch set of 3,20,Set,Chaturvedi@512,30
24,Adjustable wrench size 12 inch,Adjustable wrench size 12 inch,15,Nos,Chaturvedi@512,30
25,Screw driver Slotted head set of 5,Screw driver Slotted head set of 5,20,Nos,Chaturvedi@512,30
26,Screw driver Philips head set of 5,Screw driver Philips head set of 5,20,Nos,Chaturvedi@512,30
27,Oil filter remover,Oil filter remover,10,Nos,Chaturvedi@512,30
28,Cantilever tool box 18 inch x 8 inch x 8 inch,Cantilever tool box 18 inch x 8 inch x 8 inch,10,Nos,Chaturvedi@512,30
29,Heavy duty socket size 33mm,Heavy duty socket size 33mm,10,Nos,Chaturvedi@512,30
30,Heavy duty socket size 34mm,Heavy duty socket size 34mm,10,Nos,Chaturvedi@512,30
31,Double faced sledge hammer with hickroy wooden handle,Double faced sledge hammer with hickroy wooden handle,4,Nos,Chaturvedi@512,30
