Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,Almirah small Med 1 oblique 2H x 1 oblique 2S steel as per FD 1032,Almirah small Med 1 oblique 2H x 1 oblique 2S steel as per FD 1032,145,Each,BUYER@GESHG,180
2,Rack shoes steel as per FB E6 MAP 02 R,Rack shoes steel as per FB E6 MAP 02 R,30,EACH,BUYER@GESHG,180
3,Table bed side as per FD E6 MAP 15 R,Table bed side as per FD E6 MAP 15 R,80,EACH,BUYER@GESHG,180
4,Teapoy Varandah as per FD E6 MAP 17,Teapoy Varandah as per FD E6 MAP 17,30,EACH,BUYER@GESHG,180
5,Chair Dining offrs with cushion seat as per  FD MAP II 04,Chair Dining offrs with cushion seat as per  FD MAP II 04,180,EACH,BUYER@GESHG,180
6,Table dressing Ladies with mrror with stool dressing as per  FD MAP II 07,Table dressing Ladies with mrror with stool dressing as per  FD MAP II 07,15,EACH,BUYER@GESHG,180
7,Hat stand with mirror as per FD 233,Hat stand with mirror as per FD 233,40,EACH,BUYER@GESHG,180
8,Sofa Set 5 Seater as per FD 373,Sofa Set 5 Seater as per FD 373,30,EACH,BUYER@GESHG,180
9,Peg Table as per FD 277,Peg Table as per FD 277,120,EACH,BUYER@GESHG,180
10,Bath stool PVC as per FD E6 MAP 07,Bath stool PVC as per FD E6 MAP 07,28,EACH,BUYER@GESHG,180
11,RECEPTACLE PVC as per FD E6 MAP 13,RECEPTACLE PVC as per FD E6 MAP 13,20,EACH,BUYER@GESHG,180
