Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,Genr Set 15 KVA Supply Installing Testing and Commissioning of Silent Type Diesel Generating set having Prime Power Rating of 15 KVA,Description along with complete specification and quantity of the item is uploaded in item specification document attached at S No 1,5,Set,rahul@8er,60
2, Finished GI earthing plate 600 x 600 x 6 mm,Description along with complete specification and quantity of the item is uploaded in item specification document attached at S No 2,5,Nos,rahul@8er,60
3,CI cover with frame 300  x 300 x 6mm thick,Description along with complete specification and quantity of the item is uploaded in item specification document attached at S No 3,5,Nos,rahul@8er,60
4,GI Pipe 20 mm dia light,Description along with complete specification and quantity of the item is uploaded in item specification document attached at S No 4,10,RM,rahul@8er,60
5,GI strip 25 x 4 mm,Description along with complete specification and quantity of the item is uploaded in item specification document attached at S No 5,40,RM,rahul@8er,60
6,Charcoal Dust,Description along with complete specification and quantity of the item is uploaded in item specification document attached at S No 6,250,Kg,rahul@8er,60
7,Common Salt  ,Description along with complete specification and quantity of the item is uploaded in item specification document attached at S No 7,250,Kg,rahul@8er,60
8,Nuts Bolts and washer  Size No 12,Description along with complete specification and quantity of the item is uploaded in item specification document attached at S No 8,40,Nos,rahul@8er,60
9,GI funnel with GI wire mesh  ,Description along with complete specification and quantity of the item is uploaded in item specification document attached at S No 9,5,Nos,rahul@8er,60
10,Fan Belt ,Description along with complete specification and quantity of the item is uploaded in item specification document attached at S No 10,10,Nos,rahul@8er,60
11,Delivery Valve    ,Description along with complete specification and quantity of the item is uploaded in item specification document attached at S No 11,30,Nos,rahul@8er,60
12,High Pressure Pipe,Description along with complete specification and quantity of the item is uploaded in item specification document attached at S No 12,20,Nos,rahul@8er,60
13,Head Gasket  ,Description along with complete specification and quantity of the item is uploaded in item specification document attached at S No 13,10,Nos,rahul@8er,60
14,Fuel Flexible Pipe  ,Description along with complete specification and quantity of the item is uploaded in item specification document attached at S No 14,30,Nos,rahul@8er,60
15,Benjo Bolt  ,Description along with complete specification and quantity of the item is uploaded in item specification document attached at S No 15,20,Nos,rahul@8er,60
16,Benjo Washer,Description along with complete specification and quantity of the item is uploaded in item specification document attached at S No 16,30,Nos,rahul@8er,60
17,Fuel Filter,Description along with complete specification and quantity of the item is uploaded in item specification document attached at S No 17,40,Nos,rahul@8er,60
18,Lub Oil Filter,Description along with complete specification and quantity of the item is uploaded in item specification document attached at S No 18,40,Nos,rahul@8er,60
19,Lubrication Oil,Description along with complete specification and quantity of the item is uploaded in item specification document attached at S No 19,135,Ltrs,rahul@8er,60
20,Coolant ,Description along with complete specification and quantity of the item is uploaded in item specification document attached at S No 20,38,Ltrs,rahul@8er,60
21,Plier side cutting 200mm ,Description along with complete specification and quantity of the item is uploaded in item specification document attached at S No 21,5,Nos,rahul@8er,60
22,Screw driver 200mm     ,Description along with complete specification and quantity of the item is uploaded in item specification document attached at S No 22,5,Nos,rahul@8er,60
23,Screw driver 50mm     ,Description along with complete specification and quantity of the item is uploaded in item specification document attached at S No 23,5,Nos,rahul@8er,60
24,Spanner 10  11        ,Description along with complete specification and quantity of the item is uploaded in item specification document attached at S No 24,5,Nos,rahul@8er,60
25, Spanner 13  17     ,Description along with complete specification and quantity of the item is uploaded in item specification document attached at S No 25,5,Nos,rahul@8er,60
26,Spanner 19  20   ,Description along with complete specification and quantity of the item is uploaded in item specification document attached at S No 26,5,Nos,rahul@8er,60
27,Spanner 24  27      ,Description along with complete specification and quantity of the item is uploaded in item specification document attached at S No 27,5,Nos,rahul@8er,60
28,Hammer 200gm  ,Description along with complete specification and quantity of the item is uploaded in item specification document attached at S No 28,5,Nos,rahul@8er,60
29,Adjustable Spanner 150mm,Description along with complete specification and quantity of the item is uploaded in item specification document attached at S No 29,5,Nos,rahul@8er,60
30,PVC insulated XLPE armoured cable 16 Sqmm 3 point 5 core aluminium conductor multi strand,Description along with complete specification and quantity of the item is uploaded in item specification document attached at S No 30,50,RM,rahul@8er,60
31,Main Switch 63 Amps 415 V TPN,Description along with complete specification and quantity of the item is uploaded in item specification document attached at S No 31,5,Nos,rahul@8er,60
32,Change Over Switch 63 Amps  415 V TPN,Description along with complete specification and quantity of the item is uploaded in item specification document attached at S No 32,5,Nos,rahul@8er,60
